"Start Date","01/01/2014"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VTABX","Vanguard Total Intl Bd Idx Admiral","11.61%"
"VBTLX","Vanguard Total Bond Market Index Adm","13.41%"
"VTIAX","Vanguard Total Intl Stock Index Admiral","16.11%"
"VWILX","Vanguard International Growth Adm","4.40%"
"VTRIX","Vanguard International Value Inv","4.30%"
"VWUAX","Vanguard US Growth Admiral","5.90%"
"VWNAX","Vanguard Windsor II Admiral","5.75%"
"VSEQX","Vanguard Strategic Equity Inv","2.40%"
"VEXRX","Vanguard Explorer Adm","2.50%"
"VTSAX","Vanguard Total Stock Mkt Idx Adm","20.22%"
"VFSUX","Vanguard Short-Term Investment-Grade Adm","5.40%"
"VFIDX","Vanguard Interm-Term Investment-Grde Adm","8.00%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$13,567"
"End Balance (inflation adjusted)","$12,508"
"CAGR","5.98%"
"CAGR (inflation adjusted)","4.35%"
"Stdev","7.10%"
"Best Year","16.78%"
"Worst Year","-4.99%"
"Max. Drawdown","-8.46%"
"Sharpe Ratio","0.77"
"Sortino Ratio","1.18"
"US Stock Market Correlation","0.95"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.51%"
"Arithmetic Mean (annualized)","6.24%"
"Geometric Mean (monthly)","0.49%"
"Geometric Mean (annualized)","5.98%"
"Volatility (monthly)","2.05%"
"Volatility (annualized)","7.10%"
"Downside Deviation (monthly)","1.30%"
"Max. Drawdown","-8.46%"
"US Market Correlation","0.95"
"Beta (*)","0.59"
"Alpha (annualized)","-0.02%"
"R Squared","90.95%"
"Sharpe Ratio","0.77"
"Sortino Ratio","1.18"
"Treynor Ratio (%)","9.21"
"Calmar Ratio","1.00"
"Active Return","-4.14%"
"Tracking Error","5.17%"
"Information Ratio","-0.80"
"Skewness","-0.41"
"Excess Kurtosis","1.17"
"Historical Value-at-Risk (5%)","-4.11%"
"Analytical Value-at-Risk (5%)","-2.83%"
"Conditional Value-at-Risk (5%)","-4.67%"
"Upside Capture Ratio (%)","59.19"
"Downside Capture Ratio (%)","64.04"
"Safe Withdrawal Rate","22.12%"
"Perpetual Withdrawal Rate","4.38%"
"Positive Periods","43 out of 63 (68.25%)"
"Gain/Loss Ratio","0.89"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Intl Bd Idx Admiral (VTABX)","Vanguard Total Bond Market Index Adm (VBTLX)","Vanguard Total Intl Stock Index Admiral (VTIAX)","Vanguard International Growth Adm (VWILX)","Vanguard International Value Inv (VTRIX)","Vanguard US Growth Admiral (VWUAX)","Vanguard Windsor II Admiral (VWNAX)","Vanguard Strategic Equity Inv (VSEQX)","Vanguard Explorer Adm (VEXRX)","Vanguard Total Stock Mkt Idx Adm (VTSAX)","Vanguard Short-Term Investment-Grade Adm (VFSUX)","Vanguard Interm-Term Investment-Grde Adm (VFIDX)"
"2014","10","1.31%","$10,524","0.58%","0.95%","-0.26%","0.33%","-0.30%","3.59%","1.46%","3.31%","4.40%","2.74%","0.35%","0.88%"
"2014","11","1.24%","$10,654","1.07%","0.66%","-0.29%","1.46%","-0.49%","3.33%","2.68%","2.39%","0.90%","2.43%","0.25%","0.66%"
"2014","12","-0.90%","$10,558","0.84%","0.10%","-3.66%","-4.65%","-4.93%","-0.83%","-0.58%","0.69%","1.17%","0.00%","-0.37%","-0.25%"
"2015","1","-0.18%","$10,539","1.83%","2.32%","0.19%","0.22%","-0.94%","-1.34%","-3.96%","-0.81%","-3.00%","-2.77%","0.82%","2.60%"
"2015","2","3.34%","$10,891","-0.35%","-1.07%","5.49%","5.96%","6.45%","6.90%","5.85%","4.89%","8.07%","5.76%","-0.13%","-0.76%"
"2015","3","-0.44%","$10,843","0.67%","0.42%","-1.52%","-0.66%","-1.20%","-0.91%","-1.69%","1.08%","1.42%","-1.01%","0.35%","0.46%"
"2015","4","1.20%","$10,972","-0.81%","-0.35%","5.04%","4.21%","4.86%","-0.01%","1.65%","-1.27%","-1.62%","0.42%","0.25%","-0.05%"
"2015","5","0.21%","$10,996","-0.70%","-0.44%","-0.92%","-0.07%","-0.73%","2.13%","1.35%","2.04%","1.56%","1.39%","-0.02%","-0.34%"
"2015","6","-1.63%","$10,816","-1.44%","-1.00%","-2.69%","-2.84%","-2.77%","-0.61%","-1.95%","-1.85%","0.19%","-1.70%","-0.30%","-1.16%"
"2015","7","0.74%","$10,896","1.24%","0.77%","-0.81%","-1.08%","-0.14%","4.03%","1.00%","0.75%","-0.62%","1.65%","0.17%","0.57%"
"2015","8","-4.33%","$10,424","-0.41%","-0.35%","-7.27%","-8.31%","-7.72%","-6.31%","-6.31%","-5.99%","-6.69%","-6.00%","-0.19%","-0.44%"
"2015","9","-1.92%","$10,224","0.59%","0.76%","-3.89%","-4.06%","-6.03%","-3.02%","-2.94%","-2.75%","-6.04%","-2.94%","0.46%","0.99%"
"2015","10","4.45%","$10,679","0.54%","0.02%","6.27%","9.26%","7.16%","7.91%","7.40%","5.55%","5.13%","7.86%","0.09%","0.37%"
"2015","11","-0.02%","$10,677","0.26%","-0.26%","-1.31%","0.46%","-1.32%","0.70%","-0.28%","1.20%","2.24%","0.56%","-0.01%","-0.05%"
"2015","12","-1.46%","$10,521","-0.32%","-0.37%","-2.04%","-2.44%","-3.10%","-0.32%","-2.46%","-3.62%","-3.91%","-2.04%","-0.36%","-0.51%"
"2016","1","-3.24%","$10,180","1.58%","1.44%","-5.65%","-7.68%","-5.44%","-6.71%","-5.23%","-7.81%","-9.15%","-5.65%","0.55%","1.08%"
"2016","2","-0.32%","$10,147","1.08%","0.67%","-2.23%","-1.66%","-2.31%","-1.31%","-0.98%","1.19%","0.74%","-0.04%","0.17%","0.65%"
"2016","3","4.76%","$10,630","0.75%","0.95%","8.22%","7.93%","7.69%","4.86%","6.79%","7.65%","8.01%","7.03%","1.04%","1.79%"
"2016","4","0.94%","$10,730","-0.17%","0.39%","2.24%","2.01%","2.52%","-0.69%","2.62%","-0.18%","1.42%","0.65%","0.45%","0.75%"
"2016","5","0.49%","$10,783","0.70%","0.02%","-1.01%","-0.10%","-1.70%","3.09%","1.16%","1.30%","1.45%","1.77%","0.01%","-0.15%"
"2016","6","0.31%","$10,816","1.84%","1.94%","-0.93%","-1.36%","-0.64%","-2.05%","-0.85%","-0.66%","-0.22%","0.25%","0.84%","1.86%"
"2016","7","3.01%","$11,141","0.90%","0.65%","4.44%","5.57%","3.65%","6.16%","3.48%","6.09%","5.75%","3.95%","0.46%","0.85%"
"2016","8","0.31%","$11,176","0.01%","-0.16%","0.68%","2.09%","0.65%","-0.88%","1.26%","0.07%","1.21%","0.28%","-0.01%","-0.05%"
"2016","9","0.51%","$11,233","-0.03%","-0.08%","1.43%","2.82%","1.64%","0.88%","-0.65%","0.33%","1.18%","0.15%","0.12%","0.13%"
"2016","10","-1.69%","$11,043","-1.28%","-0.80%","-1.74%","-3.06%","-1.64%","-2.83%","-1.44%","-3.22%","-4.98%","-2.21%","-0.03%","-0.56%"
"2016","11","0.29%","$11,075","-1.24%","-2.63%","-2.17%","-4.03%","-0.99%","-0.51%","5.52%","10.33%","6.84%","4.45%","-0.86%","-2.57%"
"2016","12","1.10%","$11,197","0.47%","0.25%","2.01%","0.29%","1.55%","0.05%","1.62%","2.77%","0.81%","1.93%","0.07%","0.16%"
"2017","1","1.90%","$11,409","-0.89%","0.30%","3.94%","7.29%","3.97%","3.66%","1.14%","1.36%","2.95%","1.93%","0.35%","0.44%"
"2017","2","1.89%","$11,624","0.97%","0.67%","1.48%","0.96%","0.82%","3.62%","3.33%","2.35%","2.60%","3.71%","0.35%","0.84%"
"2017","3","0.89%","$11,728","-0.10%","-0.06%","2.83%","4.02%","3.09%","1.43%","0.31%","-0.68%","0.54%","0.08%","0.13%","0.05%"
"2017","4","1.44%","$11,896","0.60%","0.77%","2.22%","4.26%","2.62%","3.04%","0.35%","0.99%","1.70%","1.05%","0.37%","0.97%"
"2017","5","1.50%","$12,075","0.45%","0.68%","2.98%","5.15%","3.38%","2.98%","0.40%","-1.45%","0.24%","1.02%","0.27%","0.76%"
"2017","6","0.50%","$12,135","-0.42%","0.02%","0.54%","0.58%","-0.30%","0.31%","2.10%","2.14%","2.65%","0.93%","0.09%","-0.16%"
"2017","7","1.86%","$12,360","0.23%","0.40%","3.44%","5.38%","3.66%","3.52%","0.32%","1.27%","1.05%","1.87%","0.37%","0.86%"
"2017","8","0.54%","$12,427","0.92%","0.86%","0.62%","2.38%","-0.05%","1.93%","-1.08%","-2.10%","-0.65%","0.16%","0.36%","0.75%"
"2017","9","1.38%","$12,599","-0.50%","-0.53%","1.79%","2.58%","3.01%","1.47%","3.13%","3.81%","4.07%","2.46%","-0.14%","-0.49%"
"2017","10","1.44%","$12,780","0.73%","0.12%","1.94%","2.33%","1.37%","3.07%","1.13%","2.09%","1.76%","2.17%","0.07%","0.23%"
"2017","11","1.32%","$12,948","0.36%","-0.16%","0.80%","0.77%","1.55%","2.38%","2.63%","2.61%","3.23%","3.04%","-0.12%","-0.37%"
"2017","12","0.99%","$13,076","0.03%","0.45%","2.07%","0.97%","1.90%","0.53%","2.04%","0.77%","0.93%","1.01%","0.00%","0.33%"
"2018","1","3.31%","$13,509","-0.46%","-1.09%","5.57%","9.10%","5.22%","8.40%","5.18%","4.59%","4.78%","5.32%","-0.36%","-1.18%"
"2018","2","-2.73%","$13,140","0.31%","-1.02%","-5.12%","-4.15%","-4.31%","-1.85%","-5.01%","-4.17%","-1.89%","-3.71%","-0.28%","-0.91%"
"2018","3","-0.62%","$13,059","1.07%","0.63%","-0.63%","-1.13%","-1.30%","-1.91%","-2.83%","0.23%","1.33%","-1.98%","0.13%","0.27%"
"2018","4","0.09%","$13,070","-0.11%","-0.82%","0.79%","-0.22%","0.61%","0.31%","0.98%","-0.64%","0.28%","0.38%","-0.25%","-0.79%"
"2018","5","0.95%","$13,194","0.04%","0.62%","-1.90%","1.13%","-2.41%","4.48%","0.82%","4.34%","5.95%","2.82%","0.42%","0.59%"
"2018","6","-0.08%","$13,183","0.46%","0.04%","-2.08%","-0.19%","-1.41%","1.26%","0.44%","-0.03%","0.87%","0.67%","0.04%","-0.16%"
"2018","7","1.79%","$13,420","-0.05%","0.04%","2.52%","1.48%","2.50%","2.19%","4.53%","1.92%","2.13%","3.35%","0.14%","0.38%"
"2018","8","1.13%","$13,571","0.09%","0.52%","-2.22%","-1.52%","-2.06%","4.88%","1.74%","4.80%","7.35%","3.45%","0.53%","0.70%"
"2018","9","-0.12%","$13,556","-0.27%","-0.53%","0.29%","-1.44%","0.60%","0.20%","0.60%","-1.51%","-0.92%","0.16%","-0.05%","-0.47%"
"2018","10","-5.31%","$12,836","0.22%","-0.72%","-8.34%","-10.65%","-7.43%","-9.25%","-6.03%","-10.56%","-11.17%","-7.40%","-0.13%","-0.56%"
"2018","11","1.20%","$12,990","0.46%","0.53%","1.24%","2.47%","0.75%","2.68%","1.19%","0.30%","1.90%","2.08%","0.06%","0.19%"
"2018","12","-4.36%","$12,424","1.14%","1.81%","-4.83%","-6.89%","-5.65%","-9.10%","-9.42%","-10.35%","-11.08%","-9.30%","0.74%","1.50%"
"2019","1","5.66%","$13,126","1.11%","1.02%","7.65%","8.44%","6.88%","9.47%","8.01%","11.30%","11.37%","8.60%","0.82%","1.67%"
"2019","2","2.08%","$13,399","0.17%","-0.05%","1.68%","4.27%","2.04%","4.44%","2.95%","4.90%","6.34%","3.51%","0.42%","0.26%"
"2019","3","1.25%","$13,567","1.78%","1.96%","0.71%","1.63%","0.34%","1.66%","0.68%","-0.85%","-0.74%","1.45%","0.92%","1.97%"

"Portfolio Returns Based Style Analysis"

"Style Category","Portfolio 1"
"Large-cap Value","5.16%"
"Large-cap Growth","21.53%"
"Mid-cap Value","5.49%"
"Mid-cap Growth","3.14%"
"Small-cap Value","2.22%"
"Small-cap Growth","0.00%"
"Global ex-US Developed Markets","20.28%"
"Emerging Markets","5.20%"
"Corporate Bonds","7.37%"
"Long-Term Treasuries","2.17%"
"Intermediate-Term Treasuries","1.49%"
"Short-Term Treasuries","25.96%"
"R Squared","99.47%"
"Style analysis is based on monthly returns from Jan 2014 to Mar 2019 and uses total portfolio return with monthly rebalancing."

"Exposures for Portfolio 1"

"Ticker","Name","Category","Duration","ER","Weight","Return Contribution","Risk Contribution"
"VTABX","Vanguard Total Intl Bd Idx Admiral","World Bond","7.95","0.11%","11.61%","$292","0.20%"
"VBTLX","Vanguard Total Bond Market Index Adm","Intermediate-Term Bond","5.96","0.05%","13.41%","$223","0.55%"
"VTIAX","Vanguard Total Intl Stock Index Admiral","Foreign Large Blend","","0.11%","16.11%","$337","24.90%"
"VWILX","Vanguard International Growth Adm","Foreign Large Growth","","0.32%","4.40%","$204","8.22%"
"VTRIX","Vanguard International Value Inv","Foreign Large Value","","0.38%","4.30%","$65.56","6.68%"
"VWUAX","Vanguard US Growth Admiral","Large Growth","","0.30%","5.90%","$462","9.94%"
"VWNAX","Vanguard Windsor II Admiral","Large Value","","0.25%","5.75%","$257","8.51%"
"VSEQX","Vanguard Strategic Equity Inv","Mid-Cap Blend","","0.17%","2.40%","$121","4.09%"
"VEXRX","Vanguard Explorer Adm","Small Growth","","0.34%","2.50%","$143","4.62%"
"VTSAX","Vanguard Total Stock Mkt Idx Adm","Large Blend","","0.04%","20.22%","$1,227","31.28%"
"VFSUX","Vanguard Short-Term Investment-Grade Adm","Short-Term Bond","2.45","0.10%","5.40%","$66.83","0.25%"
"VFIDX","Vanguard Interm-Term Investment-Grde Adm","Corporate Bond","5.39","0.10%","8.00%","$167","0.77%"

"Asset Allocation for Portfolio 1"

"Category","Weight"
"US Stocks","35.74%"
"Intl Stocks","24.05%"
"US Bonds","22.27%"
"Intl Bonds","15.36%"
"Other","0.32%"
"Cash","2.26%"

"Equity Market Capitalization for Portfolio 1"

"Category","Weight"
"Large Cap","73.88%"
"Mid Cap","19.74%"
"Small Cap","6.38%"

"Stock Sectors for Portfolio 1"

"Category","Weight"
"Basic Materials","4.25%"
"Consumer Cyclical","13.48%"
"Financial Services","18.03%"
"Real Estate","3.14%"
"Consumer Defensive","7.23%"
"Healthcare","12.43%"
"Utilities","2.45%"
"Communication Services","3.31%"
"Energy","5.44%"
"Industrials","10.97%"
"Technology","19.27%"

"Fixed Income Credit Quality for Portfolio 1"

"Category","Weight"
"AAA","41.71%"
"AA","13.76%"
"A","26.25%"
"BBB","17.08%"
"Non-Investment Grade","0.70%"
"Not Rated","0.49%"

"Fixed Income Maturity for Portfolio 1"

"Category","Weight"
"Under 1 Year","51.08%"
"1 - 3 Years","10.75%"
"3 - 5 Years","10.28%"
"5 - 7 Years","6.79%"
"7 - 10 Years","6.77%"
"10 - 15 Years","2.45%"
"15 - 20 Years","2.04%"
"20 - 30 Years","8.23%"
"Over 30 Years","1.61%"

"Drawdowns for Portfolio 1"

"Rank","Start","End","Length","Recovery By","Recovery Time","Underwater Period","Drawdown"
"1","Sep 2018","Dec 2018","4 months","","","","-8.46%"
"2","Jun 2015","Feb 2016","9 months","Jul 2016","5 months","1 year 2 months","-7.72%"
"3","Feb 2018","Mar 2018","2 months","Aug 2018","5 months","7 months","-3.33%"
"4","Sep 2014","Sep 2014","1 month","Nov 2014","2 months","3 months","-2.16%"
"5","Jan 2014","Jan 2014","1 month","Feb 2014","1 month","2 months","-1.79%"
"6","Oct 2016","Oct 2016","1 month","Jan 2017","3 months","4 months","-1.69%"
"7","Jul 2014","Jul 2014","1 month","Aug 2014","1 month","2 months","-1.23%"
"8","Dec 2014","Jan 2015","2 months","Feb 2015","1 month","3 months","-1.09%"
"9","Mar 2015","Mar 2015","1 month","Apr 2015","1 month","2 months","-0.44%"

"Portfolio Components"

"Ticker","Name","CAGR","Stdev","Best Year","Worst Year","Max. Drawdown","Sharpe Ratio","Sortino Ratio","US Mkt Correlation"
"VTABX","Vanguard Total Intl Bd Idx Admiral","4.35%","2.56%","8.82%","1.06%","-2.94%","1.43","2.80","-0.06"
"VBTLX","Vanguard Total Bond Market Index Adm","2.91%","2.96%","5.89%","-0.03%","-3.65%","0.77","1.28","-0.08"
"VTIAX","Vanguard Total Intl Stock Index Admiral","2.79%","11.81%","27.55%","-14.43%","-20.08%","0.24","0.35","0.81"
"VWILX","Vanguard International Growth Adm","6.28%","14.34%","43.16%","-12.58%","-19.87%","0.45","0.69","0.81"
"VTRIX","Vanguard International Value Inv","1.68%","12.01%","27.96%","-14.52%","-23.16%","0.14","0.21","0.81"
"VWUAX","Vanguard US Growth Admiral","12.84%","12.95%","31.74%","-0.59%","-15.30%","0.95","1.58","0.92"
"VWNAX","Vanguard Windsor II Admiral","7.53%","11.44%","16.89%","-8.53%","-13.87%","0.64","0.97","0.97"
"VSEQX","Vanguard Strategic Equity Inv","8.48%","13.91%","17.92%","-11.91%","-20.79%","0.61","0.95","0.93"
"VEXRX","Vanguard Explorer Adm","9.15%","15.18%","23.10%","-4.22%","-20.26%","0.61","0.91","0.92"
"VTSAX","Vanguard Total Stock Mkt Idx Adm","10.24%","11.49%","21.17%","-5.17%","-14.26%","0.85","1.34","1.00"
"VFSUX","Vanguard Short-Term Investment-Grade Adm","2.11%","1.23%","2.82%","0.96%","-0.95%","1.20","2.33","0.08"
"VFIDX","Vanguard Interm-Term Investment-Grde Adm","3.64%","3.06%","5.91%","-0.47%","-3.12%","0.98","1.73","0.03"

"Monthly Correlations"

"Ticker","Name","VTABX","VBTLX","VTIAX","VWILX","VTRIX","VWUAX","VWNAX","VSEQX","VEXRX","VTSAX","VFSUX","VFIDX","Portfolio 1"
"VTABX","Vanguard Total Intl Bd Idx Admiral","-","0.82","-0.05","-0.06","-0.11","-0.02","-0.16","-0.06","-0.11","-0.06","0.63","0.77","0.05"
"VBTLX","Vanguard Total Bond Market Index Adm","0.82","-","0.07","0.06","-0.02","-0.01","-0.18","-0.10","-0.12","-0.08","0.88","0.96","0.10"
"VTIAX","Vanguard Total Intl Stock Index Admiral","-0.05","0.07","-","0.95","0.98","0.79","0.81","0.69","0.69","0.81","0.26","0.20","0.93"
"VWILX","Vanguard International Growth Adm","-0.06","0.06","0.95","-","0.94","0.85","0.77","0.69","0.72","0.81","0.25","0.19","0.92"
"VTRIX","Vanguard International Value Inv","-0.11","-0.02","0.98","0.94","-","0.78","0.82","0.69","0.70","0.81","0.20","0.12","0.92"
"VWUAX","Vanguard US Growth Admiral","-0.02","-0.01","0.79","0.85","0.78","-","0.84","0.83","0.86","0.92","0.13","0.09","0.92"
"VWNAX","Vanguard Windsor II Admiral","-0.16","-0.18","0.81","0.77","0.82","0.84","-","0.89","0.86","0.97","-0.00","-0.06","0.92"
"VSEQX","Vanguard Strategic Equity Inv","-0.06","-0.10","0.69","0.69","0.69","0.83","0.89","-","0.95","0.93","0.05","0.01","0.87"
"VEXRX","Vanguard Explorer Adm","-0.11","-0.12","0.69","0.72","0.70","0.86","0.86","0.95","-","0.92","0.05","-0.02","0.86"
"VTSAX","Vanguard Total Stock Mkt Idx Adm","-0.06","-0.08","0.81","0.81","0.81","0.92","0.97","0.93","0.92","-","0.08","0.03","0.95"
"VFSUX","Vanguard Short-Term Investment-Grade Adm","0.63","0.88","0.26","0.25","0.20","0.13","-0.00","0.05","0.05","0.08","-","0.94","0.27"
"VFIDX","Vanguard Interm-Term Investment-Grde Adm","0.77","0.96","0.20","0.19","0.12","0.09","-0.06","0.01","-0.02","0.03","0.94","-","0.22"

"Portfolio Return Decomposition"

"Ticker","Name","Portfolio 1"
"VTABX","Vanguard Total Intl Bd Idx Admiral","$292"
"VBTLX","Vanguard Total Bond Market Index Adm","$223"
"VTIAX","Vanguard Total Intl Stock Index Admiral","$337"
"VWILX","Vanguard International Growth Adm","$204"
"VTRIX","Vanguard International Value Inv","$65.56"
"VWUAX","Vanguard US Growth Admiral","$462"
"VWNAX","Vanguard Windsor II Admiral","$257"
"VSEQX","Vanguard Strategic Equity Inv","$121"
"VEXRX","Vanguard Explorer Adm","$143"
"VTSAX","Vanguard Total Stock Mkt Idx Adm","$1,227"
"VFSUX","Vanguard Short-Term Investment-Grade Adm","$66.83"
"VFIDX","Vanguard Interm-Term Investment-Grde Adm","$167"

"Portfolio Risk Decomposition"

"Ticker","Name","Portfolio 1"
"VTABX","Vanguard Total Intl Bd Idx Admiral","0.20%"
"VBTLX","Vanguard Total Bond Market Index Adm","0.55%"
"VTIAX","Vanguard Total Intl Stock Index Admiral","24.90%"
"VWILX","Vanguard International Growth Adm","8.22%"
"VTRIX","Vanguard International Value Inv","6.68%"
"VWUAX","Vanguard US Growth Admiral","9.94%"
"VWNAX","Vanguard Windsor II Admiral","8.51%"
"VSEQX","Vanguard Strategic Equity Inv","4.09%"
"VEXRX","Vanguard Explorer Adm","4.62%"
"VTSAX","Vanguard Total Stock Mkt Idx Adm","31.28%"
"VFSUX","Vanguard Short-Term Investment-Grade Adm","0.25%"
"VFIDX","Vanguard Interm-Term Investment-Grde Adm","0.77%"

"Rolling Returns"

