"Start Date","01/01/2013"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VTI","Vanguard Total Stock Market ETF","11.20%"
"VEA","Vanguard FTSE Developed Markets ETF","8.40%"
"VWO","Vanguard FTSE Emerging Markets ETF","6.51%"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","2.78%"
"SCHH","Schwab US REIT ETF","3.61%"
"IEMG","iShares Core MSCI Emerging Markets ETF","6.36%"
"SCHE","Schwab Emerging Markets Equity ETF","6.66%"
"SCHF","Schwab International Equity ETF","8.23%"
"ITOT","iShares Core S&P Total US Stock Mkt ETF","11.29%"
"SCHB","Schwab US Broad Market ETF","11.09%"
"IXUS","iShares Core MSCI Total Intl Stk ETF","8.47%"
"VNQ","Vanguard Real Estate ETF","3.67%"
"EMLC","VanEck Vectors JP Morgan EM LC Bd ETF","4.84%"
"PCY","Invesco Emerging Markets Sov Debt ETF","3.16%"
"IYR","iShares US Real Estate ETF","3.73%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$15,769"
"End Balance (inflation adjusted)","$14,324"
"CAGR","7.56%"
"CAGR (inflation adjusted)","5.92%"
"Stdev","10.28%"
"Best Year","22.41%"
"Worst Year","-9.49%"
"Max. Drawdown","-13.34%"
"Sharpe Ratio","0.71"
"Sortino Ratio","1.13"
"US Stock Market Correlation","0.88"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.65%"
"Arithmetic Mean (annualized)","8.12%"
"Geometric Mean (monthly)","0.61%"
"Geometric Mean (annualized)","7.56%"
"Volatility (monthly)","2.97%"
"Volatility (annualized)","10.28%"
"Downside Deviation (monthly)","1.83%"
"Max. Drawdown","-13.34%"
"US Market Correlation","0.88"
"Beta (*)","0.81"
"Alpha (annualized)","-3.03%"
"R Squared","78.21%"
"Sharpe Ratio","0.71"
"Sortino Ratio","1.13"
"Treynor Ratio (%)","8.99"
"Calmar Ratio","0.72"
"Active Return","-5.99%"
"Tracking Error","5.25%"
"Information Ratio","-1.14"
"Skewness","-0.14"
"Excess Kurtosis","0.85"
"Historical Value-at-Risk (5%)","-5.04%"
"Analytical Value-at-Risk (5%)","-4.21%"
"Conditional Value-at-Risk (5%)","-6.40%"
"Upside Capture Ratio (%)","72.25"
"Downside Capture Ratio (%)","97.21"
"Safe Withdrawal Rate","20.38%"
"Perpetual Withdrawal Rate","5.81%"
"Positive Periods","45 out of 75 (60.00%)"
"Gain/Loss Ratio","1.19"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Stock Market ETF (VTI)","Vanguard FTSE Developed Markets ETF (VEA)","Vanguard FTSE Emerging Markets ETF (VWO)","iShares JP Morgan USD Em Mkts Bd ETF (EMB)","Schwab US REIT ETF (SCHH)","iShares Core MSCI Emerging Markets ETF (IEMG)","Schwab Emerging Markets Equity ETF (SCHE)","Schwab International Equity ETF (SCHF)","iShares Core S&P Total US Stock Mkt ETF (ITOT)","Schwab US Broad Market ETF (SCHB)","iShares Core MSCI Total Intl Stk ETF (IXUS)","Vanguard Real Estate ETF (VNQ)","VanEck Vectors JP Morgan EM LC Bd ETF (EMLC)","Invesco Emerging Markets Sov Debt ETF (PCY)","iShares US Real Estate ETF (IYR)"
"2013","7","3.69%","$10,590","5.75%","5.20%","0.70%","0.15%","0.72%","1.04%","1.46%","5.84%","5.37%","5.32%","4.93%","0.90%","1.19%","0.57%","0.24%"
"2013","8","-3.24%","$10,247","-3.03%","-1.60%","-3.43%","-2.43%","-7.15%","-2.49%","-4.31%","-1.80%","-2.99%","-2.93%","-2.10%","-6.98%","-3.95%","-3.36%","-6.53%"
"2013","9","5.35%","$10,796","3.90%","7.85%","7.27%","3.15%","3.49%","7.21%","8.47%","7.35%","3.50%","3.75%","7.60%","3.49%","4.33%","4.21%","3.46%"
"2013","10","3.80%","$11,206","4.27%","3.21%","4.34%","2.53%","4.11%","4.09%","3.94%","3.16%","4.37%","4.28%","3.25%","4.52%","2.33%","2.44%","3.73%"
"2013","11","0.33%","$11,243","2.70%","0.66%","-0.93%","-2.02%","-5.44%","-0.57%","-0.86%","0.73%","3.04%","2.80%","0.70%","-5.25%","-3.28%","-3.11%","-4.64%"
"2013","12","1.49%","$11,410","2.73%","1.90%","-0.28%","0.29%","0.41%","-0.15%","-0.38%","2.10%","2.54%","2.65%","1.21%","0.10%","-0.29%","0.62%","0.90%"
"2014","1","-3.82%","$10,974","-3.17%","-5.21%","-8.43%","-0.81%","3.80%","-7.99%","-8.90%","-4.73%","-3.39%","-3.20%","-5.00%","4.28%","-4.37%","-0.62%","3.44%"
"2014","2","4.50%","$11,467","4.87%","5.95%","3.24%","3.45%","5.25%","3.38%","3.48%","4.96%","4.53%","4.75%","5.11%","5.07%","2.99%","3.47%","4.75%"
"2014","3","1.30%","$11,616","0.51%","-0.37%","4.62%","1.19%","0.83%","3.59%","4.92%","-0.10%","0.80%","0.61%","0.40%","0.49%","2.52%","2.03%","0.14%"
"2014","4","1.13%","$11,747","0.06%","1.57%","0.89%","1.06%","3.71%","0.98%","0.78%","1.52%","0.37%","0.11%","1.35%","3.29%","1.34%","1.32%","3.03%"
"2014","5","2.34%","$12,022","2.10%","1.77%","3.10%","3.47%","2.53%","2.80%","2.49%","1.66%","2.23%","2.25%","1.88%","2.40%","2.16%","4.00%","2.80%"
"2014","6","1.90%","$12,250","2.62%","1.04%","3.17%","0.04%","0.91%","2.35%","3.58%","1.45%","2.28%","2.46%","1.56%","1.13%","1.04%","-0.04%","1.01%"
"2014","7","-0.92%","$12,137","-1.99%","-2.37%","1.37%","-0.25%","0.11%","1.01%","1.58%","-2.09%","-1.67%","-1.87%","-1.74%","0.08%","-0.74%","-0.42%","-0.11%"
"2014","8","2.74%","$12,469","4.15%","0.26%","3.84%","1.27%","2.77%","3.33%","3.78%","0.37%","4.07%","4.10%","1.25%","3.04%","0.36%","2.24%","3.47%"
"2014","9","-4.27%","$11,936","-2.10%","-4.16%","-7.18%","-2.16%","-5.84%","-7.26%","-7.43%","-4.29%","-1.76%","-2.03%","-5.16%","-6.04%","-4.52%","-3.07%","-5.89%"
"2014","10","2.47%","$12,231","2.75%","-0.35%","2.23%","1.97%","10.63%","0.78%","2.09%","-0.42%","2.59%","2.67%","-0.60%","9.94%","0.93%","2.48%","8.35%"
"2014","11","0.85%","$12,335","2.48%","0.00%","-1.10%","-0.41%","2.20%","-1.29%","-0.89%","-0.03%","2.49%","2.52%","-0.20%","2.00%","-1.36%","-0.20%","2.72%"
"2014","12","-1.77%","$12,116","-0.04%","-3.77%","-4.69%","-2.72%","1.83%","-4.21%","-4.33%","-3.70%","0.53%","-0.03%","-3.47%","1.88%","-5.06%","-2.14%","0.81%"
"2015","1","-0.08%","$12,107","-2.74%","0.71%","-0.20%","1.87%","6.65%","-0.02%","0.00%","0.07%","-2.88%","-2.77%","-0.41%","6.85%","0.05%","2.61%","5.71%"
"2015","2","3.77%","$12,563","5.74%","6.16%","4.66%","0.96%","-3.30%","4.21%","4.23%","5.88%","5.68%","5.72%","5.75%","-3.67%","-1.77%","-0.31%","-2.60%"
"2015","3","-1.03%","$12,433","-1.16%","-1.22%","-2.05%","0.02%","1.41%","-1.37%","-2.21%","-1.31%","-1.27%","-1.00%","-1.25%","1.74%","-2.43%","-0.13%","1.09%"
"2015","4","2.26%","$12,714","0.62%","3.87%","7.41%","1.23%","-5.72%","7.26%","7.35%","4.04%","0.63%","0.52%","4.44%","-5.85%","2.55%","1.37%","-4.82%"
"2015","5","-0.53%","$12,646","1.30%","-0.05%","-3.55%","-0.31%","-0.08%","-3.65%","-3.48%","-0.32%","1.33%","1.32%","-0.54%","-0.30%","-2.36%","-0.51%","-0.33%"
"2015","6","-2.52%","$12,328","-1.67%","-2.91%","-2.54%","-1.81%","-4.41%","-2.94%","-2.61%","-2.81%","-1.81%","-1.77%","-2.86%","-4.68%","-1.66%","-2.04%","-4.39%"
"2015","7","-0.04%","$12,323","1.70%","1.46%","-6.26%","0.15%","5.97%","-6.56%","-6.59%","0.85%","1.93%","1.75%","-0.58%","5.77%","-2.57%","1.12%","4.94%"
"2015","8","-6.58%","$11,512","-6.09%","-7.23%","-9.86%","-1.13%","-5.90%","-9.36%","-9.02%","-6.90%","-6.09%","-6.05%","-7.25%","-6.29%","-4.68%","-0.39%","-5.80%"
"2015","9","-2.42%","$11,233","-2.92%","-4.08%","-2.88%","-1.07%","3.29%","-1.97%","-3.21%","-4.33%","-2.61%","-2.94%","-3.90%","3.05%","-3.13%","-0.33%","1.60%"
"2015","10","6.44%","$11,957","7.91%","6.73%","5.29%","2.43%","5.86%","6.14%","5.44%","6.58%","8.23%","7.93%","6.20%","5.76%","4.03%","2.66%","6.23%"
"2015","11","-0.59%","$11,886","0.60%","-0.76%","-2.30%","0.31%","-0.58%","-2.29%","-2.53%","-0.96%","0.43%","0.60%","-1.16%","-0.63%","-1.65%","0.04%","-0.20%"
"2015","12","-1.93%","$11,657","-2.13%","-2.14%","-3.44%","-1.52%","2.22%","-3.47%","-3.77%","-2.43%","-1.86%","-2.12%","-2.36%","1.82%","-2.26%","-1.70%","1.10%"
"2016","1","-4.82%","$11,095","-5.72%","-5.53%","-5.75%","0.04%","-3.96%","-5.20%","-5.43%","-5.41%","-5.87%","-5.71%","-5.62%","-3.44%","-0.12%","-0.04%","-4.10%"
"2016","2","-0.64%","$11,024","-0.01%","-3.08%","-0.32%","1.76%","-1.00%","-0.96%","-0.33%","-2.95%","0.11%","-0.02%","-1.93%","-0.36%","1.69%","1.72%","-0.75%"
"2016","3","8.49%","$11,960","7.11%","7.20%","12.72%","3.31%","10.37%","12.55%","12.94%","7.15%","7.16%","7.13%","7.95%","10.48%","8.66%","3.32%","10.26%"
"2016","4","0.92%","$12,070","0.66%","2.31%","1.01%","1.55%","-2.85%","0.67%","1.06%","2.36%","0.58%","0.57%","2.45%","-2.35%","2.34%","1.53%","-1.67%"
"2016","5","-0.29%","$12,035","1.73%","-0.30%","-3.24%","-0.22%","2.04%","-3.41%","-3.38%","-0.36%","1.79%","1.76%","-1.05%","2.25%","-5.25%","-0.34%","2.21%"
"2016","6","1.92%","$12,266","0.27%","-2.04%","4.93%","4.17%","6.43%","4.34%","4.98%","-1.95%","0.16%","0.23%","-0.83%","6.92%","6.11%","4.64%","6.24%"
"2016","7","3.94%","$12,750","3.98%","4.16%","5.14%","1.37%","4.26%","5.09%","5.12%","4.06%","3.96%","3.96%","4.15%","4.26%","0.70%","2.38%","3.65%"
"2016","8","0.04%","$12,755","0.21%","0.41%","0.78%","1.33%","-3.36%","1.00%","0.85%","0.60%","0.30%","0.21%","0.59%","-3.76%","-0.60%","1.80%","-3.35%"
"2016","9","0.87%","$12,865","0.21%","1.65%","2.05%","0.41%","-2.02%","2.70%","2.17%","1.44%","0.19%","0.18%","1.81%","-1.82%","2.19%","0.55%","-1.47%"
"2016","10","-2.07%","$12,599","-2.19%","-2.41%","0.32%","-1.73%","-5.63%","-1.03%","0.30%","-2.22%","-2.28%","-2.14%","-1.80%","-5.74%","-1.25%","-2.73%","-4.96%"
"2016","11","-0.73%","$12,508","4.49%","-1.51%","-4.05%","-4.31%","-1.37%","-4.14%","-4.41%","-1.53%","4.42%","4.45%","-2.28%","-1.68%","-7.32%","-5.42%","-2.34%"
"2016","12","1.81%","$12,734","1.98%","2.45%","-0.74%","1.49%","4.63%","-0.52%","-0.24%","2.43%","2.02%","1.96%","1.86%","4.82%","2.54%","1.56%","4.25%"
"2017","1","2.95%","$13,110","1.86%","3.67%","5.76%","1.73%","-0.93%","6.57%","5.71%","3.65%","2.01%","1.90%","4.10%","-0.19%","2.16%","1.86%","0.13%"
"2017","2","2.55%","$13,444","3.69%","1.06%","2.25%","1.68%","3.44%","2.03%","2.54%","0.98%","3.57%","3.69%","1.45%","3.51%","1.56%","1.80%","4.37%"
"2017","3","1.26%","$13,613","0.06%","3.06%","2.84%","0.51%","-2.78%","3.53%","2.57%","3.11%","0.12%","0.08%","2.68%","-2.42%","2.24%","0.48%","-1.45%"
"2017","4","1.45%","$13,810","1.06%","2.21%","1.56%","1.71%","-0.25%","1.90%","1.79%","2.14%","1.00%","1.00%","2.36%","0.24%","1.30%","1.87%","0.56%"
"2017","5","1.55%","$14,025","1.01%","3.41%","0.99%","0.76%","-0.59%","2.34%","1.23%","3.47%","1.06%","1.09%","2.82%","-0.72%","1.57%","0.69%","-0.11%"
"2017","6","0.87%","$14,147","0.95%","0.64%","0.85%","-0.72%","2.51%","1.13%","0.61%","0.67%","0.93%","0.79%","0.84%","2.23%","0.53%","-0.57%","2.09%"
"2017","7","2.85%","$14,550","1.88%","2.88%","5.34%","1.18%","0.85%","5.50%","5.71%","2.86%","1.89%","2.02%","3.56%","1.24%","2.26%","0.96%","1.12%"
"2017","8","0.84%","$14,672","0.15%","0.02%","3.00%","1.99%","-0.77%","2.31%","2.85%","-0.12%","0.12%","0.13%","0.69%","-0.26%","1.39%","2.18%","0.67%"
"2017","9","1.26%","$14,857","2.44%","2.52%","-0.49%","-0.19%","0.30%","0.02%","-0.41%","2.51%","2.40%","2.43%","1.96%","-0.11%","-0.65%","-0.21%","-0.79%"
"2017","10","1.57%","$15,090","2.17%","1.77%","2.43%","0.24%","-1.14%","3.26%","2.30%","1.82%","2.24%","2.17%","1.98%","-1.07%","-2.78%","-0.11%","0.05%"
"2017","11","1.48%","$15,314","3.03%","0.86%","-0.34%","-0.27%","3.10%","0.13%","0.04%","0.76%","3.04%","3.00%","0.58%","2.66%","1.58%","-0.81%","2.57%"
"2017","12","1.79%","$15,588","1.16%","1.65%","3.70%","1.24%","0.06%","3.68%","3.86%","1.56%","1.21%","1.14%","2.11%","-0.14%","1.97%","1.22%","-0.10%"
"2018","1","4.44%","$16,280","5.23%","4.75%","8.56%","-0.64%","-3.99%","7.98%","9.45%","4.84%","5.22%","5.21%","5.58%","-4.25%","3.74%","-0.79%","-3.02%"
"2018","2","-4.62%","$15,527","-3.76%","-5.11%","-5.36%","-2.18%","-7.18%","-5.71%","-5.82%","-5.32%","-3.79%","-3.71%","-5.03%","-7.68%","-0.73%","-2.92%","-6.66%"
"2018","3","-0.29%","$15,483","-1.95%","-0.40%","-0.21%","0.55%","3.85%","0.81%","-0.35%","-0.33%","-1.91%","-2.01%","-0.33%","3.88%","1.17%","0.12%","3.78%"
"2018","4","-0.40%","$15,421","0.45%","1.27%","-2.77%","-2.05%","1.46%","-2.65%","-3.03%","1.42%","0.31%","0.38%","0.44%","0.82%","-3.52%","-2.18%","0.23%"
"2018","5","0.12%","$15,439","2.72%","-1.43%","-2.34%","-0.81%","3.94%","-2.32%","-2.77%","-1.70%","2.80%","2.83%","-1.56%","3.68%","-5.39%","-1.10%","3.37%"
"2018","6","-0.89%","$15,302","0.70%","-1.67%","-4.79%","-1.49%","4.33%","-4.65%","-4.32%","-1.67%","0.69%","0.66%","-2.11%","4.20%","-3.43%","-1.59%","4.06%"
"2018","7","2.83%","$15,734","3.32%","2.28%","3.98%","2.57%","0.50%","3.03%","4.13%","2.51%","3.29%","3.36%","2.38%","0.60%","2.89%","3.43%","0.83%"
"2018","8","-0.11%","$15,717","3.43%","-1.73%","-4.19%","-2.32%","3.02%","-3.31%","-4.01%","-1.89%","3.48%","3.40%","-2.24%","2.58%","-6.73%","-2.13%","2.38%"
"2018","9","-0.07%","$15,705","0.20%","0.71%","-1.35%","2.03%","-2.77%","-1.01%","-0.66%","0.87%","0.15%","0.24%","0.22%","-2.64%","2.41%","1.73%","-2.84%"
"2018","10","-6.70%","$14,653","-7.41%","-8.60%","-7.66%","-2.51%","-2.64%","-8.73%","-7.35%","-8.41%","-7.35%","-7.44%","-8.34%","-2.93%","-1.50%","-2.77%","-2.39%"
"2018","11","2.35%","$14,998","2.01%","0.51%","4.83%","-0.49%","4.82%","4.68%","4.79%","0.52%","1.91%","1.92%","1.19%","4.67%","2.14%","-0.18%","4.70%"
"2018","12","-5.93%","$14,108","-9.16%","-5.67%","-3.34%","1.90%","-8.46%","-2.95%","-3.23%","-5.44%","-9.13%","-9.15%","-4.88%","-7.96%","1.25%","2.25%","-7.80%"
"2019","1","8.42%","$15,296","8.54%","7.47%","9.66%","4.78%","11.30%","9.61%","9.52%","7.20%","8.44%","8.56%","7.79%","11.85%","5.36%","4.69%","11.48%"
"2019","2","1.63%","$15,546","3.56%","2.33%","-0.38%","0.40%","1.07%","-1.08%","-0.74%","2.40%","3.53%","3.52%","1.55%","0.70%","-1.32%","0.77%","0.73%"
"2019","3","1.44%","$15,769","1.42%","0.60%","2.31%","1.51%","2.85%","1.15%","1.68%","0.61%","1.44%","1.45%","0.99%","4.21%","-1.80%","1.73%","4.17%"

"Portfolio Returns Based Style Analysis"

"Style Category","Portfolio 1"
"Large-cap Value","12.41%"
"Large-cap Growth","13.34%"
"Mid-cap Value","10.94%"
"Mid-cap Growth","0.29%"
"Small-cap Value","0.97%"
"Small-cap Growth","0.00%"
"Global ex-US Developed Markets","26.32%"
"Emerging Markets","25.10%"
"Corporate Bonds","0.00%"
"Long-Term Treasuries","10.64%"
"Intermediate-Term Treasuries","0.00%"
"Short-Term Treasuries","0.00%"
"R Squared","99.06%"
"Style analysis is based on monthly returns from Jan 2013 to Mar 2019 and uses total portfolio return with monthly rebalancing."

"Exposures for Portfolio 1"

"Ticker","Name","Category","Duration","ER","Weight","Return Contribution","Risk Contribution"
"VTI","Vanguard Total Stock Market ETF","Large Blend","","0.04%","11.20%","$1,140","10.89%"
"VEA","Vanguard FTSE Developed Markets ETF","Foreign Large Blend","","0.07%","8.40%","$364","9.02%"
"VWO","Vanguard FTSE Emerging Markets ETF","Diversified Emerging Mkts","","0.12%","6.51%","$155","8.40%"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","Emerging Markets Bond","7.23","0.39%","2.78%","$70.36","1.17%"
"SCHH","Schwab US REIT ETF","Real Estate","","0.07%","3.61%","$255","3.06%"
"IEMG","iShares Core MSCI Emerging Markets ETF","Diversified Emerging Mkts","","0.14%","6.36%","$165","8.06%"
"SCHE","Schwab Emerging Markets Equity ETF","Diversified Emerging Mkts","","0.13%","6.66%","$176","8.70%"
"SCHF","Schwab International Equity ETF","Foreign Large Blend","","0.06%","8.23%","$316","8.65%"
"ITOT","iShares Core S&P Total US Stock Mkt ETF","Large Blend","","0.03%","11.29%","$1,164","10.88%"
"SCHB","Schwab US Broad Market ETF","Large Blend","","0.03%","11.09%","$1,125","10.72%"
"IXUS","iShares Core MSCI Total Intl Stk ETF","Foreign Large Blend","","0.10%","8.47%","$305","9.16%"
"VNQ","Vanguard Real Estate ETF","Real Estate","","0.12%","3.67%","$262","3.17%"
"EMLC","VanEck Vectors JP Morgan EM LC Bd ETF","Emerging-Markets Local-Currency Bond","5.04","0.30%","4.84%","-$74.83","3.39%"
"PCY","Invesco Emerging Markets Sov Debt ETF","Emerging Markets Bond","9.25","0.50%","3.16%","$83.57","1.47%"
"IYR","iShares US Real Estate ETF","Real Estate","","0.43%","3.73%","$264","3.25%"

"Asset Allocation for Portfolio 1"

"Category","Weight"
"US Stocks","44.35%"
"Intl Stocks","44.08%"
"US Bonds","0.02%"
"Intl Bonds","10.74%"
"Other","0.07%"
"Cash","0.74%"

"Equity Market Capitalization for Portfolio 1"

"Category","Weight"
"Large Cap","73.93%"
"Mid Cap","20.44%"
"Small Cap","5.63%"

"Stock Sectors for Portfolio 1"

"Category","Weight"
"Basic Materials","5.32%"
"Consumer Cyclical","10.31%"
"Financial Services","16.81%"
"Real Estate","14.84%"
"Consumer Defensive","6.93%"
"Healthcare","8.53%"
"Utilities","2.78%"
"Communication Services","4.05%"
"Energy","5.58%"
"Industrials","8.99%"
"Technology","15.86%"

"Fixed Income Credit Quality for Portfolio 1"

"Category","Weight"
"AAA","1.48%"
"AA","2.69%"
"A","12.01%"
"BBB","35.11%"
"Non-Investment Grade","35.36%"
"Not Rated","13.34%"

"Fixed Income Maturity for Portfolio 1"

"Category","Weight"
"Under 1 Year","58.07%"
"1 - 3 Years","4.88%"
"3 - 5 Years","7.84%"
"5 - 7 Years","4.85%"
"7 - 10 Years","8.85%"
"10 - 15 Years","3.79%"
"15 - 20 Years","2.90%"
"20 - 30 Years","8.14%"
"Over 30 Years","0.69%"

"Drawdowns for Portfolio 1"

"Rank","Start","End","Length","Recovery By","Recovery Time","Underwater Period","Drawdown"
"1","Feb 2018","Dec 2018","11 months","","","","-13.34%"
"2","May 2015","Feb 2016","10 months","Jul 2016","5 months","1 year 3 months","-13.29%"
