"Start Date","01/01/2014"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"CASHX","Cash","7.06%"
"SCHH","Schwab US REIT ETF","3.15%"
"IEMG","iShares Core MSCI Emerging Markets ETF","2.43%"
"IAU","iShares Gold Trust","1.94%"
"SCHE","Schwab Emerging Markets Equity ETF","0.40%"
"FNDE","Schwab Fundamental Emerg Mkts Lg Co ETF","4.66%"
"FNDF","Schwab Fundamental Intl Lg Co ETF","11.63%"
"FNDC","Schwab Fundamental Intl Sm Co ETF","4.77%"
"FNDX","Schwab Fundamental US Large Company ETF","16.18%"
"FNDA","Schwab Fundamental US Small Company ETF","10.52%"
"SCHR","Schwab Intermediate-Term US Trs ETF","2.10%"
"SCHF","Schwab International Equity ETF","7.76%"
"SCHC","Schwab International Small-Cap Eq ETF","3.88%"
"SCHX","Schwab US Large-Cap ETF","7.42%"
"SCHA","Schwab US Small-Cap ETF","6.31%"
"SCHP","Schwab US TIPS ETF","2.02%"
"EBND","SPDR Blmbg Barclays Em Mkts Lcl Bd ETF","1.96%"
"VNQI","Vanguard Global ex-US Real Est ETF","1.91%"
"VOO","Vanguard S&P 500 ETF","3.90%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$13,264"
"End Balance (inflation adjusted)","$12,229"
"CAGR","5.53%"
"CAGR (inflation adjusted)","3.91%"
"Stdev","9.64%"
"Best Year","18.45%"
"Worst Year","-9.36%"
"Max. Drawdown","-12.68%"
"Sharpe Ratio","0.54"
"Sortino Ratio","0.82"
"US Stock Market Correlation","0.95"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.49%"
"Arithmetic Mean (annualized)","6.01%"
"Geometric Mean (monthly)","0.45%"
"Geometric Mean (annualized)","5.53%"
"Volatility (monthly)","2.78%"
"Volatility (annualized)","9.64%"
"Downside Deviation (monthly)","1.82%"
"Max. Drawdown","-12.68%"
"US Market Correlation","0.95"
"Beta (*)","0.80"
"Alpha (annualized)","-2.37%"
"R Squared","89.76%"
"Sharpe Ratio","0.54"
"Sortino Ratio","0.82"
"Treynor Ratio (%)","6.54"
"Calmar Ratio","0.70"
"Active Return","-4.59%"
"Tracking Error","3.88%"
"Information Ratio","-1.19"
"Skewness","-0.22"
"Excess Kurtosis","1.25"
"Historical Value-at-Risk (5%)","-5.13%"
"Analytical Value-at-Risk (5%)","-4.06%"
"Conditional Value-at-Risk (5%)","-6.18%"
"Upside Capture Ratio (%)","71.11"
"Downside Capture Ratio (%)","89.45"
"Safe Withdrawal Rate","21.71%"
"Perpetual Withdrawal Rate","3.95%"
"Positive Periods","41 out of 63 (65.08%)"
"Gain/Loss Ratio","0.87"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Cash (CASHX)","Schwab US REIT ETF (SCHH)","iShares Core MSCI Emerging Markets ETF (IEMG)","iShares Gold Trust (IAU)","Schwab Emerging Markets Equity ETF (SCHE)","Schwab Fundamental Emerg Mkts Lg Co ETF (FNDE)","Schwab Fundamental Intl Lg Co ETF (FNDF)","Schwab Fundamental Intl Sm Co ETF (FNDC)","Schwab Fundamental US Large Company ETF (FNDX)","Schwab Fundamental US Small Company ETF (FNDA)","Schwab Intermediate-Term US Trs ETF (SCHR)","Schwab International Equity ETF (SCHF)","Schwab International Small-Cap Eq ETF (SCHC)","Schwab US Large-Cap ETF (SCHX)","Schwab US Small-Cap ETF (SCHA)","Schwab US TIPS ETF (SCHP)","SPDR Blmbg Barclays Em Mkts Lcl Bd ETF (EBND)","Vanguard Global ex-US Real Est ETF (VNQI)","Vanguard S&P 500 ETF (VOO)"
"2014","7","-1.92%","$10,401","0.00%","0.11%","1.01%","-3.57%","1.58%","0.98%","-2.86%","-2.13%","-1.17%","-4.84%","-0.48%","-2.09%","-3.27%","-1.52%","-5.36%","-0.07%","-0.48%","1.03%","-1.38%"
"2014","8","2.24%","$10,634","0.00%","2.77%","3.33%","0.32%","3.78%","3.08%","-0.14%","0.07%","3.50%","4.51%","1.16%","0.37%","0.87%","4.01%","4.99%","0.65%","0.23%","0.26%","3.97%"
"2014","9","-3.92%","$10,217","0.00%","-5.84%","-7.26%","-6.10%","-7.43%","-9.58%","-4.13%","-5.19%","-1.60%","-5.71%","-0.70%","-4.29%","-6.28%","-1.61%","-5.30%","-2.61%","-4.91%","-6.58%","-1.38%"
"2014","10","1.58%","$10,379","0.00%","10.63%","0.78%","-2.99%","2.09%","-0.42%","-1.19%","-0.26%","1.48%","4.85%","1.21%","-0.42%","-1.69%","2.36%","4.98%","0.93%","1.22%","4.43%","2.40%"
"2014","11","0.70%","$10,451","0.00%","2.20%","-1.29%","-0.53%","-0.89%","-2.70%","-0.22%","-1.71%","2.34%","1.86%","0.70%","-0.03%","-2.08%","2.83%","0.76%","0.18%","-1.43%","-1.13%","2.76%"
"2014","12","-0.95%","$10,352","0.00%","1.83%","-4.21%","1.33%","-4.33%","-5.93%","-4.02%","-1.39%","0.42%","1.41%","-0.14%","-3.70%","-1.89%","-0.37%","1.73%","-0.90%","-3.83%","-2.41%","-0.32%"
"2015","1","-0.93%","$10,255","0.00%","6.65%","-0.02%","8.65%","0.00%","-1.67%","-0.23%","0.47%","-3.59%","-3.02%","2.44%","0.07%","-0.28%","-2.67%","-2.59%","3.10%","-0.63%","2.65%","-2.87%"
"2015","2","4.36%","$10,702","0.00%","-3.30%","4.21%","-5.79%","4.23%","5.73%","6.48%","6.12%","5.34%","6.04%","-1.36%","5.88%","5.94%","5.55%","6.17%","-1.32%","-0.85%","3.68%","5.58%"
"2015","3","-0.91%","$10,605","0.00%","1.41%","-1.37%","-2.22%","-2.21%","-3.20%","-2.46%","-0.80%","-1.55%","1.33%","0.62%","-1.31%","-1.05%","-1.20%","1.34%","-0.47%","-2.64%","-1.18%","-1.57%"
"2015","4","1.81%","$10,796","0.00%","-5.72%","7.26%","-0.09%","7.35%","10.56%","4.40%","3.64%","0.87%","-1.71%","-0.11%","4.04%","4.94%","0.77%","-1.84%","0.67%","2.64%","5.08%","1.00%"
"2015","5","-0.01%","$10,795","0.00%","-0.08%","-3.65%","0.61%","-3.48%","-6.06%","-0.50%","0.43%","0.99%","1.02%","-0.17%","-0.32%","0.73%","1.26%","2.19%","-1.07%","-2.32%","-2.33%","1.25%"
"2015","6","-1.91%","$10,589","0.00%","-4.41%","-2.94%","-1.48%","-2.61%","-2.04%","-3.18%","-1.41%","-2.19%","-1.15%","-0.72%","-2.81%","-1.82%","-1.98%","-0.20%","-0.90%","-0.88%","-3.30%","-1.95%"
"2015","7","-0.37%","$10,550","0.00%","5.97%","-6.56%","-6.70%","-6.59%","-9.55%","0.90%","-0.32%","0.34%","-0.89%","0.87%","0.85%","-1.28%","2.03%","-0.63%","0.42%","-3.14%","-0.65%","2.18%"
"2015","8","-5.30%","$9,991","0.00%","-5.90%","-9.36%","3.78%","-9.02%","-7.47%","-7.08%","-4.60%","-5.76%","-5.12%","-0.06%","-6.90%","-4.79%","-5.96%","-6.27%","-1.03%","-3.74%","-7.44%","-6.14%"
"2015","9","-2.97%","$9,694","0.00%","3.29%","-1.97%","-1.82%","-3.21%","-5.08%","-5.34%","-3.73%","-2.52%","-4.35%","1.23%","-4.33%","-2.99%","-2.77%","-4.80%","-0.39%","-2.65%","0.43%","-2.47%"
"2015","10","5.93%","$10,269","0.00%","5.86%","6.14%","2.23%","5.44%","7.45%","7.46%","5.91%","7.88%","6.50%","-0.52%","6.58%","4.59%","8.17%","5.61%","0.32%","3.50%","5.06%","8.45%"
"2015","11","-0.27%","$10,241","0.00%","-0.58%","-2.29%","-6.72%","-2.53%","-3.76%","-1.49%","0.30%","0.10%","1.93%","-0.40%","-0.96%","-0.17%","0.42%","2.27%","-0.13%","-1.30%","-2.33%","0.43%"
"2015","12","-2.31%","$10,005","0.01%","2.22%","-3.47%","-0.49%","-3.77%","-5.07%","-3.22%","-0.58%","-2.16%","-4.96%","-0.22%","-2.43%","-0.95%","-1.78%","-4.62%","-0.92%","-2.11%","-0.76%","-1.74%"
"2016","1","-4.49%","$9,555","0.01%","-3.96%","-5.20%","5.38%","-5.43%","-4.15%","-5.16%","-5.86%","-4.40%","-7.01%","2.22%","-5.41%","-6.87%","-5.37%","-8.01%","1.56%","-0.33%","-4.77%","-4.91%"
"2016","2","0.02%","$9,557","0.02%","-1.00%","-0.96%","11.22%","-0.33%","1.37%","-2.70%","-1.52%","0.66%","1.77%","0.84%","-2.95%","-0.45%","-0.15%","0.65%","1.07%","1.55%","0.95%","-0.21%"
"2016","3","7.35%","$10,260","0.02%","10.37%","12.55%","-0.92%","12.94%","16.40%","7.64%","8.59%","7.53%","8.69%","0.22%","7.15%","8.31%","6.97%","8.39%","1.82%","8.40%","9.10%","6.87%"
"2016","4","1.71%","$10,435","0.01%","-2.85%","0.67%","5.05%","1.06%","4.78%","3.59%","2.05%","1.25%","1.57%","-0.18%","2.36%","3.21%","0.43%","1.92%","0.23%","2.30%","2.09%","0.35%"
"2016","5","-0.32%","$10,402","0.01%","2.04%","-3.41%","-6.09%","-3.38%","-8.61%","-1.47%","1.32%","0.94%","1.13%","-0.20%","-0.36%","-0.07%","1.75%","1.92%","-0.79%","-4.06%","-1.70%","1.75%"
"2016","6","0.73%","$10,478","0.02%","6.43%","4.34%","8.87%","4.98%","7.51%","-1.70%","-2.56%","1.15%","-0.07%","2.11%","-1.95%","-3.55%","0.21%","0.21%","2.28%","5.21%","1.59%","0.32%"
"2016","7","3.75%","$10,871","0.02%","4.26%","5.09%","2.04%","5.12%","7.64%","3.50%","5.56%","2.80%","5.25%","0.00%","4.06%","5.31%","3.80%","5.22%","0.73%","0.86%","4.03%","3.68%"
"2016","8","0.08%","$10,880","0.02%","-3.36%","1.00%","-3.23%","0.85%","0.52%","0.98%","-0.32%","-0.06%","0.68%","-0.75%","0.60%","-0.86%","0.19%","1.02%","-0.42%","-0.28%","-0.55%","0.12%"
"2016","9","0.82%","$10,969","0.02%","-2.02%","2.70%","0.71%","2.17%","2.77%","1.61%","3.13%","-0.10%","0.13%","0.35%","1.44%","2.69%","0.09%","0.53%","0.76%","1.14%","1.12%","0.04%"
"2016","10","-1.75%","$10,777","0.02%","-5.63%","-1.03%","-2.92%","0.30%","3.29%","-0.48%","-1.37%","-1.84%","-2.95%","-0.86%","-2.22%","-3.72%","-1.86%","-4.24%","-0.60%","-1.34%","-4.84%","-1.79%"
"2016","11","1.96%","$10,989","0.01%","-1.37%","-4.14%","-8.36%","-4.41%","-2.04%","-0.92%","-1.56%","5.93%","10.36%","-2.57%","-1.53%","-1.51%","3.77%","9.65%","-2.00%","-6.65%","-3.89%","3.73%"
"2016","12","1.92%","$11,200","0.03%","4.63%","-0.52%","-1.86%","-0.24%","1.21%","3.42%","1.76%","1.96%","2.97%","-0.15%","2.43%","1.41%","1.98%","2.33%","-0.01%","1.88%","-0.28%","2.07%"
"2017","1","2.22%","$11,449","0.04%","-0.93%","6.57%","5.32%","5.71%","7.62%","3.31%","3.98%","0.80%","0.41%","0.36%","3.65%","4.05%","1.99%","1.02%","0.88%","2.60%","3.35%","1.78%"
"2017","2","1.84%","$11,659","0.04%","3.44%","2.03%","3.17%","2.54%","0.82%","0.31%","1.56%","3.07%","1.90%","0.38%","0.98%","0.86%","3.85%","1.95%","0.36%","1.61%","2.67%","3.88%"
"2017","3","0.86%","$11,760","0.03%","-2.78%","3.53%","-0.25%","2.57%","1.93%","3.04%","2.20%","-0.32%","-0.52%","0.01%","3.11%","2.59%","0.18%","-0.27%","0.02%","1.73%","1.25%","0.13%"
"2017","4","1.04%","$11,883","0.05%","-0.25%","1.90%","1.67%","1.79%","0.61%","1.16%","3.04%","0.13%","0.70%","0.91%","2.14%","3.13%","1.07%","0.81%","0.41%","0.71%","2.25%","1.04%"
"2017","5","0.92%","$11,992","0.06%","-0.59%","2.34%","-0.08%","1.23%","0.34%","3.06%","2.53%","0.06%","-2.01%","0.46%","3.47%","2.79%","1.35%","-1.81%","0.09%","1.76%","3.64%","1.40%"
"2017","6","0.82%","$12,090","0.06%","2.51%","1.13%","-2.13%","0.61%","-0.22%","0.25%","1.21%","0.82%","2.05%","-0.29%","0.67%","1.26%","0.68%","2.86%","-0.94%","0.52%","0.15%","0.63%"
"2017","7","2.24%","$12,362","0.07%","0.85%","5.50%","2.35%","5.71%","5.18%","3.39%","3.27%","1.71%","0.89%","0.39%","2.86%","3.27%","2.01%","1.14%","0.52%","2.07%","4.09%","2.06%"
"2017","8","0.17%","$12,383","0.09%","-0.77%","2.31%","4.09%","2.85%","2.93%","0.07%","0.53%","-0.47%","-1.74%","0.85%","-0.12%","0.72%","0.29%","-0.91%","1.04%","1.72%","1.26%","0.29%"
"2017","9","2.31%","$12,669","0.09%","0.30%","0.02%","-3.22%","-0.41%","-0.56%","3.07%","2.53%","3.22%","5.64%","-0.91%","2.51%","2.40%","2.06%","5.44%","-0.74%","-0.45%","0.50%","2.04%"
"2017","10","1.22%","$12,823","0.09%","-1.14%","3.26%","-0.81%","2.30%","2.65%","1.37%","1.75%","1.37%","0.80%","-0.14%","1.82%","1.06%","2.30%","0.89%","0.27%","-2.27%","0.42%","2.33%"
"2017","11","1.86%","$13,062","0.08%","3.10%","0.13%","0.33%","0.04%","-0.68%","0.92%","0.93%","3.59%","3.77%","-0.40%","0.76%","0.99%","3.01%","2.99%","0.12%","1.64%","1.39%","3.06%"
"2017","12","1.56%","$13,266","0.09%","0.06%","3.68%","2.12%","3.86%","3.67%","1.80%","2.42%","2.03%","0.34%","-0.01%","1.56%","2.98%","1.28%","0.09%","0.96%","1.58%","3.19%","1.28%"
"2018","1","3.81%","$13,771","0.11%","-3.99%","7.98%","3.28%","9.45%","9.50%","4.84%","4.23%","4.51%","2.06%","-1.33%","4.84%","4.86%","5.53%","2.67%","-0.90%","3.03%","5.49%","5.59%"
"2018","2","-4.22%","$13,191","0.11%","-7.18%","-5.71%","-2.01%","-5.82%","-4.68%","-5.27%","-4.19%","-5.01%","-4.58%","-0.52%","-5.32%","-4.71%","-3.70%","-3.99%","-0.91%","-1.41%","-7.05%","-3.73%"
"2018","3","-0.23%","$13,160","0.12%","3.85%","0.81%","0.55%","-0.35%","0.71%","-0.70%","-0.25%","-1.83%","1.08%","0.79%","-0.33%","-0.25%","-2.29%","0.86%","0.83%","1.43%","2.83%","-2.48%"
"2018","4","0.59%","$13,237","0.14%","1.46%","-2.65%","-0.86%","-3.03%","-1.96%","2.37%","0.75%","1.02%","0.99%","-0.92%","1.42%","0.88%","0.32%","0.67%","-0.01%","-3.10%","0.53%","0.35%"
"2018","5","0.65%","$13,323","0.14%","3.94%","-2.32%","-1.27%","-2.77%","-4.74%","-2.35%","-1.27%","1.80%","4.92%","0.78%","-1.70%","-0.19%","2.47%","5.49%","0.25%","-4.92%","-1.39%","2.42%"
"2018","6","-0.49%","$13,259","0.14%","4.33%","-4.65%","-3.53%","-4.32%","-4.98%","-1.43%","-2.13%","0.46%","1.41%","0.08%","-1.67%","-1.88%","0.69%","0.46%","0.64%","-2.65%","-2.61%","0.76%"
"2018","7","2.22%","$13,553","0.16%","0.50%","3.03%","-2.33%","4.13%","5.46%","2.95%","0.72%","3.59%","1.65%","-0.35%","2.51%","0.39%","3.57%","1.63%","-0.52%","2.08%","1.58%","3.56%"
"2018","8","0.50%","$13,621","0.16%","3.02%","-3.31%","-2.04%","-4.01%","-3.29%","-3.03%","-1.82%","2.35%","2.74%","0.69%","-1.89%","-1.08%","3.27%","4.61%","0.68%","-5.04%","-2.03%","3.22%"
"2018","9","-0.03%","$13,616","0.15%","-2.77%","-1.01%","-0.61%","-0.66%","2.09%","1.56%","0.15%","0.76%","-1.95%","-0.76%","0.87%","-0.45%","0.52%","-2.34%","-0.96%","1.87%","-2.40%","0.58%"
"2018","10","-6.60%","$12,718","0.19%","-2.64%","-8.73%","2.10%","-7.35%","-6.80%","-7.78%","-9.59%","-6.00%","-9.26%","0.03%","-8.41%","-10.21%","-7.03%","-10.56%","-1.48%","-0.81%","-5.77%","-6.84%"
"2018","11","1.29%","$12,882","0.18%","4.82%","4.68%","0.34%","4.79%","2.31%","0.04%","0.35%","1.39%","1.30%","0.93%","0.52%","-0.44%","1.89%","1.60%","0.42%","2.45%","4.02%","1.89%"
"2018","12","-6.66%","$12,025","0.19%","-8.46%","-2.95%","4.95%","-3.23%","-3.19%","-5.66%","-7.18%","-9.59%","-11.71%","2.08%","-5.44%","-6.51%","-8.79%","-11.83%","0.57%","0.81%","-2.26%","-8.84%"
"2019","1","7.76%","$12,958","0.21%","11.30%","9.61%","2.85%","9.52%","10.80%","7.22%","8.08%","7.95%","11.21%","0.43%","7.20%","8.59%","8.07%","12.01%","1.52%","4.71%","9.46%","7.92%"
"2019","2","2.11%","$13,232","0.18%","1.07%","-1.08%","-0.47%","-0.74%","-2.10%","1.85%","1.86%","3.14%","4.24%","-0.22%","2.40%","2.22%","3.41%","4.94%","-0.17%","-1.12%","-0.75%","3.25%"
"2019","3","0.25%","$13,264","0.18%","2.85%","1.15%","-1.59%","1.68%","-1.03%","0.15%","-0.45%","0.87%","-1.98%","1.76%","0.61%","-0.15%","1.77%","-1.72%","1.91%","-1.21%","4.62%","1.92%"

"Portfolio Returns Based Style Analysis"

"Style Category","Portfolio 1"
"Large-cap Value","12.06%"
"Large-cap Growth","7.43%"
"Mid-cap Value","17.44%"
"Mid-cap Growth","0.00%"
"Small-cap Value","6.67%"
"Small-cap Growth","0.00%"
"Global ex-US Developed Markets","28.85%"
"Emerging Markets","10.86%"
"Corporate Bonds","7.66%"
"Long-Term Treasuries","0.62%"
"Intermediate-Term Treasuries","0.00%"
"Short-Term Treasuries","8.42%"
"R Squared","99.34%"
"Style analysis is based on monthly returns from Jan 2014 to Mar 2019 and uses total portfolio return with monthly rebalancing."

"Exposures for Portfolio 1"

"Ticker","Name","Category","Duration","ER","Weight","Return Contribution","Risk Contribution"
"CASHX","Cash","Cash","","","7.06%","$29.58","-0.00%"
"SCHH","Schwab US REIT ETF","Real Estate","","0.07%","3.15%","$190","2.52%"
"IEMG","iShares Core MSCI Emerging Markets ETF","Diversified Emerging Mkts","","0.14%","2.43%","$62.58","3.14%"
"IAU","iShares Gold Trust","Commodities Precious Metals","","0.25%","1.94%","$16.12","0.03%"
"SCHE","Schwab Emerging Markets Equity ETF","Diversified Emerging Mkts","","0.13%","0.40%","$10.95","0.52%"
"FNDE","Schwab Fundamental Emerg Mkts Lg Co ETF","Diversified Emerging Mkts","","0.39%","4.66%","$117","6.62%"
"FNDF","Schwab Fundamental Intl Lg Co ETF","Foreign Large Value","","0.25%","11.63%","$176","13.31%"
"FNDC","Schwab Fundamental Intl Sm Co ETF","Foreign Small/Mid Blend","","0.39%","4.77%","$131","5.28%"
"FNDX","Schwab Fundamental US Large Company ETF","Large Value","","0.25%","16.18%","$809","17.53%"
"FNDA","Schwab Fundamental US Small Company ETF","Small Blend","","0.25%","10.52%","$428","13.96%"
"SCHR","Schwab Intermediate-Term US Trs ETF","Intermediate Government","5.15","0.06%","2.10%","$27.52","-0.16%"
"SCHF","Schwab International Equity ETF","Foreign Large Blend","","0.06%","7.76%","$135","8.58%"
"SCHC","Schwab International Small-Cap Eq ETF","Foreign Small/Mid Blend","","0.12%","3.88%","$74.97","4.51%"
"SCHX","Schwab US Large-Cap ETF","Large Blend","","0.03%","7.42%","$455","8.11%"
"SCHA","Schwab US Small-Cap ETF","Small Blend","","0.04%","6.31%","$265","8.58%"
"SCHP","Schwab US TIPS ETF","Inflation-Protected Bond","7.23","0.05%","2.02%","$24.95","0.18%"
"EBND","SPDR Blmbg Barclays Em Mkts Lcl Bd ETF","Emerging-Markets Local-Currency Bond","5.44","0.40%","1.96%","-$0.76","1.08%"
