"Start Date","01/01/2014"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VEA","Vanguard FTSE Developed Markets ETF","34.00%"
"VWO","Vanguard FTSE Emerging Markets ETF","7.00%"
"BNDX","Vanguard Total International Bond ETF","1.00%"
"VOO","Vanguard S&P 500 ETF","29.00%"
"VB","Vanguard Small-Cap ETF","13.00%"
"VO","Vanguard Mid-Cap ETF","9.00%"
"VNQ","Vanguard Real Estate ETF","7.00%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$14,270"
"End Balance (inflation adjusted)","$13,156"
"CAGR","7.01%"
"CAGR (inflation adjusted)","5.36%"
"Stdev","10.97%"
"Best Year","21.72%"
"Worst Year","-9.79%"
"Max. Drawdown","-13.48%"
"Sharpe Ratio","0.61"
"Sortino Ratio","0.92"
"US Stock Market Correlation","0.97"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.62%"
"Arithmetic Mean (annualized)","7.64%"
"Geometric Mean (monthly)","0.57%"
"Geometric Mean (annualized)","7.01%"
"Volatility (monthly)","3.17%"
"Volatility (annualized)","10.97%"
"Downside Deviation (monthly)","2.09%"
"Max. Drawdown","-13.48%"
"US Market Correlation","0.97"
"Beta (*)","0.92"
"Alpha (annualized)","-2.14%"
"R Squared","93.14%"
"Sharpe Ratio","0.61"
"Sortino Ratio","0.92"
"Treynor Ratio (%)","7.31"
"Calmar Ratio","0.77"
"Active Return","-3.12%"
"Tracking Error","3.01%"
"Information Ratio","-1.04"
"Skewness","-0.37"
"Excess Kurtosis","1.40"
"Historical Value-at-Risk (5%)","-6.40%"
"Analytical Value-at-Risk (5%)","-4.55%"
"Conditional Value-at-Risk (5%)","-7.34%"
"Upside Capture Ratio (%)","85.56"
"Downside Capture Ratio (%)","101.72"
"Sustainable Withdrawal Rate","22.57%"
"Positive Periods","43 out of 63 (68.25%)"
"Gain/Loss Ratio","0.79"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard FTSE Developed Markets ETF (VEA)","Vanguard FTSE Emerging Markets ETF (VWO)","Vanguard Total International Bond ETF (BNDX)","Vanguard S&P 500 ETF (VOO)","Vanguard Small-Cap ETF (VB)","Vanguard Mid-Cap ETF (VO)","Vanguard Real Estate ETF (VNQ)"
"2017","10","1.74%","$13,515","1.77%","2.43%","0.62%","2.33%","1.56%","1.45%","-1.07%"
"2017","11","1.98%","$13,783","0.86%","-0.34%","0.23%","3.06%","3.05%","3.15%","2.66%"
"2017","12","1.37%","$13,971","1.65%","3.70%","0.27%","1.28%","0.45%","1.04%","-0.14%"
"2018","1","4.26%","$14,567","4.75%","8.56%","-0.57%","5.59%","2.69%","4.26%","-4.25%"
"2018","2","-4.59%","$13,898","-5.11%","-5.36%","0.26%","-3.73%","-3.96%","-4.02%","-7.68%"
"2018","3","-0.50%","$13,829","-0.40%","-0.21%","1.15%","-2.48%","1.10%","-0.11%","3.88%"
"2018","4","0.41%","$13,886","1.27%","-2.77%","-0.14%","0.35%","0.37%","-0.19%","0.82%"
"2018","5","1.12%","$14,041","-1.43%","-2.34%","-0.23%","2.42%","5.10%","1.82%","3.68%"
"2018","6","-0.19%","$14,014","-1.67%","-4.79%","0.60%","0.76%","0.68%","0.95%","4.20%"
"2018","7","2.59%","$14,377","2.28%","3.98%","0.14%","3.56%","1.82%","2.53%","0.60%"
"2018","8","1.14%","$14,541","-1.73%","-4.19%","0.06%","3.22%","4.52%","2.49%","2.58%"
"2018","9","-0.11%","$14,525","0.71%","-1.35%","-0.24%","0.58%","-1.47%","-0.43%","-2.64%"
"2018","10","-7.72%","$13,404","-8.60%","-7.66%","0.07%","-6.84%","-10.12%","-8.36%","-2.93%"
"2018","11","1.89%","$13,658","0.51%","4.83%","0.52%","1.89%","2.19%","2.34%","4.67%"
"2018","12","-7.72%","$12,603","-5.67%","-3.34%","1.17%","-8.84%","-11.10%","-9.79%","-7.96%"
"2019","1","8.82%","$13,714","7.47%","9.66%","1.00%","7.92%","11.71%","10.47%","11.85%"
"2019","2","2.78%","$14,096","2.33%","-0.38%","0.21%","3.25%","4.86%","4.26%","0.70%"
"2019","3","1.23%","$14,270","0.60%","2.31%","1.76%","1.92%","-0.86%","1.35%","4.21%"

"Portfolio Returns Based Style Analysis"

"Style Category","Portfolio 1"
"Large-cap Value","10.11%"
"Large-cap Growth","18.64%"
"Mid-cap Value","13.04%"
"Mid-cap Growth","11.36%"
"Small-cap Value","2.81%"
"Small-cap Growth","0.00%"
"Global ex-US Developed Markets","31.51%"
"Emerging Markets","8.52%"
"Corporate Bonds","0.00%"
"Long-Term Treasuries","4.00%"
"Intermediate-Term Treasuries","0.00%"
"Short-Term Treasuries","0.00%"
"R Squared","99.39%"
"Style analysis is based on monthly returns from Jan 2014 to Mar 2019 and uses total portfolio return with monthly rebalancing."

"Exposures for Portfolio 1"

"Ticker","Name","Category","Duration","ER","Weight","Return Contribution","Risk Contribution"
"VEA","Vanguard FTSE Developed Markets ETF","Foreign Large Blend","","0.07%","34.00%","$664","33.85%"
"VWO","Vanguard FTSE Emerging Markets ETF","Diversified Emerging Mkts","","0.12%","7.00%","$184","7.68%"
"BNDX","Vanguard Total International Bond ETF","World Bond","7.95","0.09%","1.00%","$25.29","0.01%"
"VOO","Vanguard S&P 500 ETF","Large Blend","","0.04%","29.00%","$1,842","28.29%"
"VB","Vanguard Small-Cap ETF","Small Blend","","0.05%","13.00%","$636","15.15%"
"VO","Vanguard Mid-Cap ETF","Mid-Cap Blend","","0.05%","9.00%","$490","9.63%"
"VNQ","Vanguard Real Estate ETF","Real Estate","","0.12%","7.00%","$428","5.39%"

"Asset Allocation for Portfolio 1"

"Category","Weight"
"US Stocks","57.15%"
"Intl Stocks","39.99%"
"US Bonds","0.04%"
"Intl Bonds","0.97%"
"Other","0.06%"
"Cash","1.80%"

"Equity Market Capitalization for Portfolio 1"

"Category","Weight"
"Large Cap","64.14%"
"Mid Cap","27.48%"
"Small Cap","8.38%"

"Stock Sectors for Portfolio 1"

"Category","Weight"
"Basic Materials","5.44%"
"Consumer Cyclical","11.31%"
"Financial Services","16.22%"
"Real Estate","10.98%"
"Consumer Defensive","7.04%"
"Healthcare","10.34%"
"Utilities","3.31%"
"Communication Services","3.43%"
"Energy","5.41%"
"Industrials","11.47%"
"Technology","15.06%"

"Fixed Income Credit Quality for Portfolio 1"

"Category","Weight"
"AAA","21.82%"
"AA","27.64%"
"A","33.60%"
"BBB","16.94%"
"Non-Investment Grade","0.00%"

"Fixed Income Maturity for Portfolio 1"

"Category","Weight"
"Under 1 Year","98.75%"
"1 - 3 Years","0.26%"
"3 - 5 Years","0.24%"
"5 - 7 Years","0.15%"
"7 - 10 Years","0.22%"
"10 - 15 Years","0.11%"
"15 - 20 Years","0.10%"
"20 - 30 Years","0.13%"
"Over 30 Years","0.04%"

"Drawdowns for Portfolio 1"

"Rank","Start","End","Length","Recovery By","Recovery Time","Underwater Period","Drawdown"
"1","Feb 2018","Dec 2018","11 months","","","","-13.48%"
"2","Jun 2015","Feb 2016","9 months","Jul 2016","5 months","1 year 2 months","-12.59%"
"3","Sep 2014","Sep 2014","1 month","Feb 2015","5 months","6 months","-3.73%"
"4","Jan 2014","Jan 2014","1 month","Feb 2014","1 month","2 months","-3.55%"
"5","Oct 2016","Oct 2016","1 month","Dec 2016","2 months","3 months","-2.53%"
"6","Jul 2014","Jul 2014","1 month","Aug 2014","1 month","2 months","-1.96%"
"7","Mar 2015","Mar 2015","1 month","Apr 2015","1 month","2 months","-0.39%"

"Portfolio Components"

"Ticker","Name","CAGR","Stdev","Best Year","Worst Year","Max. Drawdown","Sharpe Ratio","Sortino Ratio","US Mkt Correlation"
"VEA","Vanguard FTSE Developed Markets ETF","2.64%","11.78%","26.42%","-14.75%","-18.62%","0.23","0.32","0.83"
"VWO","Vanguard FTSE Emerging Markets ETF","3.24%","15.58%","31.48%","-15.81%","-29.25%","0.24","0.36","0.65"
"BNDX","Vanguard Total International Bond ETF","4.31%","2.58%","8.74%","1.19%","-3.03%","1.40","2.69","-0.04"
"VOO","Vanguard S&P 500 ETF","10.69%","11.13%","21.77%","-4.50%","-13.47%","0.91","1.45","0.99"
"VB","Vanguard Small-Cap ETF","8.05%","14.32%","18.44%","-9.33%","-19.55%","0.57","0.86","0.92"
"VO","Vanguard Mid-Cap ETF","9.08%","12.47%","19.27%","-9.22%","-15.75%","0.71","1.09","0.95"
"VNQ","Vanguard Real Estate ETF","10.36%","14.59%","30.36%","-6.02%","-14.88%","0.71","1.20","0.53"

"Monthly Correlations"

"Ticker","Name","VEA","VWO","BNDX","VOO","VB","VO","VNQ","Portfolio 1"
"VEA","Vanguard FTSE Developed Markets ETF","-","0.80","-0.05","0.84","0.71","0.78","0.39","0.93"
"VWO","Vanguard FTSE Emerging Markets ETF","0.80","-","0.05","0.67","0.53","0.61","0.34","0.77"
"BNDX","Vanguard Total International Bond ETF","-0.05","0.05","-","-0.03","-0.04","0.04","0.54","0.03"
"VOO","Vanguard S&P 500 ETF","0.84","0.67","-0.03","-","0.88","0.93","0.51","0.96"
"VB","Vanguard Small-Cap ETF","0.71","0.53","-0.04","0.88","-","0.95","0.56","0.89"
"VO","Vanguard Mid-Cap ETF","0.78","0.61","0.04","0.93","0.95","-","0.59","0.94"
"VNQ","Vanguard Real Estate ETF","0.39","0.34","0.54","0.51","0.56","0.59","-","0.58"

"Portfolio Return Decomposition"

"Ticker","Name","Portfolio 1"
"VEA","Vanguard FTSE Developed Markets ETF","$664"
"VWO","Vanguard FTSE Emerging Markets ETF","$184"
"BNDX","Vanguard Total International Bond ETF","$25.29"
"VOO","Vanguard S&P 500 ETF","$1,842"
"VB","Vanguard Small-Cap ETF","$636"
"VO","Vanguard Mid-Cap ETF","$490"
"VNQ","Vanguard Real Estate ETF","$428"

"Portfolio Risk Decomposition"

"Ticker","Name","Portfolio 1"
"VEA","Vanguard FTSE Developed Markets ETF","33.85%"
"VWO","Vanguard FTSE Emerging Markets ETF","7.68%"
"BNDX","Vanguard Total International Bond ETF","0.01%"
"VOO","Vanguard S&P 500 ETF","28.29%"
"VB","Vanguard Small-Cap ETF","15.15%"
"VO","Vanguard Mid-Cap ETF","9.63%"
"VNQ","Vanguard Real Estate ETF","5.39%"

"Rolling Returns"

"Year","Portfolio 1 3-year annualized return","Portfolio 1 5-year annualized return"
"2016","4.70%","N/A"
"2017","9.53%","N/A"
"2018","6.29%","4.74%"

"Notes:"
"Past performance is not a guarantee of future returns and data and other errors may exist. See Disclaimer and Terms of Use"
"The entered time period is automatically adjusted based on the available return data for the specified assets"
"The annual results for 2019 are based on full calendar months from January to March"
"CAGR = Compound Annual Growth Rate"
"Stdev = Annualized standard deviation of monthly returns"
"Sharpe and Sortino ratios are calculated and annualized from monthly excess returns over risk free rate (1-month treasury bill)"
"Stock market correlation is based on the correlation of monthly returns"
"Drawdowns are calculated based on monthly returns"
"The backtested results include annual rebalancing of portfolio assets to match the specified allocation"
"The results use total return and assume that all received dividends and distributions are reinvested. Taxes and transaction fees are not included"
"Portfolio cashflows and rebalancing for quarterly and annual periods are aligned with calendar periods."
"Fund fundamentals data as of 03/05/2019. (c) 2019 Morningstar. All Rights Reserved. The fund fundamentals information contained herein: (1) is proprietary to Morningstar and/or its content providers; (2) may not be copied or distributed; and (3) is not warranted to be accurate, complete or timely. Neither Morningstar nor its content providers are responsible for any damages or losses arising from any use of this information."
