"2019","3","1.27%","$20,856","1.42%","0.77%","1.94%"

"Portfolio Returns Based Style Analysis"

"Style Category","Portfolio 1"
"Large-cap Value","18.23%"
"Large-cap Growth","27.95%"
"Mid-cap Value","6.63%"
"Mid-cap Growth","2.99%"
"Small-cap Value","2.28%"
"Small-cap Growth","1.45%"
"Global ex-US Developed Markets","23.04%"
"Emerging Markets","7.53%"
"Corporate Bonds","3.75%"
"Long-Term Treasuries","0.00%"
"Intermediate-Term Treasuries","1.72%"
"Short-Term Treasuries","4.42%"
"R Squared","99.84%"
"Style analysis is based on monthly returns from Jan 2012 to Mar 2019 and uses total portfolio return with monthly rebalancing."

"Exposures for Portfolio 1"

"Ticker","Name","Category","Duration","ER","Weight","Return Contribution","Risk Contribution"
"VTI","Vanguard Total Stock Market ETF","Large Blend","","0.04%","60.00%","$8,647","65.21%"
"VXUS","Vanguard Total International Stock ETF","Foreign Large Blend","","0.09%","30.00%","$1,958","34.76%"
"BND","Vanguard Total Bond Market ETF","Intermediate-Term Bond","5.96","0.05%","10.00%","$250","0.03%"

"Asset Allocation for Portfolio 1"

"Category","Weight"
"US Stocks","59.20%"
"Intl Stocks","29.54%"
"US Bonds","9.07%"
"Intl Bonds","0.80%"
"Other","0.06%"
"Cash","1.33%"

"Equity Market Capitalization for Portfolio 1"

"Category","Weight"
"Large Cap","76.06%"
"Mid Cap","17.78%"
"Small Cap","6.16%"

"Stock Sectors for Portfolio 1"

"Category","Weight"
"Basic Materials","4.69%"
"Consumer Cyclical","12.05%"
"Financial Services","17.43%"
"Real Estate","3.98%"
"Consumer Defensive","7.73%"
"Healthcare","12.40%"
"Utilities","3.19%"
"Communication Services","3.37%"
"Energy","5.74%"
"Industrials","11.21%"
"Technology","18.20%"

"Fixed Income Credit Quality for Portfolio 1"

"Category","Weight"
"AAA","71.10%"
"AA","3.34%"
"A","10.67%"
"BBB","14.87%"
"Non-Investment Grade","0.02%"

"Fixed Income Maturity for Portfolio 1"

"Category","Weight"
"Under 1 Year","75.02%"
"1 - 3 Years","5.64%"
"3 - 5 Years","3.92%"
"5 - 7 Years","2.80%"
"7 - 10 Years","2.61%"
"10 - 15 Years","0.90%"
"15 - 20 Years","0.88%"
"20 - 30 Years","7.75%"
"Over 30 Years","0.48%"

"Drawdowns for Portfolio 1 (worst 10)"

"Rank","Start","End","Length","Recovery By","Recovery Time","Underwater Period","Drawdown"
"1","Oct 2018","Dec 2018","3 months","","","","-12.00%"
"2","Jun 2015","Feb 2016","9 months","Jul 2016","5 months","1 year 2 months","-10.78%"
"3","Apr 2012","May 2012","2 months","Sep 2012","4 months","6 months","-7.79%"
"4","Feb 2018","Mar 2018","2 months","Aug 2018","5 months","7 months","-5.13%"
"5","Jan 2014","Jan 2014","1 month","Feb 2014","1 month","2 months","-3.37%"
"6","Sep 2014","Sep 2014","1 month","Nov 2014","2 months","3 months","-2.80%"
"7","Aug 2013","Aug 2013","1 month","Sep 2013","1 month","2 months","-2.55%"
"8","Dec 2014","Jan 2015","2 months","Feb 2015","1 month","3 months","-2.39%"
"9","Jun 2013","Jun 2013","1 month","Jul 2013","1 month","2 months","-2.05%"
"10","Oct 2016","Oct 2016","1 month","Dec 2016","2 months","3 months","-1.98%"

"Portfolio Components"

"Ticker","Name","CAGR","Stdev","Best Year","Worst Year","Max. Drawdown","Sharpe Ratio","Sortino Ratio","US Mkt Correlation"
"VTI","Vanguard Total Stock Market ETF","14.05%","11.15%","33.45%","-5.21%","-14.20%","1.20","1.96","1.00"
"VXUS","Vanguard Total International Stock ETF","6.36%","12.62%","27.45%","-14.43%","-20.26%","0.51","0.78","0.80"
"BND","Vanguard Total Bond Market ETF","2.23%","3.01%","5.82%","-2.10%","-4.01%","0.59","0.92","-0.08"

"Monthly Correlations"

"Ticker","Name","VTI","VXUS","BND","Portfolio 1"
"VTI","Vanguard Total Stock Market ETF","-","0.80","-0.07","0.97"
"VXUS","Vanguard Total International Stock ETF","0.80","-","0.08","0.92"
"BND","Vanguard Total Bond Market ETF","-0.07","0.08","-","0.01"

"Portfolio Return Decomposition"

"Ticker","Name","Portfolio 1"
"VTI","Vanguard Total Stock Market ETF","$8,647"
"VXUS","Vanguard Total International Stock ETF","$1,958"
"BND","Vanguard Total Bond Market ETF","$250"

"Portfolio Risk Decomposition"

"Ticker","Name","Portfolio 1"
"VTI","Vanguard Total Stock Market ETF","65.21%"
"VXUS","Vanguard Total International Stock ETF","34.76%"
"BND","Vanguard Total Bond Market ETF","0.03%"

"Rolling Returns"

"Year","Portfolio 1 3-year annualized return","Portfolio 1 5-year annualized return","Portfolio 1 7-year annualized return"
"2014","15.34%","N/A","N/A"
"2015","9.49%","N/A","N/A"
"2016","4.94%","10.70%","N/A"
"2017","9.53%","11.74%","N/A"
"2018","7.09%","5.34%","9.32%"

"Notes:"
"Past performance is not a guarantee of future returns and data and other errors may exist. See Disclaimer and Terms of Use"
"The entered time period is automatically adjusted based on the available return data for the specified assets"
"The annual results for 2019 are based on full calendar months from January to March"
"CAGR = Compound Annual Growth Rate"
"Stdev = Annualized standard deviation of monthly returns"
"Sharpe and Sortino ratios are calculated and annualized from monthly excess returns over risk free rate (1-month treasury bill)"
"Stock market correlation is based on the correlation of monthly returns"
"Drawdowns are calculated based on monthly returns"
"The backtested results include annual rebalancing of portfolio assets to match the specified allocation"
"The results use total return and assume that all received dividends and distributions are reinvested. Taxes and transaction fees are not included"
"Portfolio cashflows and rebalancing for quarterly and annual periods are aligned with calendar periods."
"Fund fundamentals data as of 03/05/2019. (c) 2019 Morningstar. All Rights Reserved. The fund fundamentals information contained herein: (1) is proprietary to Morningstar and/or its content providers; (2) may not be copied or distributed; and (3) is not warranted to be accurate, complete or timely. Neither Morningstar nor its content providers are responsible for any damages or losses arising from any use of this information."
