"Start Date","01/01/2014"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VTI","Vanguard Total Stock Market ETF","31.90%"
"VTV","Vanguard Value ETF","8.50%"
"VOE","Vanguard Mid-Cap Value ETF","6.90%"
"VBR","Vanguard Small-Cap Value ETF","5.80%"
"VEA","Vanguard FTSE Developed Markets ETF","23.00%"
"VWO","Vanguard FTSE Emerging Markets ETF","14.00%"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","0.60%"
"AGG","iShares Core US Aggregate Bond ETF","1.10%"
"MUB","iShares National Muni Bond ETF","3.80%"
"BNDX","Vanguard Total International Bond ETF","2.90%"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","1.50%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$14,038"
"End Balance (inflation adjusted)","$12,943"
"CAGR","6.67%"
"CAGR (inflation adjusted)","5.04%"
"Stdev","10.21%"
"Best Year","21.02%"
"Worst Year","-9.11%"
"Max. Drawdown","-13.14%"
"Sharpe Ratio","0.62"
"Sortino Ratio","0.94"
"US Stock Market Correlation","0.96"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.58%"
"Arithmetic Mean (annualized)","7.22%"
"Geometric Mean (monthly)","0.54%"
"Geometric Mean (annualized)","6.67%"
"Volatility (monthly)","2.95%"
"Volatility (annualized)","10.21%"
"Downside Deviation (monthly)","1.91%"
"Max. Drawdown","-13.14%"
"US Market Correlation","0.96"
"Beta (*)","0.85"
"Alpha (annualized)","-1.81%"
"R Squared","91.78%"
"Sharpe Ratio","0.62"
"Sortino Ratio","0.94"
"Treynor Ratio (%)","7.46"
"Calmar Ratio","0.78"
"Active Return","-3.45%"
"Tracking Error","3.39%"
"Information Ratio","-1.02"
"Skewness","-0.32"
"Excess Kurtosis","1.06"
"Historical Value-at-Risk (5%)","-5.90%"
"Analytical Value-at-Risk (5%)","-4.22%"
"Conditional Value-at-Risk (5%)","-6.63%"
"Upside Capture Ratio (%)","80.21"
"Downside Capture Ratio (%)","95.43"
"Sustainable Withdrawal Rate","22.44%"
"Positive Periods","43 out of 63 (68.25%)"
"Gain/Loss Ratio","0.79"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Stock Market ETF (VTI)","Vanguard Value ETF (VTV)","Vanguard Mid-Cap Value ETF (VOE)","Vanguard Small-Cap Value ETF (VBR)","Vanguard FTSE Developed Markets ETF (VEA)","Vanguard FTSE Emerging Markets ETF (VWO)","Vanguard Short-Term Infl-Prot Secs ETF (VTIP)","iShares Core US Aggregate Bond ETF (AGG)","iShares National Muni Bond ETF (MUB)","Vanguard Total International Bond ETF (BNDX)","iShares JP Morgan USD Em Mkts Bd ETF (EMB)"
"2014","12","-1.25%","$10,607","-0.04%","0.35%","0.65%","1.79%","-3.77%","-4.69%","-1.41%","0.15%","0.81%","0.98%","-2.72%"
"2015","1","-1.27%","$10,472","-2.74%","-4.10%","-2.37%","-3.30%","0.71%","-0.20%","1.02%","2.05%","1.60%","1.79%","1.87%"
"2015","2","4.99%","$10,994","5.74%","5.31%","5.35%","5.66%","6.16%","4.66%","-0.21%","-0.89%","-1.12%","-0.18%","0.96%"
"2015","3","-0.96%","$10,889","-1.16%","-1.32%","-0.05%","1.30%","-1.22%","-2.05%","-0.35%","0.38%","0.22%","0.49%","0.02%"
"2015","4","2.12%","$11,120","0.62%","1.28%","-0.29%","-1.30%","3.87%","7.41%","0.68%","-0.32%","-0.71%","-1.03%","1.23%"
"2015","5","0.08%","$11,129","1.30%","1.18%","1.20%","1.37%","-0.05%","-3.55%","-0.08%","-0.44%","-0.49%","-0.52%","-0.31%"
"2015","6","-2.11%","$10,894","-1.67%","-2.24%","-2.34%","-1.51%","-2.91%","-2.54%","-0.14%","-1.08%","-0.34%","-1.35%","-1.81%"
"2015","7","0.19%","$10,915","1.70%","1.02%","0.94%","-0.95%","1.46%","-6.26%","-0.16%","0.86%","1.12%","1.28%","0.15%"
"2015","8","-6.11%","$10,247","-6.09%","-5.84%","-4.41%","-4.84%","-7.23%","-9.86%","-0.39%","-0.34%","-0.11%","-0.70%","-1.13%"
"2015","9","-2.88%","$9,952","-2.92%","-2.54%","-3.40%","-3.58%","-4.08%","-2.88%","-0.06%","0.81%","0.86%","0.81%","-1.07%"
"2015","10","6.33%","$10,582","7.91%","7.65%","6.31%","6.63%","6.73%","5.29%","0.08%","0.07%","0.36%","0.59%","2.43%"
"2015","11","-0.08%","$10,573","0.60%","0.54%","0.62%","1.32%","-0.76%","-2.30%","-0.19%","-0.39%","0.50%","0.19%","0.31%"
"2015","12","-2.20%","$10,341","-2.13%","-1.15%","-2.87%","-4.90%","-2.14%","-3.44%","0.04%","-0.19%","1.02%","-0.14%","-1.52%"
"2016","1","-5.07%","$9,817","-5.72%","-4.76%","-6.86%","-6.37%","-5.53%","-5.75%","0.29%","1.24%","0.77%","1.30%","0.04%"
"2016","2","-0.49%","$9,769","-0.01%","0.10%","1.36%","1.50%","-3.08%","-0.32%","0.12%","0.89%","0.02%","1.26%","1.76%"
"2016","3","7.38%","$10,490","7.11%","6.70%","7.76%","8.94%","7.20%","12.72%","1.19%","0.88%","0.44%","0.75%","3.31%"
"2016","4","1.24%","$10,620","0.66%","1.52%","0.99%","2.10%","2.31%","1.01%","-0.18%","0.26%","0.67%","-0.26%","1.55%"
"2016","5","0.31%","$10,653","1.73%","1.06%","1.44%","1.40%","-0.30%","-3.24%","-0.06%","0.01%","0.28%","0.75%","-0.22%"
"2016","6","0.66%","$10,724","0.27%","1.13%","0.32%","0.15%","-2.04%","4.93%","0.96%","1.94%","1.61%","1.95%","4.17%"
"2016","7","3.79%","$11,130","3.98%","2.81%","4.19%","4.64%","4.16%","5.14%","-0.08%","0.54%","-0.04%","0.82%","1.37%"
"2016","8","0.46%","$11,181","0.21%","0.68%","0.93%","0.73%","0.41%","0.78%","-0.40%","-0.21%","0.13%","0.07%","1.33%"
"2016","9","0.73%","$11,263","0.21%","-0.46%","0.43%","0.30%","1.65%","2.05%","0.83%","0.05%","-0.56%","0.01%","0.41%"
"2016","10","-1.72%","$11,069","-2.19%","-1.09%","-2.42%","-2.92%","-2.41%","0.32%","0.02%","-0.82%","-0.96%","-1.26%","-1.73%"
"2016","11","1.71%","$11,259","4.49%","6.00%","5.94%","10.21%","-1.51%","-4.05%","-0.58%","-2.57%","-4.10%","-1.25%","-4.31%"
"2016","12","1.66%","$11,446","1.98%","2.73%","1.10%","2.86%","2.45%","-0.74%","0.34%","0.25%","1.72%","0.43%","1.49%"
"2017","1","2.48%","$11,730","1.86%","0.49%","2.17%","0.65%","3.67%","5.76%","0.47%","0.21%","0.26%","-0.98%","1.73%"
"2017","2","2.46%","$12,019","3.69%","3.58%","3.35%","2.01%","1.06%","2.25%","0.04%","0.65%","0.52%","0.88%","1.68%"
"2017","3","1.01%","$12,141","0.06%","-0.92%","-0.25%","-0.72%","3.06%","2.84%","0.12%","-0.05%","0.33%","-0.03%","0.51%"
"2017","4","1.20%","$12,286","1.06%","-0.03%","0.39%","0.40%","2.21%","1.56%","-0.02%","0.91%","0.54%","0.49%","1.71%"
"2017","5","1.25%","$12,439","1.01%","0.06%","0.09%","-2.40%","3.41%","0.99%","-0.02%","0.69%","1.53%","0.73%","0.76%"
"2017","6","0.87%","$12,548","0.95%","1.80%","0.90%","2.44%","0.64%","0.85%","-0.44%","-0.02%","-0.42%","-0.54%","-0.72%"
"2017","7","2.43%","$12,852","1.88%","1.54%","1.69%","1.02%","2.88%","5.34%","0.26%","0.33%","0.88%","0.16%","1.18%"
"2017","8","0.40%","$12,903","0.15%","-0.47%","-1.24%","-1.46%","0.02%","3.00%","0.28%","0.94%","0.80%","0.93%","1.99%"
"2017","9","1.94%","$13,154","2.44%","2.98%","2.73%","4.95%","2.52%","-0.49%","-0.10%","-0.57%","-0.43%","-0.40%","-0.19%"
"2017","10","1.76%","$13,385","2.17%","1.83%","0.81%","0.86%","1.77%","2.43%","0.18%","0.10%","0.09%","0.62%","0.24%"
"2017","11","1.78%","$13,623","3.03%","3.52%","3.41%","3.17%","0.86%","-0.34%","-0.12%","-0.15%","-0.47%","0.23%","-0.27%"
"2017","12","1.67%","$13,851","1.16%","1.65%","1.92%","0.50%","1.65%","3.70%","0.17%","0.44%","1.01%","0.27%","1.24%"
"2018","1","4.64%","$14,494","5.23%","4.71%","3.67%","1.93%","4.75%","8.56%","-0.35%","-1.13%","-1.15%","-0.57%","-0.64%"
"2018","2","-4.18%","$13,888","-3.76%","-4.44%","-4.69%","-4.74%","-5.11%","-5.36%","-0.06%","-1.01%","-0.60%","0.26%","-2.18%"
"2018","3","-0.86%","$13,768","-1.95%","-2.45%","-0.29%","0.82%","-0.40%","-0.21%","0.60%","0.67%","0.49%","1.15%","0.55%"
"2018","4","0.05%","$13,775","0.45%","0.42%","0.45%","0.40%","1.27%","-2.77%","-0.04%","-0.94%","-0.69%","-0.14%","-2.05%"
"2018","5","0.56%","$13,852","2.72%","0.61%","0.04%","4.52%","-1.43%","-2.34%","0.31%","0.66%","1.25%","-0.23%","-0.81%"
"2018","6","-0.69%","$13,756","0.70%","0.20%","0.96%","0.36%","-1.67%","-4.79%","0.21%","0.10%","0.14%","0.60%","-1.49%"
"2018","7","2.94%","$14,161","3.32%","4.65%","3.20%","2.49%","2.28%","3.98%","-0.16%","-0.03%","0.15%","0.14%","2.57%"
"2018","8","0.53%","$14,236","3.43%","1.90%","0.55%","2.41%","-1.73%","-4.19%","0.47%","0.57%","0.16%","0.06%","-2.32%"
"2018","9","-0.05%","$14,229","0.20%","0.62%","-0.68%","-1.67%","0.71%","-1.35%","-0.22%","-0.62%","-0.68%","-0.24%","2.03%"
"2018","10","-6.92%","$13,245","-7.41%","-4.98%","-7.03%","-9.05%","-8.60%","-7.66%","-0.43%","-0.64%","-0.56%","0.07%","-2.51%"
"2018","11","2.04%","$13,515","2.01%","3.27%","2.28%","2.35%","0.51%","4.83%","0.04%","0.52%","1.11%","0.52%","-0.49%"
"2018","12","-6.85%","$12,589","-9.16%","-9.12%","-10.62%","-11.41%","-5.67%","-3.34%","0.20%","2.22%","1.35%","1.17%","1.90%"
"2019","1","7.84%","$13,576","8.54%","6.95%","9.84%","11.16%","7.47%","9.66%","0.75%","0.91%","0.38%","1.00%","4.78%"
"2019","2","2.38%","$13,899","3.56%","2.86%","3.56%","3.99%","2.33%","-0.38%","-0.02%","-0.11%","0.54%","0.21%","0.40%"
"2019","3","1.00%","$14,038","1.42%","0.57%","0.04%","-1.92%","0.60%","2.31%","0.85%","2.12%","1.48%","1.76%","1.51%"

"Portfolio Returns Based Style Analysis"

"Style Category","Portfolio 1"
"Large-cap Value","21.35%"
"Large-cap Growth","16.42%"
"Mid-cap Value","8.53%"
"Mid-cap Growth","3.33%"
"Small-cap Value","2.34%"
"Small-cap Growth","0.73%"
"Global ex-US Developed Markets","23.25%"
"Emerging Markets","14.81%"
"Corporate Bonds","3.28%"
"Long-Term Treasuries","0.98%"
"Intermediate-Term Treasuries","0.00%"
"Short-Term Treasuries","4.98%"
"R Squared","99.91%"
"Style analysis is based on monthly returns from Jan 2014 to Mar 2019 and uses total portfolio return with monthly rebalancing."

"Exposures for Portfolio 1"

"Ticker","Name","Category","Duration","ER","Weight","Return Contribution","Risk Contribution"
"VTI","Vanguard Total Stock Market ETF","Large Blend","","0.04%","31.90%","$1,942","34.50%"
"VTV","Vanguard Value ETF","Large Value","","0.05%","8.50%","$470","8.35%"
"VOE","Vanguard Mid-Cap Value ETF","Mid-Cap Value","","0.07%","6.90%","$328","7.57%"
"VBR","Vanguard Small-Cap Value ETF","Small Value","","0.07%","5.80%","$259","6.95%"
"VEA","Vanguard FTSE Developed Markets ETF","Foreign Large Blend","","0.07%","23.00%","$450","24.66%"
"VWO","Vanguard FTSE Emerging Markets ETF","Diversified Emerging Mkts","","0.12%","14.00%","$367","17.57%"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","Inflation-Protected Bond","2.58","0.06%","0.60%","$3.05","0.03%"
"AGG","iShares Core US Aggregate Bond ETF","Intermediate-Term Bond","5.91","0.05%","1.10%","$18.91","-0.01%"
"MUB","iShares National Muni Bond ETF","Muni National Interm","6.16","0.07%","3.80%","$83.61","-0.11%"
"BNDX","Vanguard Total International Bond ETF","World Bond","7.95","0.09%","2.90%","$72.99","-0.01%"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","Emerging Markets Bond","7.04","0.40%","1.50%","$44.19","0.48%"

"Asset Allocation for Portfolio 1"

"Category","Weight"
"US Stocks","52.40%"
"Intl Stocks","36.24%"
"US Bonds","5.36%"
"Intl Bonds","4.36%"
"Other","0.09%"
"Cash","1.55%"

"Equity Market Capitalization for Portfolio 1"

"Category","Weight"
"Large Cap","68.26%"
"Mid Cap","24.34%"
"Small Cap","7.41%"

"Stock Sectors for Portfolio 1"

"Category","Weight"
"Basic Materials","5.60%"
"Consumer Cyclical","12.00%"
"Financial Services","19.49%"
"Real Estate","4.53%"
"Consumer Defensive","7.69%"
"Healthcare","10.44%"
"Utilities","4.39%"
"Communication Services","3.32%"
"Energy","6.03%"
"Industrials","10.92%"
"Technology","15.59%"

"Fixed Income Credit Quality for Portfolio 1"

"Category","Weight"
"AAA","29.26%"
"AA","29.18%"
"A","19.19%"
"BBB","15.19%"
"Non-Investment Grade","7.07%"
"Not Rated","0.10%"

"Fixed Income Maturity for Portfolio 1"

"Category","Weight"
"Under 1 Year","85.69%"
"1 - 3 Years","2.16%"
"3 - 5 Years","2.36%"
"5 - 7 Years","1.44%"
"7 - 10 Years","2.12%"
"10 - 15 Years","1.53%"
"15 - 20 Years","1.28%"
"20 - 30 Years","3.08%"
"Over 30 Years","0.33%"

"Drawdowns for Portfolio 1"

"Rank","Start","End","Length","Recovery By","Recovery Time","Underwater Period","Drawdown"
"1","Feb 2018","Dec 2018","11 months","","","","-13.14%"
"2","Jun 2015","Feb 2016","9 months","Jul 2016","5 months","1 year 2 months","-12.22%"
"3","Jan 2014","Jan 2014","1 month","Feb 2014","1 month","2 months","-3.90%"
"4","Sep 2014","Sep 2014","1 month","Feb 2015","5 months","6 months","-3.36%"
"5","Oct 2016","Oct 2016","1 month","Dec 2016","2 months","3 months","-1.72%"
"6","Jul 2014","Jul 2014","1 month","Aug 2014","1 month","2 months","-1.53%"
"7","Mar 2015","Mar 2015","1 month","Apr 2015","1 month","2 months","-0.96%"

"Portfolio Components"

"Ticker","Name","CAGR","Stdev","Best Year","Worst Year","Max. Drawdown","Sharpe Ratio","Sortino Ratio","US Mkt Correlation"
"VTI","Vanguard Total Stock Market ETF","10.25%","11.50%","21.21%","-5.21%","-14.20%","0.85","1.34","1.00"
"VTV","Vanguard Value ETF","9.47%","10.82%","17.14%","-5.44%","-10.82%","0.83","1.31","0.96"
"VOE","Vanguard Mid-Cap Value ETF","8.10%","11.92%","17.07%","-12.45%","-15.59%","0.66","1.00","0.96"
"VBR","Vanguard Small-Cap Value ETF","7.51%","14.22%","24.90%","-12.26%","-18.92%","0.54","0.82","0.91"
"VEA","Vanguard FTSE Developed Markets ETF","2.64%","11.78%","26.42%","-14.75%","-18.62%","0.23","0.32","0.83"
"VWO","Vanguard FTSE Emerging Markets ETF","3.24%","15.58%","31.48%","-15.81%","-29.25%","0.24","0.36","0.65"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","0.80%","1.59%","2.45%","-1.41%","-2.96%","0.11","0.16","0.16"
"AGG","iShares Core US Aggregate Bond ETF","2.97%","2.98%","6.00%","0.33%","-3.52%","0.78","1.33","-0.11"
"MUB","iShares National Muni Bond ETF","3.80%","3.31%","9.35%","-0.17%","-5.56%","0.95","1.44","-0.15"
"BNDX","Vanguard Total International Bond ETF","4.31%","2.58%","8.74%","1.19%","-3.03%","1.40","2.69","-0.04"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","5.18%","6.15%","10.28%","-5.47%","-7.24%","0.75","1.24","0.36"

"Monthly Correlations"

"Ticker","Name","VTI","VTV","VOE","VBR","VEA","VWO","VTIP","AGG","MUB","BNDX","EMB","Portfolio 1"
"VTI","Vanguard Total Stock Market ETF","-","0.96","0.96","0.91","0.83","0.66","0.16","-0.11","-0.15","-0.04","0.36","0.96"
"VTV","Vanguard Value ETF","0.96","-","0.94","0.89","0.78","0.64","0.05","-0.21","-0.24","-0.10","0.31","0.93"
"VOE","Vanguard Mid-Cap Value ETF","0.96","0.94","-","0.95","0.80","0.64","0.14","-0.13","-0.19","-0.02","0.38","0.94"
"VBR","Vanguard Small-Cap Value ETF","0.91","0.89","0.95","-","0.69","0.54","0.12","-0.16","-0.24","-0.07","0.28","0.86"
"VEA","Vanguard FTSE Developed Markets ETF","0.83","0.78","0.80","0.69","-","0.80","0.35","-0.00","-0.02","-0.05","0.58","0.93"
"VWO","Vanguard FTSE Emerging Markets ETF","0.66","0.64","0.64","0.54","0.80","-","0.45","0.15","0.02","0.05","0.68","0.82"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","0.16","0.05","0.14","0.12","0.35","0.45","-","0.55","0.36","0.34","0.57","0.29"
"AGG","iShares Core US Aggregate Bond ETF","-0.11","-0.21","-0.13","-0.16","-0.00","0.15","0.55","-","0.82","0.81","0.58","-0.02"
"MUB","iShares National Muni Bond ETF","-0.15","-0.24","-0.19","-0.24","-0.02","0.02","0.36","0.82","-","0.67","0.45","-0.09"
"BNDX","Vanguard Total International Bond ETF","-0.04","-0.10","-0.02","-0.07","-0.05","0.05","0.34","0.81","0.67","-","0.43","-0.01"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","0.36","0.31","0.38","0.28","0.58","0.68","0.57","0.58","0.45","0.43","-","0.53"

"Portfolio Return Decomposition"

"Ticker","Name","Portfolio 1"
"VTI","Vanguard Total Stock Market ETF","$1,942"
"VTV","Vanguard Value ETF","$470"
"VOE","Vanguard Mid-Cap Value ETF","$328"
"VBR","Vanguard Small-Cap Value ETF","$259"
"VEA","Vanguard FTSE Developed Markets ETF","$450"
"VWO","Vanguard FTSE Emerging Markets ETF","$367"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","$3.05"
"AGG","iShares Core US Aggregate Bond ETF","$18.91"
"MUB","iShares National Muni Bond ETF","$83.61"
"BNDX","Vanguard Total International Bond ETF","$72.99"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","$44.19"

"Portfolio Risk Decomposition"

"Ticker","Name","Portfolio 1"
"VTI","Vanguard Total Stock Market ETF","34.50%"
"VTV","Vanguard Value ETF","8.35%"
"VOE","Vanguard Mid-Cap Value ETF","7.57%"
"VBR","Vanguard Small-Cap Value ETF","6.95%"
"VEA","Vanguard FTSE Developed Markets ETF","24.66%"
"VWO","Vanguard FTSE Emerging Markets ETF","17.57%"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","0.03%"
"AGG","iShares Core US Aggregate Bond ETF","-0.01%"
"MUB","iShares National Muni Bond ETF","-0.11%"
"BNDX","Vanguard Total International Bond ETF","-0.01%"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","0.48%"

"Rolling Returns"

"Year","Portfolio 1 3-year annualized return","Portfolio 1 5-year annualized return"
"2016","4.60%","N/A"
"2017","9.30%","N/A"
"2018","6.78%","4.71%"

"Notes:"
"Past performance is not a guarantee of future returns and data and other errors may exist. See Disclaimer and Terms of Use"
"The entered time period is automatically adjusted based on the available return data for the specified assets"
"The annual results for 2019 are based on full calendar months from January to March"
"CAGR = Compound Annual Growth Rate"
"Stdev = Annualized standard deviation of monthly returns"
"Sharpe and Sortino ratios are calculated and annualized from monthly excess returns over risk free rate (1-month treasury bill)"
"Stock market correlation is based on the correlation of monthly returns"
"Drawdowns are calculated based on monthly returns"
"The backtested results include annual rebalancing of portfolio assets to match the specified allocation"
"The results use total return and assume that all received dividends and distributions are reinvested. Taxes and transaction fees are not included"
"Portfolio cashflows and rebalancing for quarterly and annual periods are aligned with calendar periods."
"Fund fundamentals data as of 03/05/2019. (c) 2019 Morningstar. All Rights Reserved. The fund fundamentals information contained herein: (1) is proprietary to Morningstar and/or its content providers; (2) may not be copied or distributed; and (3) is not warranted to be accurate, complete or timely. Neither Morningstar nor its content providers are responsible for any damages or losses arising from any use of this information."
