"Start Date","01/01/2014"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VTABX","Vanguard Total Intl Bd Idx Admiral","3.00%"
"VBTLX","Vanguard Total Bond Market Index Adm","7.00%"
"VTIAX","Vanguard Total Intl Stock Index Admiral","18.00%"
"VWILX","Vanguard International Growth Adm","9.00%"
"VTRIX","Vanguard International Value Inv","9.00%"
"VWUAX","Vanguard US Growth Admiral","9.00%"
"VWNAX","Vanguard Windsor II Admiral","9.00%"
"VSEQX","Vanguard Strategic Equity Inv","4.50%"
"VEXRX","Vanguard Explorer Adm","4.50%"
"VTSAX","Vanguard Total Stock Mkt Idx Adm","27.00%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$14,335"
"End Balance (inflation adjusted)","$13,217"
"CAGR","7.10%"
"CAGR (inflation adjusted)","5.46%"
"Stdev","10.37%"
"Best Year","23.43%"
"Worst Year","-7.69%"
"Max. Drawdown","-12.85%"
"Sharpe Ratio","0.65"
"Sortino Ratio","0.99"
"US Stock Market Correlation","0.97"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.62%"
"Arithmetic Mean (annualized)","7.67%"
"Geometric Mean (monthly)","0.57%"
"Geometric Mean (annualized)","7.10%"
"Volatility (monthly)","2.99%"
"Volatility (annualized)","10.37%"
"Downside Deviation (monthly)","1.95%"
"Max. Drawdown","-12.85%"
"US Market Correlation","0.97"
"Beta (*)","0.87"
"Alpha (annualized)","-1.61%"
"R Squared","93.50%"
"Sharpe Ratio","0.65"
"Sortino Ratio","0.99"
"Treynor Ratio (%)","7.75"
"Calmar Ratio","0.87"
"Active Return","-3.02%"
"Tracking Error","3.02%"
"Information Ratio","-1.00"
"Skewness","-0.43"
"Excess Kurtosis","1.13"
"Historical Value-at-Risk (5%)","-6.00%"
"Analytical Value-at-Risk (5%)","-4.26%"
"Conditional Value-at-Risk (5%)","-6.95%"
"Upside Capture Ratio (%)","83.39"
"Downside Capture Ratio (%)","97.27"
"Sustainable Withdrawal Rate","22.41%"
"Positive Periods","43 out of 63 (68.25%)"
"Gain/Loss Ratio","0.81"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Intl Bd Idx Admiral (VTABX)","Vanguard Total Bond Market Index Adm (VBTLX)","Vanguard Total Intl Stock Index Admiral (VTIAX)","Vanguard International Growth Adm (VWILX)","Vanguard International Value Inv (VTRIX)","Vanguard US Growth Admiral (VWUAX)","Vanguard Windsor II Admiral (VWNAX)","Vanguard Strategic Equity Inv (VSEQX)","Vanguard Explorer Adm (VEXRX)","Vanguard Total Stock Mkt Idx Adm (VTSAX)"
"2015","2","5.28%","$10,944","-0.35%","-1.07%","5.49%","5.96%","6.45%","6.90%","5.85%","4.89%","8.07%","5.76%"
"2015","3","-0.79%","$10,857","0.67%","0.42%","-1.52%","-0.66%","-1.20%","-0.91%","-1.69%","1.08%","1.42%","-1.01%"
"2015","4","1.82%","$11,055","-0.81%","-0.35%","5.04%","4.21%","4.86%","-0.01%","1.65%","-1.27%","-1.62%","0.42%"
"2015","5","0.54%","$11,114","-0.70%","-0.44%","-0.92%","-0.07%","-0.73%","2.13%","1.35%","2.04%","1.56%","1.39%"
"2015","6","-1.88%","$10,905","-1.44%","-1.00%","-2.69%","-2.84%","-2.77%","-0.61%","-1.95%","-1.85%","0.19%","-1.70%"
"2015","7","0.73%","$10,985","1.24%","0.77%","-0.81%","-1.08%","-0.14%","4.03%","1.00%","0.75%","-0.62%","1.65%"
"2015","8","-6.14%","$10,310","-0.41%","-0.35%","-7.27%","-8.31%","-7.72%","-6.31%","-6.31%","-5.99%","-6.69%","-6.00%"
"2015","9","-3.25%","$9,975","0.59%","0.76%","-3.89%","-4.06%","-6.03%","-3.02%","-2.94%","-2.75%","-6.04%","-2.94%"
"2015","10","6.56%","$10,629","0.54%","0.02%","6.27%","9.26%","7.16%","7.91%","7.40%","5.55%","5.13%","7.86%"
"2015","11","0.03%","$10,633","0.26%","-0.26%","-1.31%","0.46%","-1.32%","0.70%","-0.28%","1.20%","2.24%","0.56%"
"2015","12","-2.02%","$10,418","-0.32%","-0.37%","-2.04%","-2.44%","-3.10%","-0.32%","-2.46%","-3.62%","-3.91%","-2.04%"
"2016","1","-5.41%","$9,854","1.58%","1.44%","-5.65%","-7.68%","-5.44%","-6.71%","-5.23%","-7.81%","-9.15%","-5.65%"
"2016","2","-0.80%","$9,775","1.08%","0.67%","-2.23%","-1.66%","-2.31%","-1.31%","-0.98%","1.19%","0.74%","-0.04%"
"2016","3","6.57%","$10,417","0.75%","0.95%","8.22%","7.93%","7.69%","4.86%","6.79%","7.65%","8.01%","7.03%"
"2016","4","1.24%","$10,545","-0.17%","0.39%","2.24%","2.01%","2.52%","-0.69%","2.62%","-0.18%","1.42%","0.65%"
"2016","5","0.65%","$10,614","0.70%","0.02%","-1.01%","-0.10%","-1.70%","3.09%","1.16%","1.30%","1.45%","1.77%"
"2016","6","-0.38%","$10,574","1.84%","1.94%","-0.93%","-1.36%","-0.64%","-2.05%","-0.85%","-0.66%","-0.22%","0.25%"
"2016","7","4.14%","$11,011","0.90%","0.65%","4.44%","5.57%","3.65%","6.16%","3.48%","6.09%","5.75%","3.95%"
"2016","8","0.52%","$11,069","0.01%","-0.16%","0.68%","2.09%","0.65%","-0.88%","1.26%","0.07%","1.21%","0.28%"
"2016","9","0.77%","$11,155","-0.03%","-0.08%","1.43%","2.82%","1.64%","0.88%","-0.65%","0.33%","1.18%","0.15%"
"2016","10","-2.19%","$10,911","-1.28%","-0.80%","-1.74%","-3.06%","-1.64%","-2.83%","-1.44%","-3.22%","-4.98%","-2.21%"
"2016","11","1.37%","$11,061","-1.24%","-2.63%","-2.17%","-4.03%","-0.99%","-0.51%","5.52%","10.33%","6.84%","4.45%"
"2016","12","1.42%","$11,217","0.47%","0.25%","2.01%","0.29%","1.55%","0.05%","1.62%","2.77%","0.81%","1.93%"
"2017","1","2.86%","$11,539","-0.89%","0.30%","3.94%","7.29%","3.97%","3.66%","1.14%","1.36%","2.95%","1.93%"
"2017","2","2.34%","$11,809","0.97%","0.67%","1.48%","0.96%","0.82%","3.62%","3.33%","2.35%","2.60%","3.71%"
"2017","3","1.33%","$11,966","-0.10%","-0.06%","2.83%","4.02%","3.09%","1.43%","0.31%","-0.68%","0.54%","0.08%"
"2017","4","1.83%","$12,185","0.60%","0.77%","2.22%","4.26%","2.62%","3.04%","0.35%","0.99%","1.70%","1.05%"
"2017","5","1.95%","$12,422","0.45%","0.68%","2.98%","5.15%","3.38%","2.98%","0.40%","-1.45%","0.24%","1.02%"
"2017","6","0.78%","$12,519","-0.42%","0.02%","0.54%","0.58%","-0.30%","0.31%","2.10%","2.14%","2.65%","0.93%"
"2017","7","2.50%","$12,831","0.23%","0.40%","3.44%","5.38%","3.66%","3.52%","0.32%","1.27%","1.05%","1.87%"
"2017","8","0.45%","$12,889","0.92%","0.86%","0.62%","2.38%","-0.05%","1.93%","-1.08%","-2.10%","-0.65%","0.16%"
"2017","9","2.22%","$13,175","-0.50%","-0.53%","1.79%","2.58%","3.01%","1.47%","3.13%","3.81%","4.07%","2.46%"
"2017","10","1.88%","$13,423","0.73%","0.12%","1.94%","2.33%","1.37%","3.07%","1.13%","2.09%","1.76%","2.17%"
"2017","11","1.88%","$13,675","0.36%","-0.16%","0.80%","0.77%","1.55%","2.38%","2.63%","2.61%","3.23%","3.04%"
"2017","12","1.25%","$13,846","0.03%","0.45%","2.07%","0.97%","1.90%","0.53%","2.04%","0.77%","0.93%","1.01%"
"2018","1","5.28%","$14,577","-0.46%","-1.09%","5.57%","9.10%","5.22%","8.40%","5.18%","4.59%","4.78%","5.32%"
"2018","2","-3.65%","$14,045","0.31%","-1.02%","-5.12%","-4.15%","-4.31%","-1.85%","-5.01%","-4.17%","-1.89%","-3.71%"
"2018","3","-1.15%","$13,883","1.07%","0.63%","-0.63%","-1.13%","-1.30%","-1.91%","-2.83%","0.23%","1.33%","-1.98%"
"2018","4","0.32%","$13,927","-0.11%","-0.82%","0.79%","-0.22%","0.61%","0.31%","0.98%","-0.64%","0.28%","0.38%"
"2018","5","1.31%","$14,109","0.04%","0.62%","-1.90%","1.13%","-2.41%","4.48%","0.82%","4.34%","5.95%","2.82%"
"2018","6","-0.10%","$14,095","0.46%","0.04%","-2.08%","-0.19%","-1.41%","1.26%","0.44%","-0.03%","0.87%","0.67%"
"2018","7","2.50%","$14,448","-0.05%","0.04%","2.52%","1.48%","2.50%","2.19%","4.53%","1.92%","2.13%","3.35%"
"2018","8","1.51%","$14,666","0.09%","0.52%","-2.22%","-1.52%","-2.06%","4.88%","1.74%","4.80%","7.35%","3.45%"
"2018","9","-0.07%","$14,655","-0.27%","-0.53%","0.29%","-1.44%","0.60%","0.20%","0.60%","-1.51%","-0.92%","0.16%"
"2018","10","-7.59%","$13,542","0.22%","-0.72%","-8.34%","-10.65%","-7.43%","-9.25%","-6.03%","-10.56%","-11.17%","-7.40%"
"2018","11","1.60%","$13,759","0.46%","0.53%","1.24%","2.47%","0.75%","2.68%","1.19%","0.30%","1.90%","2.08%"
"2018","12","-7.10%","$12,781","1.14%","1.81%","-4.83%","-6.89%","-5.65%","-9.10%","-9.42%","-10.35%","-11.08%","-9.30%"
"2019","1","7.78%","$13,775","1.11%","1.02%","7.65%","8.44%","6.88%","9.47%","8.01%","11.30%","11.37%","8.60%"
"2019","2","3.02%","$14,191","0.17%","-0.05%","1.68%","4.27%","2.04%","4.44%","2.95%","4.90%","6.34%","3.51%"
"2019","3","1.02%","$14,335","1.78%","1.96%","0.71%","1.63%","0.34%","1.66%","0.68%","-0.85%","-0.74%","1.45%"

"Portfolio Returns Based Style Analysis"

"Style Category","Portfolio 1"
"Large-cap Value","6.11%"
"Large-cap Growth","30.04%"
"Mid-cap Value","5.73%"
"Mid-cap Growth","6.72%"
"Small-cap Value","5.41%"
"Small-cap Growth","0.00%"
"Global ex-US Developed Markets","30.16%"
"Emerging Markets","7.92%"
"Corporate Bonds","0.00%"
"Long-Term Treasuries","0.00%"
"Intermediate-Term Treasuries","0.00%"
"Short-Term Treasuries","7.91%"
"R Squared","99.45%"
"Style analysis is based on monthly returns from Jan 2014 to Mar 2019 and uses total portfolio return with monthly rebalancing."

"Exposures for Portfolio 1"

"Ticker","Name","Category","Duration","ER","Weight","Return Contribution","Risk Contribution"
"VTABX","Vanguard Total Intl Bd Idx Admiral","World Bond","7.95","0.11%","3.00%","$76.45","-0.04%"
"VBTLX","Vanguard Total Bond Market Index Adm","Intermediate-Term Bond","5.96","0.05%","7.00%","$117","-0.02%"
"VTIAX","Vanguard Total Intl Stock Index Admiral","Foreign Large Blend","","0.11%","18.00%","$364","18.96%"
"VWILX","Vanguard International Growth Adm","Foreign Large Growth","","0.32%","9.00%","$413","11.52%"
"VTRIX","Vanguard International Value Inv","Foreign Large Value","","0.38%","9.00%","$131","9.63%"
"VWUAX","Vanguard US Growth Admiral","Large Growth","","0.30%","9.00%","$711","10.47%"
"VWNAX","Vanguard Windsor II Admiral","Large Value","","0.25%","9.00%","$400","9.34%"
"VSEQX","Vanguard Strategic Equity Inv","Mid-Cap Blend","","0.17%","4.50%","$225","5.34%"
"VEXRX","Vanguard Explorer Adm","Small Growth","","0.34%","4.50%","$260","5.83%"
"VTSAX","Vanguard Total Stock Mkt Idx Adm","Large Blend","","0.04%","27.00%","$1,639","28.98%"

"Asset Allocation for Portfolio 1"

"Category","Weight"
"US Stocks","52.72%"
"Intl Stocks","34.50%"
"US Bonds","6.47%"
"Intl Bonds","3.46%"
"Other","0.25%"
"Cash","2.60%"

"Equity Market Capitalization for Portfolio 1"

"Category","Weight"
"Large Cap","73.49%"
"Mid Cap","20.05%"
"Small Cap","6.45%"

"Stock Sectors for Portfolio 1"

"Category","Weight"
"Basic Materials","3.93%"
"Consumer Cyclical","14.05%"
"Financial Services","17.87%"
"Real Estate","3.04%"
"Consumer Defensive","7.06%"
"Healthcare","12.65%"
"Utilities","2.31%"
"Communication Services","3.30%"
"Energy","5.32%"
"Industrials","10.83%"
"Technology","19.63%"

"Fixed Income Credit Quality for Portfolio 1"

"Category","Weight"
"AAA","56.32%"
"AA","10.63%"
"A","17.55%"
"BBB","15.49%"
"Non-Investment Grade","0.01%"

"Fixed Income Maturity for Portfolio 1"

"Category","Weight"
"Under 1 Year","85.42%"
"1 - 3 Years","3.22%"
"3 - 5 Years","2.44%"
"5 - 7 Years","1.68%"
"7 - 10 Years","1.83%"
"10 - 15 Years","0.76%"
"15 - 20 Years","0.71%"
"20 - 30 Years","3.61%"
"Over 30 Years","0.33%"

"Drawdowns for Portfolio 1"

"Rank","Start","End","Length","Recovery By","Recovery Time","Underwater Period","Drawdown"
"1","Sep 2018","Dec 2018","4 months","","","","-12.85%"
"2","Jun 2015","Feb 2016","9 months","Sep 2016","7 months","1 year 4 months","-12.05%"
"3","Feb 2018","Mar 2018","2 months","Aug 2018","5 months","7 months","-4.77%"
"4","Jan 2014","Jan 2014","1 month","Feb 2014","1 month","2 months","-3.29%"
"5","Sep 2014","Sep 2014","1 month","Nov 2014","2 months","3 months","-2.89%"
"6","Dec 2014","Jan 2015","2 months","Feb 2015","1 month","3 months","-2.62%"
"7","Oct 2016","Oct 2016","1 month","Dec 2016","2 months","3 months","-2.19%"
"8","Jul 2014","Jul 2014","1 month","Aug 2014","1 month","2 months","-1.86%"
"9","Mar 2015","Mar 2015","1 month","Apr 2015","1 month","2 months","-0.79%"

"Portfolio Components"

"Ticker","Name","CAGR","Stdev","Best Year","Worst Year","Max. Drawdown","Sharpe Ratio","Sortino Ratio","US Mkt Correlation"
"VTABX","Vanguard Total Intl Bd Idx Admiral","4.35%","2.56%","8.82%","1.06%","-2.94%","1.43","2.80","-0.06"
"VBTLX","Vanguard Total Bond Market Index Adm","2.91%","2.96%","5.89%","-0.03%","-3.65%","0.77","1.28","-0.08"
"VTIAX","Vanguard Total Intl Stock Index Admiral","2.79%","11.81%","27.55%","-14.43%","-20.08%","0.24","0.35","0.81"
"VWILX","Vanguard International Growth Adm","6.28%","14.34%","43.16%","-12.58%","-19.87%","0.45","0.69","0.81"
"VTRIX","Vanguard International Value Inv","1.68%","12.01%","27.96%","-14.52%","-23.16%","0.14","0.21","0.81"
"VWUAX","Vanguard US Growth Admiral","12.84%","12.95%","31.74%","-0.59%","-15.30%","0.95","1.58","0.92"
"VWNAX","Vanguard Windsor II Admiral","7.53%","11.44%","16.89%","-8.53%","-13.87%","0.64","0.97","0.97"
"VSEQX","Vanguard Strategic Equity Inv","8.48%","13.91%","17.92%","-11.91%","-20.79%","0.61","0.95","0.93"
"VEXRX","Vanguard Explorer Adm","9.15%","15.18%","23.10%","-4.22%","-20.26%","0.61","0.91","0.92"
"VTSAX","Vanguard Total Stock Mkt Idx Adm","10.24%","11.49%","21.17%","-5.17%","-14.26%","0.85","1.34","1.00"

"Monthly Correlations"

"Ticker","Name","VTABX","VBTLX","VTIAX","VWILX","VTRIX","VWUAX","VWNAX","VSEQX","VEXRX","VTSAX","Portfolio 1"
"VTABX","Vanguard Total Intl Bd Idx Admiral","-","0.82","-0.05","-0.06","-0.11","-0.02","-0.16","-0.06","-0.11","-0.06","-0.05"
"VBTLX","Vanguard Total Bond Market Index Adm","0.82","-","0.07","0.06","-0.02","-0.01","-0.18","-0.10","-0.12","-0.08","-0.01"
"VTIAX","Vanguard Total Intl Stock Index Admiral","-0.05","0.07","-","0.95","0.98","0.79","0.81","0.69","0.69","0.81","0.92"
"VWILX","Vanguard International Growth Adm","-0.06","0.06","0.95","-","0.94","0.85","0.77","0.69","0.72","0.81","0.92"
"VTRIX","Vanguard International Value Inv","-0.11","-0.02","0.98","0.94","-","0.78","0.82","0.69","0.70","0.81","0.92"
"VWUAX","Vanguard US Growth Admiral","-0.02","-0.01","0.79","0.85","0.78","-","0.84","0.83","0.86","0.92","0.93"
"VWNAX","Vanguard Windsor II Admiral","-0.16","-0.18","0.81","0.77","0.82","0.84","-","0.89","0.86","0.97","0.94"
"VSEQX","Vanguard Strategic Equity Inv","-0.06","-0.10","0.69","0.69","0.69","0.83","0.89","-","0.95","0.93","0.88"
"VEXRX","Vanguard Explorer Adm","-0.11","-0.12","0.69","0.72","0.70","0.86","0.86","0.95","-","0.92","0.88"
"VTSAX","Vanguard Total Stock Mkt Idx Adm","-0.06","-0.08","0.81","0.81","0.81","0.92","0.97","0.93","0.92","-","0.97"

"Portfolio Return Decomposition"

"Ticker","Name","Portfolio 1"
"VTABX","Vanguard Total Intl Bd Idx Admiral","$76.45"
"VBTLX","Vanguard Total Bond Market Index Adm","$117"
"VTIAX","Vanguard Total Intl Stock Index Admiral","$364"
"VWILX","Vanguard International Growth Adm","$413"
"VTRIX","Vanguard International Value Inv","$131"
"VWUAX","Vanguard US Growth Admiral","$711"
"VWNAX","Vanguard Windsor II Admiral","$400"
"VSEQX","Vanguard Strategic Equity Inv","$225"
"VEXRX","Vanguard Explorer Adm","$260"
"VTSAX","Vanguard Total Stock Mkt Idx Adm","$1,639"

"Portfolio Risk Decomposition"

"Ticker","Name","Portfolio 1"
"VTABX","Vanguard Total Intl Bd Idx Admiral","-0.04%"
"VBTLX","Vanguard Total Bond Market Index Adm","-0.02%"
"VTIAX","Vanguard Total Intl Stock Index Admiral","18.96%"
"VWILX","Vanguard International Growth Adm","11.52%"
"VTRIX","Vanguard International Value Inv","9.63%"
"VWUAX","Vanguard US Growth Admiral","10.47%"
"VWNAX","Vanguard Windsor II Admiral","9.34%"
"VSEQX","Vanguard Strategic Equity Inv","5.34%"
"VEXRX","Vanguard Explorer Adm","5.83%"
"VTSAX","Vanguard Total Stock Mkt Idx Adm","28.98%"

"Rolling Returns"

"Year","Portfolio 1 3-year annualized return","Portfolio 1 5-year annualized return"
"2016","3.90%","N/A"
"2017","9.58%","N/A"
"2018","7.05%","5.03%"

"Notes:"
"Past performance is not a guarantee of future returns and data and other errors may exist. See Disclaimer and Terms of Use"
"The entered time period is automatically adjusted based on the available return data for the specified assets"
"The annual results for 2019 are based on full calendar months from January to March"
"CAGR = Compound Annual Growth Rate"
"Stdev = Annualized standard deviation of monthly returns"
"Sharpe and Sortino ratios are calculated and annualized from monthly excess returns over risk free rate (1-month treasury bill)"
"Stock market correlation is based on the correlation of monthly returns"
"Drawdowns are calculated based on monthly returns"
"The backtested results include annual rebalancing of portfolio assets to match the specified allocation"
"The results use total return and assume that all received dividends and distributions are reinvested. Taxes and transaction fees are not included"
"Portfolio cashflows and rebalancing for quarterly and annual periods are aligned with calendar periods."
"Fund fundamentals data as of 03/05/2019. (c) 2019 Morningstar. All Rights Reserved. The fund fundamentals information contained herein: (1) is proprietary to Morningstar and/or its content providers; (2) may not be copied or distributed; and (3) is not warranted to be accurate, complete or timely. Neither Morningstar nor its content providers are responsible for any damages or losses arising from any use of this information."
