"Start Date","01/01/2014"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VTI","Vanguard Total Stock Market ETF","25.00%"
"VTV","Vanguard Value ETF","6.70%"
"VOE","Vanguard Mid-Cap Value ETF","5.40%"
"VBR","Vanguard Small-Cap Value ETF","4.60%"
"VEA","Vanguard FTSE Developed Markets ETF","18.20%"
"VWO","Vanguard FTSE Emerging Markets ETF","12.10%"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","1.90%"
"AGG","iShares Core US Aggregate Bond ETF","2.80%"
"MUB","iShares National Muni Bond ETF","10.20%"
"BNDX","Vanguard Total International Bond ETF","8.30%"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","4.80%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$13,676"
"End Balance (inflation adjusted)","$12,609"
"CAGR","6.14%"
"CAGR (inflation adjusted)","4.51%"
"Stdev","8.28%"
"Best Year","17.82%"
"Worst Year","-7.29%"
"Max. Drawdown","-10.49%"
"Sharpe Ratio","0.68"
"Sortino Ratio","1.06"
"US Stock Market Correlation","0.95"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.53%"
"Arithmetic Mean (annualized)","6.50%"
"Geometric Mean (monthly)","0.50%"
"Geometric Mean (annualized)","6.14%"
"Volatility (monthly)","2.39%"
"Volatility (annualized)","8.28%"
"Downside Deviation (monthly)","1.52%"
"Max. Drawdown","-10.49%"
"US Market Correlation","0.95"
"Beta (*)","0.68"
"Alpha (annualized)","-0.73%"
"R Squared","89.35%"
"Sharpe Ratio","0.68"
"Sortino Ratio","1.06"
"Treynor Ratio (%)","8.32"
"Calmar Ratio","0.84"
"Active Return","-3.98%"
"Tracking Error","4.54%"
"Information Ratio","-0.88"
"Skewness","-0.30"
"Excess Kurtosis","1.06"
"Historical Value-at-Risk (5%)","-4.81%"
"Analytical Value-at-Risk (5%)","-3.38%"
"Conditional Value-at-Risk (5%)","-5.29%"
"Upside Capture Ratio (%)","66.39"
"Downside Capture Ratio (%)","75.74"
"Sustainable Withdrawal Rate","22.31%"
"Positive Periods","41 out of 63 (65.08%)"
"Gain/Loss Ratio","0.96"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Stock Market ETF (VTI)","Vanguard Value ETF (VTV)","Vanguard Mid-Cap Value ETF (VOE)","Vanguard Small-Cap Value ETF (VBR)","Vanguard FTSE Developed Markets ETF (VEA)","Vanguard FTSE Emerging Markets ETF (VWO)","Vanguard Short-Term Infl-Prot Secs ETF (VTIP)","iShares Core US Aggregate Bond ETF (AGG)","iShares National Muni Bond ETF (MUB)","Vanguard Total International Bond ETF (BNDX)","iShares JP Morgan USD Em Mkts Bd ETF (EMB)"
"2018","7","2.47%","$13,640","3.32%","4.65%","3.20%","2.49%","2.28%","3.98%","-0.16%","-0.03%","0.15%","0.14%","2.57%"
"2018","8","0.33%","$13,684","3.43%","1.90%","0.55%","2.41%","-1.73%","-4.19%","0.47%","0.57%","0.16%","0.06%","-2.32%"
"2018","9","-0.07%","$13,675","0.20%","0.62%","-0.68%","-1.67%","0.71%","-1.35%","-0.22%","-0.62%","-0.68%","-0.24%","2.03%"
"2018","10","-5.70%","$12,895","-7.41%","-4.98%","-7.03%","-9.05%","-8.60%","-7.66%","-0.43%","-0.64%","-0.56%","0.07%","-2.51%"
"2018","11","1.75%","$13,121","2.01%","3.27%","2.28%","2.35%","0.51%","4.83%","0.04%","0.52%","1.11%","0.52%","-0.49%"
"2018","12","-5.13%","$12,448","-9.16%","-9.12%","-10.62%","-11.41%","-5.67%","-3.34%","0.20%","2.22%","1.35%","1.17%","1.90%"
"2019","1","6.56%","$13,265","8.54%","6.95%","9.84%","11.16%","7.47%","9.66%","0.75%","0.91%","0.38%","1.00%","4.78%"
"2019","2","1.95%","$13,524","3.56%","2.86%","3.56%","3.99%","2.33%","-0.38%","-0.02%","-0.11%","0.54%","0.21%","0.40%"
"2019","3","1.12%","$13,676","1.42%","0.57%","0.04%","-1.92%","0.60%","2.31%","0.85%","2.12%","1.48%","1.76%","1.51%"

"Portfolio Returns Based Style Analysis"

"Style Category","Portfolio 1"
"Large-cap Value","17.63%"
"Large-cap Growth","13.87%"
"Mid-cap Value","5.63%"
"Mid-cap Growth","1.86%"
"Small-cap Value","2.55%"
"Small-cap Growth","0.17%"
"Global ex-US Developed Markets","19.23%"
"Emerging Markets","12.63%"
"Corporate Bonds","8.10%"
"Long-Term Treasuries","1.69%"
"Intermediate-Term Treasuries","3.20%"
"Short-Term Treasuries","13.43%"
"R Squared","99.79%"
"Style analysis is based on monthly returns from Jan 2014 to Mar 2019 and uses total portfolio return with monthly rebalancing."

"Exposures for Portfolio 1"

"Ticker","Name","Category","Duration","ER","Weight","Return Contribution","Risk Contribution"
"VTI","Vanguard Total Stock Market ETF","Large Blend","","0.04%","25.00%","$1,523","32.83%"
"VTV","Vanguard Value ETF","Large Value","","0.05%","6.70%","$372","7.94%"
"VOE","Vanguard Mid-Cap Value ETF","Mid-Cap Value","","0.07%","5.40%","$259","7.19%"
"VBR","Vanguard Small-Cap Value ETF","Small Value","","0.07%","4.60%","$208","6.65%"
"VEA","Vanguard FTSE Developed Markets ETF","Foreign Large Blend","","0.07%","18.20%","$363","24.07%"
"VWO","Vanguard FTSE Emerging Markets ETF","Diversified Emerging Mkts","","0.12%","12.10%","$321","19.06%"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","Inflation-Protected Bond","2.58","0.06%","1.90%","$9.60","0.12%"
"AGG","iShares Core US Aggregate Bond ETF","Intermediate-Term Bond","5.91","0.05%","2.80%","$48.00","0.04%"
"MUB","iShares National Muni Bond ETF","Muni National Interm","6.16","0.07%","10.20%","$223","-0.09%"
"BNDX","Vanguard Total International Bond ETF","World Bond","7.95","0.09%","8.30%","$208","0.12%"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","Emerging Markets Bond","7.04","0.40%","4.80%","$142","2.06%"

"Asset Allocation for Portfolio 1"

"Category","Weight"
"US Stocks","41.16%"
"Intl Stocks","29.67%"
"US Bonds","14.51%"
"Intl Bonds","12.95%"
"Other","0.10%"
"Cash","1.62%"

"Equity Market Capitalization for Portfolio 1"

"Category","Weight"
"Large Cap","68.39%"
"Mid Cap","24.22%"
"Small Cap","7.39%"

"Stock Sectors for Portfolio 1"

"Category","Weight"
"Basic Materials","5.64%"
"Consumer Cyclical","11.98%"
"Financial Services","19.58%"
"Real Estate","4.53%"
"Consumer Defensive","7.68%"
"Healthcare","10.32%"
"Utilities","4.37%"
"Communication Services","3.34%"
"Energy","6.06%"
"Industrials","10.86%"
"Technology","15.63%"

"Fixed Income Credit Quality for Portfolio 1"

"Category","Weight"
"AAA","28.82%"
"AA","28.19%"
"A","19.05%"
"BBB","15.82%"
"Non-Investment Grade","8.00%"
"Not Rated","0.12%"

"Fixed Income Maturity for Portfolio 1"

"Category","Weight"
"Under 1 Year","63.26%"
"1 - 3 Years","5.60%"
"3 - 5 Years","6.21%"
"5 - 7 Years","3.74%"
"7 - 10 Years","5.52%"
"10 - 15 Years","3.88%"
"15 - 20 Years","3.22%"
"20 - 30 Years","7.72%"
"Over 30 Years","0.85%"

"Drawdowns for Portfolio 1"

"Rank","Start","End","Length","Recovery By","Recovery Time","Underwater Period","Drawdown"
"1","Feb 2018","Dec 2018","11 months","","","","-10.49%"
"2","May 2015","Feb 2016","10 months","Jul 2016","5 months","1 year 3 months","-9.61%"
"3","Jan 2014","Jan 2014","1 month","Feb 2014","1 month","2 months","-2.89%"
"4","Sep 2014","Sep 2014","1 month","Feb 2015","5 months","6 months","-2.85%"
"5","Oct 2016","Oct 2016","1 month","Dec 2016","2 months","3 months","-1.58%"
"6","Jul 2014","Jul 2014","1 month","Aug 2014","1 month","2 months","-1.15%"
"7","Mar 2015","Mar 2015","1 month","Apr 2015","1 month","2 months","-0.73%"

"Portfolio Components"

"Ticker","Name","CAGR","Stdev","Best Year","Worst Year","Max. Drawdown","Sharpe Ratio","Sortino Ratio","US Mkt Correlation"
"VTI","Vanguard Total Stock Market ETF","10.25%","11.50%","21.21%","-5.21%","-14.20%","0.85","1.34","1.00"
"VTV","Vanguard Value ETF","9.47%","10.82%","17.14%","-5.44%","-10.82%","0.83","1.31","0.96"
"VOE","Vanguard Mid-Cap Value ETF","8.10%","11.92%","17.07%","-12.45%","-15.59%","0.66","1.00","0.96"
"VBR","Vanguard Small-Cap Value ETF","7.51%","14.22%","24.90%","-12.26%","-18.92%","0.54","0.82","0.91"
"VEA","Vanguard FTSE Developed Markets ETF","2.64%","11.78%","26.42%","-14.75%","-18.62%","0.23","0.32","0.83"
"VWO","Vanguard FTSE Emerging Markets ETF","3.24%","15.58%","31.48%","-15.81%","-29.25%","0.24","0.36","0.65"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","0.80%","1.59%","2.45%","-1.41%","-2.96%","0.11","0.16","0.16"
"AGG","iShares Core US Aggregate Bond ETF","2.97%","2.98%","6.00%","0.33%","-3.52%","0.78","1.33","-0.11"
"MUB","iShares National Muni Bond ETF","3.80%","3.31%","9.35%","-0.17%","-5.56%","0.95","1.44","-0.15"
"BNDX","Vanguard Total International Bond ETF","4.31%","2.58%","8.74%","1.19%","-3.03%","1.40","2.69","-0.04"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","5.18%","6.15%","10.28%","-5.47%","-7.24%","0.75","1.24","0.36"

"Monthly Correlations"

"Ticker","Name","VTI","VTV","VOE","VBR","VEA","VWO","VTIP","AGG","MUB","BNDX","EMB","Portfolio 1"
"VTI","Vanguard Total Stock Market ETF","-","0.96","0.96","0.91","0.83","0.66","0.16","-0.11","-0.15","-0.04","0.36","0.95"
"VTV","Vanguard Value ETF","0.96","-","0.94","0.89","0.78","0.64","0.05","-0.21","-0.24","-0.10","0.31","0.91"
"VOE","Vanguard Mid-Cap Value ETF","0.96","0.94","-","0.95","0.80","0.64","0.14","-0.13","-0.19","-0.02","0.38","0.93"
"VBR","Vanguard Small-Cap Value ETF","0.91","0.89","0.95","-","0.69","0.54","0.12","-0.16","-0.24","-0.07","0.28","0.84"
"VEA","Vanguard FTSE Developed Markets ETF","0.83","0.78","0.80","0.69","-","0.80","0.35","-0.00","-0.02","-0.05","0.58","0.93"
"VWO","Vanguard FTSE Emerging Markets ETF","0.66","0.64","0.64","0.54","0.80","-","0.45","0.15","0.02","0.05","0.68","0.84"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","0.16","0.05","0.14","0.12","0.35","0.45","-","0.55","0.36","0.34","0.57","0.33"
"AGG","iShares Core US Aggregate Bond ETF","-0.11","-0.21","-0.13","-0.16","-0.00","0.15","0.55","-","0.82","0.81","0.58","0.04"
"MUB","iShares National Muni Bond ETF","-0.15","-0.24","-0.19","-0.24","-0.02","0.02","0.36","0.82","-","0.67","0.45","-0.02"
"BNDX","Vanguard Total International Bond ETF","-0.04","-0.10","-0.02","-0.07","-0.05","0.05","0.34","0.81","0.67","-","0.43","0.05"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","0.36","0.31","0.38","0.28","0.58","0.68","0.57","0.58","0.45","0.43","-","0.58"

"Portfolio Return Decomposition"

"Ticker","Name","Portfolio 1"
"VTI","Vanguard Total Stock Market ETF","$1,523"
"VTV","Vanguard Value ETF","$372"
"VOE","Vanguard Mid-Cap Value ETF","$259"
"VBR","Vanguard Small-Cap Value ETF","$208"
"VEA","Vanguard FTSE Developed Markets ETF","$363"
"VWO","Vanguard FTSE Emerging Markets ETF","$321"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","$9.60"
"AGG","iShares Core US Aggregate Bond ETF","$48.00"
"MUB","iShares National Muni Bond ETF","$223"
"BNDX","Vanguard Total International Bond ETF","$208"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","$142"

"Portfolio Risk Decomposition"

"Ticker","Name","Portfolio 1"
"VTI","Vanguard Total Stock Market ETF","32.83%"
"VTV","Vanguard Value ETF","7.94%"
"VOE","Vanguard Mid-Cap Value ETF","7.19%"
"VBR","Vanguard Small-Cap Value ETF","6.65%"
"VEA","Vanguard FTSE Developed Markets ETF","24.07%"
"VWO","Vanguard FTSE Emerging Markets ETF","19.06%"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","0.12%"
"AGG","iShares Core US Aggregate Bond ETF","0.04%"
"MUB","iShares National Muni Bond ETF","-0.09%"
"BNDX","Vanguard Total International Bond ETF","0.12%"
"EMB","iShares JP Morgan USD Em Mkts Bd ETF","2.06%"

"Rolling Returns"

"Year","Portfolio 1 3-year annualized return","Portfolio 1 5-year annualized return"
"2016","4.45%","N/A"
"2017","8.11%","N/A"
"2018","6.06%","4.48%"

"Notes:"
"Past performance is not a guarantee of future returns and data and other errors may exist. See Disclaimer and Terms of Use"
"The entered time period is automatically adjusted based on the available return data for the specified assets"
"The annual results for 2019 are based on full calendar months from January to March"
"CAGR = Compound Annual Growth Rate"
"Stdev = Annualized standard deviation of monthly returns"
"Sharpe and Sortino ratios are calculated and annualized from monthly excess returns over risk free rate (1-month treasury bill)"
"Stock market correlation is based on the correlation of monthly returns"
"Drawdowns are calculated based on monthly returns"
"The backtested results include annual rebalancing of portfolio assets to match the specified allocation"
"The results use total return and assume that all received dividends and distributions are reinvested. Taxes and transaction fees are not included"
"Portfolio cashflows and rebalancing for quarterly and annual periods are aligned with calendar periods."
"Fund fundamentals data as of 03/05/2019. (c) 2019 Morningstar. All Rights Reserved. The fund fundamentals information contained herein: (1) is proprietary to Morningstar and/or its content providers; (2) may not be copied or distributed; and (3) is not warranted to be accurate, complete or timely. Neither Morningstar nor its content providers are responsible for any damages or losses arising from any use of this information."
