"Start Date","01/01/2012"
"End Date","12/31/2017"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"CASHX","Cash","0.50%"
"FSSVX","Fidelity Small Cap Index Premium","3.92%"
"FSTPX","Fidelity Mid Cap Index Institutional","4.90%"
"FXSIX","Fidelity 500 Index Institutional","40.18%"
"FSGDX","Fidelity Global ex US Index Premium","21.00%"
"FXNAX","Fidelity US Bond Index","25.00%"
"FCNVX","Fidelity Conservative Income Bond Instl","4.50%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$17,922"
"End Balance (inflation adjusted)","$16,406"
"CAGR","10.21%"
"CAGR (inflation adjusted)","8.60%"
"Stdev","7.01%"
"Best Year","18.69%"
"Worst Year","-0.76%"
"Max. Drawdown","-7.68%"
"Sharpe Ratio","1.40"
"Sortino Ratio","2.47"
"US Stock Market Correlation","0.96"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.83%"
"Arithmetic Mean (annualized)","10.48%"
"Geometric Mean (monthly)","0.81%"
"Geometric Mean (annualized)","10.21%"
"Volatility (monthly)","2.02%"
"Volatility (annualized)","7.01%"
"Downside Deviation (monthly)","1.15%"
"Max. Drawdown","-7.68%"
"US Market Correlation","0.96"
"Beta (*)","0.69"
"Alpha (annualized)","-0.31%"
"R Squared","92.85%"
"Sharpe Ratio","1.40"
"Sortino Ratio","2.47"
"Treynor Ratio (%)","14.31"
"Calmar Ratio","1.02"
"Active Return","-5.35%"
"Tracking Error","3.61%"
"Information Ratio","-1.48"
"Skewness","-0.51"
"Excess Kurtosis","0.85"
"Historical Value-at-Risk (5%)","-2.68%"
"Analytical Value-at-Risk (5%)","-2.47%"
"Conditional Value-at-Risk (5%)","-4.44%"
"Upside Capture Ratio (%)","67.69"
"Downside Capture Ratio (%)","76.07"
"Sustainable Withdrawal Rate","22.49%"
"Positive Periods","53 out of 72 (73.61%)"
"Gain/Loss Ratio","1.00"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Cash (CASHX)","Fidelity Small Cap Index Premium (FSSVX)","Fidelity Mid Cap Index Institutional (FSTPX)","Fidelity 500 Index Institutional (FXSIX)","Fidelity Global ex US Index Premium (FSGDX)","Fidelity US Bond Index (FXNAX)","Fidelity Conservative Income Bond Instl (FCNVX)"
"2016","4","0.82%","$14,504","0.01%","1.57%","1.08%","0.38%","2.17%","0.37%","0.17%"
"2016","5","0.65%","$14,598","0.01%","2.26%","1.66%","1.80%","-1.11%","-0.04%","0.07%"
"2016","6","0.43%","$14,661","0.02%","-0.05%","0.41%","0.26%","-0.84%","1.90%","0.07%"
"2016","7","2.98%","$15,098","0.02%","6.00%","4.62%","3.68%","4.24%","0.62%","0.08%"
"2016","8","0.25%","$15,135","0.02%","1.81%","-0.28%","0.13%","0.90%","-0.22%","0.08%"
"2016","9","0.37%","$15,191","0.02%","1.12%","0.22%","0.03%","1.43%","0.02%","0.08%"
"2016","10","-1.66%","$14,939","0.02%","-4.74%","-3.19%","-1.83%","-1.77%","-0.81%","0.10%"
"2016","11","1.13%","$15,108","0.01%","11.17%","5.37%","3.70%","-2.16%","-2.52%","0.08%"
"2016","12","1.46%","$15,328","0.03%","2.80%","1.15%","1.98%","2.04%","0.17%","0.09%"
"2017","1","1.76%","$15,598","0.04%","0.38%","2.42%","1.89%","3.86%","0.22%","0.09%"
"2017","2","2.26%","$15,951","0.04%","1.95%","2.79%","3.97%","1.24%","0.72%","0.18%"
"2017","3","0.67%","$16,057","0.03%","0.16%","-0.16%","0.11%","2.97%","-0.04%","0.10%"
"2017","4","1.14%","$16,241","0.05%","1.12%","0.79%","1.03%","2.12%","0.73%","0.10%"
"2017","5","1.41%","$16,469","0.06%","-2.05%","0.88%","1.40%","3.16%","0.73%","0.11%"
"2017","6","0.53%","$16,556","0.06%","3.50%","1.01%","0.61%","0.56%","-0.14%","0.11%"
"2017","7","1.86%","$16,863","0.07%","0.79%","1.44%","2.06%","3.61%","0.46%","0.11%"
"2017","8","0.37%","$16,926","0.09%","-1.30%","-0.76%","0.30%","0.54%","0.89%","0.12%"
"2017","9","1.50%","$17,180","0.09%","6.27%","2.75%","2.06%","1.77%","-0.48%","0.11%"
"2017","10","1.52%","$17,441","0.09%","0.84%","1.69%","2.33%","1.97%","0.01%","0.12%"
"2017","11","1.65%","$17,730","0.08%","2.90%","3.37%","3.07%","0.59%","-0.14%","0.12%"
"2017","12","1.08%","$17,922","0.09%","-0.38%","0.92%","1.10%","2.10%","0.49%","0.13%"

"Portfolio Returns Based Style Analysis"

"Style Category","Portfolio 1"
"Large-cap Value","17.21%"
"Large-cap Growth","24.86%"
"Mid-cap Value","3.75%"
"Mid-cap Growth","0.80%"
"Small-cap Value","2.70%"
"Small-cap Growth","0.04%"
"Global ex-US Developed Markets","15.33%"
"Emerging Markets","4.86%"
"Corporate Bonds","8.05%"
"Long-Term Treasuries","0.00%"
"Intermediate-Term Treasuries","4.74%"
"Short-Term Treasuries","17.67%"
"R Squared","99.78%"
"Style analysis is based on monthly returns from Jan 2012 to Dec 2017 and uses total portfolio return with monthly rebalancing."

"Exposures for Portfolio 1"

"Ticker","Name","Category","Duration","ER","Weight","Return Contribution","Risk Contribution"
"CASHX","Cash","Cash","","","0.50%","$0.79","0.00%"
"FSSVX","Fidelity Small Cap Index Premium","Small Blend","","0.03%","3.92%","$448","6.02%"
"FSTPX","Fidelity Mid Cap Index Institutional","Mid-Cap Blend","","0.03%","4.90%","$580","6.86%"
"FXSIX","Fidelity 500 Index Institutional","Large Blend","","0.01%","40.18%","$4,941","53.12%"
"FSGDX","Fidelity Global ex US Index Premium","Foreign Large Blend","","0.06%","21.00%","$1,430","33.29%"
"FXNAX","Fidelity US Bond Index","Intermediate-Term Bond","5.81","0.03%","25.00%","$490","0.64%"
"FCNVX","Fidelity Conservative Income Bond Instl","Ultrashort Bond","0.18","0.25%","4.50%","$31.41","0.06%"

"Asset Allocation for Portfolio 1"

"Category","Weight"
"US Stocks","48.87%"
"Intl Stocks","20.55%"
"US Bonds","24.20%"
"Intl Bonds","3.28%"
"Other","0.19%"
"Cash","2.90%"

"Equity Market Capitalization for Portfolio 1"

"Category","Weight"
"Large Cap","80.70%"
"Mid Cap","14.59%"
"Small Cap","4.71%"

"Stock Sectors for Portfolio 1"

"Category","Weight"
"Basic Materials","4.39%"
"Consumer Cyclical","12.01%"
"Financial Services","17.47%"
"Real Estate","3.24%"
"Consumer Defensive","7.51%"
"Healthcare","12.62%"
"Utilities","3.09%"
"Communication Services","3.20%"
"Energy","6.36%"
"Industrials","11.14%"
"Technology","18.96%"

"Fixed Income Credit Quality for Portfolio 1"

"Category","Weight"
"AAA","69.24%"
"AA","7.09%"
"A","15.03%"
"BBB","8.04%"
"Non-Investment Grade","0.04%"
"Not Rated","0.55%"

"Fixed Income Maturity for Portfolio 1"

"Category","Weight"
"Under 1 Year","46.98%"
"1 - 3 Years","10.51%"
"3 - 5 Years","5.89%"
"5 - 7 Years","26.21%"
"7 - 10 Years","3.95%"
"10 - 15 Years","0.31%"
"15 - 20 Years","1.27%"
"20 - 30 Years","4.56%"
"Over 30 Years","0.34%"

"Drawdowns for Portfolio 1 (worst 10)"

"Rank","Start","End","Length","Recovery By","Recovery Time","Underwater Period","Drawdown"
"1","Jun 2015","Feb 2016","9 months","Jul 2016","5 months","1 year 2 months","-7.68%"
"2","Apr 2012","May 2012","2 months","Aug 2012","3 months","5 months","-5.67%"
"3","Jan 2014","Jan 2014","1 month","Feb 2014","1 month","2 months","-2.24%"
"4","Sep 2014","Sep 2014","1 month","Nov 2014","2 months","3 months","-2.13%"
"5","Aug 2013","Aug 2013","1 month","Sep 2013","1 month","2 months","-2.03%"
"6","Jun 2013","Jun 2013","1 month","Jul 2013","1 month","2 months","-1.78%"
"7","Oct 2016","Oct 2016","1 month","Dec 2016","2 months","3 months","-1.66%"
"8","Dec 2014","Jan 2015","2 months","Feb 2015","1 month","3 months","-1.56%"
"9","Jul 2014","Jul 2014","1 month","Aug 2014","1 month","2 months","-1.32%"
"10","Mar 2015","Mar 2015","1 month","Apr 2015","1 month","2 months","-0.79%"

"Portfolio Components"

"Ticker","Name","CAGR","Stdev","Best Year","Worst Year","Max. Drawdown","Sharpe Ratio","Sortino Ratio","US Mkt Correlation"
"CASHX","Cash","0.18%","0.09%","0.79%","0.00%","0.00%","N/A","N/A","0.03"
"FSSVX","Fidelity Small Cap Index Premium","14.65%","13.67%","38.97%","-4.22%","-16.65%","1.06","1.84","0.86"
"FSTPX","Fidelity Mid Cap Index Institutional","15.30%","10.43%","34.75%","-2.46%","-12.75%","1.41","2.61","0.97"
"FXSIX","Fidelity 500 Index Institutional","15.79%","9.59%","32.35%","1.36%","-8.36%","1.57","2.96","0.99"
"FSGDX","Fidelity Global ex US Index Premium","8.30%","12.16%","27.35%","-5.72%","-21.09%","0.70","1.11","0.78"
"FXNAX","Fidelity US Bond Index","2.41%","2.86%","5.99%","-2.19%","-3.87%","0.79","1.27","-0.11"
"FCNVX","Fidelity Conservative Income Bond Instl","0.90%","0.21%","1.48%","0.31%","-0.07%","3.52","13.66","0.41"

"Monthly Correlations"

"Ticker","Name","CASHX","FSSVX","FSTPX","FXSIX","FSGDX","FXNAX","FCNVX","Portfolio 1"
"CASHX","Cash","-","0.01","0.01","0.04","0.14","0.04","0.32","0.08"
"FSSVX","Fidelity Small Cap Index Premium","0.01","-","0.90","0.81","0.59","-0.22","0.30","0.78"
"FSTPX","Fidelity Mid Cap Index Institutional","0.01","0.90","-","0.94","0.76","-0.07","0.38","0.94"
"FXSIX","Fidelity 500 Index Institutional","0.04","0.81","0.94","-","0.78","-0.10","0.41","0.96"
"FSGDX","Fidelity Global ex US Index Premium","0.14","0.59","0.76","0.78","-","0.11","0.45","0.91"
"FXNAX","Fidelity US Bond Index","0.04","-0.22","-0.07","-0.10","0.11","-","0.09","0.06"
"FCNVX","Fidelity Conservative Income Bond Instl","0.32","0.30","0.38","0.41","0.45","0.09","-","0.45"

"Portfolio Return Decomposition"

"Ticker","Name","Portfolio 1"
"CASHX","Cash","$0.79"
"FSSVX","Fidelity Small Cap Index Premium","$448"
"FSTPX","Fidelity Mid Cap Index Institutional","$580"
"FXSIX","Fidelity 500 Index Institutional","$4,941"
"FSGDX","Fidelity Global ex US Index Premium","$1,430"
"FXNAX","Fidelity US Bond Index","$490"
"FCNVX","Fidelity Conservative Income Bond Instl","$31.41"

"Portfolio Risk Decomposition"

"Ticker","Name","Portfolio 1"
"CASHX","Cash","0.00%"
"FSSVX","Fidelity Small Cap Index Premium","6.02%"
"FSTPX","Fidelity Mid Cap Index Institutional","6.86%"
"FXSIX","Fidelity 500 Index Institutional","53.12%"
"FSGDX","Fidelity Global ex US Index Premium","33.29%"
"FXNAX","Fidelity US Bond Index","0.64%"
"FCNVX","Fidelity Conservative Income Bond Instl","0.06%"

"Rolling Returns"

"Year","Portfolio 1 3-year annualized return","Portfolio 1 5-year annualized return"
"2014","12.68%","N/A"
"2015","7.99%","N/A"
"2016","4.63%","8.92%"
"2017","7.80%","9.71%"

"Notes:"
"Past performance is not a guarantee of future returns and data and other errors may exist. See Disclaimer and Terms of Use"
"The entered time period is automatically adjusted based on the available return data for the specified assets"
"CAGR = Compound Annual Growth Rate"
"Stdev = Annualized standard deviation of monthly returns"
"Sharpe and Sortino ratios are calculated and annualized from monthly excess returns over risk free rate (1-month treasury bill)"
"Stock market correlation is based on the correlation of monthly returns"
"Drawdowns are calculated based on monthly returns"
"The backtested results include annual rebalancing of portfolio assets to match the specified allocation"
"The results use total return and assume that all received dividends and distributions are reinvested. Taxes and transaction fees are not included"
"Portfolio cashflows and rebalancing for quarterly and annual periods are aligned with calendar periods."
"Fund fundamentals data as of 03/05/2019. (c) 2019 Morningstar. All Rights Reserved. The fund fundamentals information contained herein: (1) is proprietary to Morningstar and/or its content providers; (2) may not be copied or distributed; and (3) is not warranted to be accurate, complete or timely. Neither Morningstar nor its content providers are responsible for any damages or losses arising from any use of this information."
