"Start Date","01/01/2018"
"2018","1","4.40%","$10,440","5.71%","2.65%","3.79%","5.63%","-1.16%","0.11%"
"2018","2","-3.72%","$10,052","-3.74%","-3.87%","-4.16%","-5.17%","-0.90%","0.11%"
"2018","3","-1.27%","$9,924","-2.50%","1.25%","0.09%","-0.76%","0.63%","0.12%"
"2018","4","0.35%","$9,959","0.37%","0.88%","-0.18%","0.93%","-0.80%","0.14%"
"2018","5","1.21%","$10,080","2.39%","6.04%","2.30%","-2.09%","0.63%","0.14%"
"2018","6","-0.07%","$10,072","0.61%","0.70%","0.71%","-1.88%","0.02%","0.14%"
"2018","7","2.73%","$10,347","3.73%","1.80%","2.41%","2.53%","0.13%","0.16%"
"2018","8","1.57%","$10,509","3.24%","4.27%","3.11%","-2.38%","0.54%","0.16%"
"2018","9","0.15%","$10,525","0.56%","-2.40%","-0.57%","0.52%","-0.58%","0.15%"
"2018","10","-6.58%","$9,832","-6.79%","-10.85%","-8.37%","-8.15%","-0.79%","0.19%"
"2018","11","1.60%","$9,989","1.99%","1.60%","2.51%","1.23%","0.55%","0.18%"
"2018","12","-6.63%","$9,327","-9.00%","-11.92%","-9.90%","-4.57%","1.89%","0.19%"
"2019","1","7.18%","$9,996","7.97%","11.35%","10.78%","7.56%","1.16%","0.21%"
"2019","2","2.55%","$10,252","3.21%","5.19%","4.38%","1.76%","-0.18%","0.18%"
"2019","3","1.32%","$10,387","1.94%","-2.16%","0.86%","0.73%","2.06%","0.19%"
"2019","4","3.13%","$10,712","4.08%","3.45%","3.73%","2.80%","-0.06%","0.21%"
"2019","5","-5.14%","$10,161","-6.37%","-7.78%","-6.13%","-5.44%","1.73%","0.21%"

"Exposures for Portfolio 1"

"Ticker","Name","Category","Duration","Weight","Return Contribution","Risk Contribution"
"FDFIX","Fidelity Flex 500 Index","Large Blend","","49.20%","$273","60.17%"
"FLXSX","Fidelity Flex Small Cap Index","Small Blend","","6.00%","-$14.02","8.87%"
"FLAPX","Fidelity Flex Mid Cap Index","Mid-Cap Blend","","4.80%","$17.41","6.34%"
"FITFX","Fidelity Flex International Index","Foreign Large Blend","","25.00%","-$182","25.03%"
"FIBUX","Fidelity Flex US Bond Index","Intermediate Core Bond","5.74","14.00%","$64.03","-0.41%"
"CASHX","Cash","Cash","","1.00%","$2.74","-0.00%"

"Asset Allocation for Portfolio 1"

"Category","Weight"
"US Stocks","58.96%"
"Intl Stocks","24.64%"
"US Bonds","12.61%"
"Intl Bonds","1.17%"
"Other","0.05%"
"Cash","2.56%"

"Equity Market Capitalization for Portfolio 1"

"Category","Weight"
"Large Cap","79.56%"
"Mid Cap","14.62%"
"Small Cap","5.82%"

"Stock Sectors for Portfolio 1"

"Category","Weight"
"Basic Materials","4.24%"
"Consumer Cyclical","12.12%"
"Financial Services","17.64%"
"Real Estate","3.67%"
"Consumer Defensive","7.89%"
"Healthcare","11.75%"
"Utilities","3.43%"
"Communication Services","3.25%"
"Energy","5.54%"
"Industrials","10.98%"
"Technology","19.48%"

"Fixed Income Credit Quality for Portfolio 1"

"Category","Weight"
"AAA","74.45%"
"AA","4.84%"
"A","10.82%"
"BBB","9.84%"
"Non-Investment Grade","0.05%"

"Fixed Income Maturity for Portfolio 1"

"Category","Weight"
"Under 1 Year","2.77%"
"1 - 3 Years","27.88%"
"3 - 5 Years","22.50%"
"5 - 7 Years","8.88%"
"7 - 10 Years","15.31%"
"10 - 15 Years","0.54%"
"15 - 20 Years","3.20%"
"20 - 30 Years","17.67%"
"Over 30 Years","1.25%"

"Drawdowns for Portfolio 1"

"Rank","Start","End","Length","Recovery By","Recovery Time","Underwater Period","Drawdown"
"1","Oct 2018","Dec 2018","3 months","Apr 2019","4 months","7 months","-11.38%"
"2","May 2019","May 2019","1 month","","","","-5.14%"
"3","Feb 2018","Mar 2018","2 months","Aug 2018","5 months","7 months","-4.94%"

"Portfolio Components"

"Ticker","Name","CAGR","Stdev","Best Year","Worst Year","Max. Drawdown","Sharpe Ratio","Sortino Ratio","US Mkt Correlation"
"FDFIX","Fidelity Flex 500 Index","4.06%","16.12%","10.70%","-4.43%","-13.49%","0.20","0.28","1.00"
"FLXSX","Fidelity Flex Small Cap Index","-1.94%","20.92%","9.32%","-11.03%","-22.13%","-0.09","-0.11","0.94"
"FLAPX","Fidelity Flex Mid Cap Index","2.33%","17.61%","13.55%","-9.01%","-15.85%","0.10","0.14","0.98"
"FITFX","Fidelity Flex International Index","-5.56%","14.08%","7.16%","-13.95%","-18.54%","-0.48","-0.62","0.87"
"FIBUX","Fidelity Flex US Bond Index","3.44%","3.46%","4.79%","0.11%","-2.28%","0.43","0.76","-0.16"
"CASHX","Cash","1.99%","0.12%","1.80%","1.00%","0.00%","3.81","37.37","-0.06"

"Monthly Correlations"

"Ticker","Name","FDFIX","FLXSX","FLAPX","FITFX","FIBUX","CASHX","Portfolio 1"
"FDFIX","Fidelity Flex 500 Index","-","0.91","0.97","0.87","-0.18","-0.05","0.99"
"FLXSX","Fidelity Flex Small Cap Index","0.91","-","0.97","0.77","-0.11","-0.12","0.92"
"FLAPX","Fidelity Flex Mid Cap Index","0.97","0.97","-","0.87","-0.08","-0.01","0.98"
"FITFX","Fidelity Flex International Index","0.87","0.77","0.87","-","-0.08","0.02","0.93"
"FIBUX","Fidelity Flex US Bond Index","-0.18","-0.11","-0.08","-0.08","-","0.57","-0.11"
"CASHX","Cash","-0.05","-0.12","-0.01","0.02","0.57","-","-0.02"

"Portfolio Return Decomposition"

"Ticker","Name","Portfolio 1"
"FDFIX","Fidelity Flex 500 Index","$273"
"FLXSX","Fidelity Flex Small Cap Index","-$14.02"
"FLAPX","Fidelity Flex Mid Cap Index","$17.41"
"FITFX","Fidelity Flex International Index","-$182"
"FIBUX","Fidelity Flex US Bond Index","$64.03"
"CASHX","Cash","$2.74"

"Portfolio Risk Decomposition"

"Ticker","Name","Portfolio 1"
"FDFIX","Fidelity Flex 500 Index","60.17%"
"FLXSX","Fidelity Flex Small Cap Index","8.87%"
"FLAPX","Fidelity Flex Mid Cap Index","6.34%"
"FITFX","Fidelity Flex International Index","25.03%"
"FIBUX","Fidelity Flex US Bond Index","-0.41%"
"CASHX","Cash","-0.00%"

"Notes:"
"Past performance is not a guarantee of future returns and data and other errors may exist. See Disclaimer and Terms of Use"
"The entered time period is automatically adjusted based on the available return data for the specified assets"
"The annual results for 2019 are based on full calendar months from January to May"
"CAGR = Compound Annual Growth Rate"
"Stdev = Annualized standard deviation of monthly returns"
"Sharpe and Sortino ratios are calculated and annualized from monthly excess returns over risk free rate (1-month treasury bill)"
"Stock market correlation is based on the correlation of monthly returns"
"Drawdowns are calculated based on monthly returns excluding cashflows"
"The backtested results include annual rebalancing of portfolio assets to match the specified allocation"
"The results use total return and assume that all received dividends and distributions are reinvested. Taxes and transaction fees are not included"
"Portfolio cashflows and rebalancing for quarterly and annual periods are aligned with calendar periods."
"Fund fundamentals data as of 06/05/2019. (c) 2019 Morningstar. All Rights Reserved. The fund fundamentals information contained herein: (1) is proprietary to Morningstar and/or its content providers; (2) may not be copied or distributed; and (3) is not warranted to be accurate, complete or timely. Neither Morningstar nor its content providers are responsible for any damages or losses arising from any use of this information."
