"Start Date","01/01/2014"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VTI","Vanguard Total Stock Market ETF","12.99%"
"VTV","Vanguard Value ETF","13.99%"
"VEA","Vanguard FTSE Developed Markets ETF","10.99%"
"VWO","Vanguard FTSE Emerging Markets ETF","17.99%"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","4.99%"
"BNDX","Vanguard Total International Bond ETF","2.99%"
"VTRIX","Vanguard International Value Inv","10.99%"
"VB","Vanguard Small-Cap ETF","3.11%"
"VNQ","Vanguard Real Estate ETF","6.99%"
"BND","Vanguard Total Bond Market ETF","2.99%"
"DFITX","DFA International Real Estate Sec I","6.99%"
"VSS","Vanguard FTSE All-Wld ex-US SmCp ETF","4.99%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$13,376"
"End Balance (inflation adjusted)","$12,332"
"CAGR","5.70%"
"CAGR (inflation adjusted)","4.07%"
"Stdev","9.75%"
"Best Year","20.46%"
"Worst Year","-9.32%"
"Max. Drawdown","-13.06%"
"Sharpe Ratio","0.55"
"Sortino Ratio","0.85"
"US Stock Market Correlation","0.90"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.50%"
"Arithmetic Mean (annualized)","6.19%"
"Geometric Mean (monthly)","0.46%"
"Geometric Mean (annualized)","5.70%"
"Volatility (monthly)","2.81%"
"Volatility (annualized)","9.75%"
"Downside Deviation (monthly)","1.80%"
"Max. Drawdown","-13.06%"
"US Market Correlation","0.90"
"Beta (*)","0.77"
"Alpha (annualized)","-1.91%"
"R Squared","81.67%"
"Sharpe Ratio","0.55"
"Sortino Ratio","0.85"
"Treynor Ratio (%)","7.01"
"Calmar Ratio","0.68"
"Active Return","-4.43%"
"Tracking Error","4.95%"
"Information Ratio","-0.89"
"Skewness","-0.14"
"Excess Kurtosis","1.02"
"Historical Value-at-Risk (5%)","-5.39%"
"Analytical Value-at-Risk (5%)","-4.09%"
"Conditional Value-at-Risk (5%)","-6.04%"
"Upside Capture Ratio (%)","71.26"
"Downside Capture Ratio (%)","88.25"
"Sustainable Withdrawal Rate","21.80%"
"Positive Periods","35 out of 63 (55.56%)"
"Gain/Loss Ratio","1.29"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Total Stock Market ETF (VTI)","Vanguard Value ETF (VTV)","Vanguard FTSE Developed Markets ETF (VEA)","Vanguard FTSE Emerging Markets ETF (VWO)","Vanguard Short-Term Infl-Prot Secs ETF (VTIP)","Vanguard Total International Bond ETF (BNDX)","Vanguard International Value Inv (VTRIX)","Vanguard Small-Cap ETF (VB)","Vanguard Real Estate ETF (VNQ)","Vanguard Total Bond Market ETF (BND)","DFA International Real Estate Sec I (DFITX)","Vanguard FTSE All-Wld ex-US SmCp ETF (VSS)"
"2016","5","-0.43%","$10,473","1.73%","1.06%","-0.30%","-3.24%","-0.06%","0.75%","-1.70%","1.89%","2.25%","-0.01%","-2.69%","-0.36%"
"2016","6","1.46%","$10,626","0.27%","1.13%","-2.04%","4.93%","0.96%","1.95%","-0.64%","0.34%","6.92%","2.02%","1.29%","-2.04%"
"2016","7","3.76%","$11,026","3.98%","2.81%","4.16%","5.14%","-0.08%","0.82%","3.65%","5.01%","4.26%","0.60%","4.55%","4.96%"
"2016","8","-0.12%","$11,013","0.21%","0.68%","0.41%","0.78%","-0.40%","0.07%","0.65%","0.68%","-3.76%","-0.31%","-2.44%","-0.52%"
"2016","9","0.76%","$11,097","0.21%","-0.46%","1.65%","2.05%","0.83%","0.01%","1.64%","0.39%","-1.82%","0.11%","0.00%","2.90%"
"2016","10","-2.02%","$10,872","-2.19%","-1.09%","-2.41%","0.32%","0.02%","-1.26%","-1.64%","-4.06%","-5.74%","-0.94%","-6.61%","-2.95%"
"2016","11","-0.07%","$10,865","4.49%","6.00%","-1.51%","-4.05%","-0.58%","-1.25%","-0.99%","8.57%","-1.68%","-2.57%","-4.78%","-2.17%"
"2016","12","1.60%","$11,039","1.98%","2.73%","2.45%","-0.74%","0.34%","0.43%","1.55%","1.92%","4.82%","0.33%","2.67%","1.07%"
"2017","1","2.55%","$11,320","1.86%","0.49%","3.67%","5.76%","0.47%","-0.98%","3.97%","1.53%","-0.19%","0.19%","1.28%","4.80%"
"2017","2","2.16%","$11,565","3.69%","3.58%","1.06%","2.25%","0.04%","0.88%","0.82%","2.32%","3.51%","0.62%","1.89%","1.63%"
"2017","3","1.12%","$11,694","0.06%","-0.92%","3.06%","2.84%","0.12%","-0.03%","3.09%","-0.19%","-2.42%","-0.04%","1.03%","2.57%"
"2017","4","1.32%","$11,848","1.06%","-0.03%","2.21%","1.56%","-0.02%","0.49%","2.62%","0.86%","0.24%","0.80%","1.84%","2.76%"
"2017","5","1.27%","$11,999","1.01%","0.06%","3.41%","0.99%","-0.02%","0.73%","3.38%","-1.11%","-0.72%","0.71%","1.60%","2.08%"
"2017","6","0.70%","$12,083","0.95%","1.80%","0.64%","0.85%","-0.44%","-0.54%","-0.30%","2.16%","2.23%","0.05%","-1.38%","1.19%"
"2017","7","2.78%","$12,418","1.88%","1.54%","2.88%","5.34%","0.26%","0.16%","3.66%","1.19%","1.24%","0.40%","3.40%","3.62%"
"2017","8","0.60%","$12,493","0.15%","-0.47%","0.02%","3.00%","0.28%","0.93%","-0.05%","-0.93%","-0.26%","0.86%","0.00%","0.94%"
"2017","9","1.36%","$12,663","2.44%","2.98%","2.52%","-0.49%","-0.10%","-0.40%","3.01%","4.41%","-0.11%","-0.47%","-1.16%","2.05%"
"2017","10","1.39%","$12,840","2.17%","1.83%","1.77%","2.43%","0.18%","0.62%","1.37%","1.56%","-1.07%","-0.03%","-0.78%","1.48%"
"2017","11","1.61%","$13,047","3.03%","3.52%","0.86%","-0.34%","-0.12%","0.23%","1.55%","3.05%","2.66%","-0.11%","3.55%","0.87%"
"2017","12","1.92%","$13,297","1.16%","1.65%","1.65%","3.70%","0.17%","0.27%","1.90%","0.45%","-0.14%","0.54%","3.30%","3.09%"
"2018","1","4.14%","$13,848","5.23%","4.71%","4.75%","8.56%","-0.35%","-0.57%","5.22%","2.69%","-4.25%","-1.24%","3.27%","4.43%"
"2018","2","-4.41%","$13,236","-3.76%","-4.44%","-5.11%","-5.36%","-0.06%","0.26%","-4.31%","-3.96%","-7.68%","-1.04%","-5.59%","-4.43%"
"2018","3","-0.34%","$13,192","-1.95%","-2.45%","-0.40%","-0.21%","0.60%","1.15%","-1.30%","1.10%","3.88%","0.69%","1.78%","0.24%"
"2018","4","-0.05%","$13,185","0.45%","0.42%","1.27%","-2.77%","-0.04%","-0.14%","0.61%","0.37%","0.82%","-0.85%","1.36%","0.31%"
"2018","5","-0.06%","$13,178","2.72%","0.61%","-1.43%","-2.34%","0.31%","-0.23%","-2.41%","5.10%","3.68%","0.68%","-0.96%","-0.13%"
"2018","6","-0.92%","$13,057","0.70%","0.20%","-1.67%","-4.79%","0.21%","0.60%","-1.41%","0.68%","4.20%","-0.04%","-0.77%","-2.80%"
"2018","7","2.54%","$13,389","3.32%","4.65%","2.28%","3.98%","-0.16%","0.14%","2.50%","1.82%","0.60%","-0.04%","1.36%","0.96%"
"2018","8","-0.20%","$13,362","3.43%","1.90%","-1.73%","-4.19%","0.47%","0.06%","-2.06%","4.52%","2.58%","0.67%","-1.54%","-1.72%"
"2018","9","-0.39%","$13,310","0.20%","0.62%","0.71%","-1.35%","-0.22%","-0.24%","0.60%","-1.47%","-2.64%","-0.55%","-0.97%","-1.74%"
"2018","10","-6.16%","$12,489","-7.41%","-4.98%","-8.60%","-7.66%","-0.43%","0.07%","-7.43%","-10.12%","-2.93%","-0.86%","-4.53%","-10.11%"
"2018","11","2.29%","$12,775","2.01%","3.27%","0.51%","4.83%","0.04%","0.52%","0.75%","2.19%","4.67%","0.64%","1.44%","1.13%"
"2018","12","-5.61%","$12,058","-9.16%","-9.12%","-5.67%","-3.34%","0.20%","1.17%","-5.65%","-11.10%","-7.96%","1.87%","-1.60%","-5.57%"
"2019","1","7.72%","$12,989","8.54%","6.95%","7.47%","9.66%","0.75%","1.00%","6.88%","11.71%","11.85%","1.11%","9.41%","7.48%"
"2019","2","1.54%","$13,190","3.56%","2.86%","2.33%","-0.38%","-0.02%","0.21%","2.04%","4.86%","0.70%","-0.09%","-0.60%","2.07%"
"2019","3","1.41%","$13,376","1.42%","0.57%","0.60%","2.31%","0.85%","1.76%","0.34%","-0.86%","4.21%","1.94%","2.82%","0.29%"

"Portfolio Returns Based Style Analysis"

"Style Category","Portfolio 1"
"Large-cap Value","17.93%"
"Large-cap Growth","8.09%"
"Mid-cap Value","7.81%"
"Mid-cap Growth","0.00%"
"Small-cap Value","2.77%"
"Small-cap Growth","0.00%"
"Global ex-US Developed Markets","26.46%"
"Emerging Markets","21.74%"
"Corporate Bonds","4.33%"
"Long-Term Treasuries","6.13%"
"Intermediate-Term Treasuries","4.75%"
"Short-Term Treasuries","0.00%"
"R Squared","99.33%"
"Style analysis is based on monthly returns from Jan 2014 to Mar 2019 and uses total portfolio return with monthly rebalancing."

"Exposures for Portfolio 1"

"Ticker","Name","Category","Duration","ER","Weight","Return Contribution","Risk Contribution"
"VTI","Vanguard Total Stock Market ETF","Large Blend","","0.04%","12.99%","$770","13.88%"
"VTV","Vanguard Value ETF","Large Value","","0.05%","13.99%","$755","13.51%"
"VEA","Vanguard FTSE Developed Markets ETF","Foreign Large Blend","","0.07%","10.99%","$206","12.40%"
"VWO","Vanguard FTSE Emerging Markets ETF","Diversified Emerging Mkts","","0.12%","17.99%","$449","25.36%"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","Inflation-Protected Bond","2.58","0.06%","4.99%","$24.34","0.32%"
"BNDX","Vanguard Total International Bond ETF","World Bond","7.95","0.09%","2.99%","$73.70","0.06%"
"VTRIX","Vanguard International Value Inv","Foreign Large Value","","0.38%","10.99%","$154","12.62%"
"VB","Vanguard Small-Cap ETF","Small Blend","","0.05%","3.11%","$147","3.68%"
"VNQ","Vanguard Real Estate ETF","Real Estate","","0.12%","6.99%","$419","5.89%"
"BND","Vanguard Total Bond Market ETF","Intermediate-Term Bond","5.96","0.05%","2.99%","$48.86","0.10%"
"DFITX","DFA International Real Estate Sec I","Global Real Estate","","0.28%","6.99%","$227","6.57%"
"VSS","Vanguard FTSE All-Wld ex-US SmCp ETF","Foreign Small/Mid Blend","","0.12%","4.99%","$103","5.61%"

"Asset Allocation for Portfolio 1"

"Category","Weight"
"US Stocks","37.16%"
"Intl Stocks","49.52%"
"US Bonds","7.28%"
"Intl Bonds","3.13%"
"Other","0.37%"
"Cash","2.54%"

"Equity Market Capitalization for Portfolio 1"

"Category","Weight"
"Large Cap","67.87%"
"Mid Cap","23.18%"
"Small Cap","8.95%"

"Stock Sectors for Portfolio 1"

"Category","Weight"
"Basic Materials","4.80%"
"Consumer Cyclical","8.88%"
"Financial Services","17.54%"
"Real Estate","18.23%"
"Consumer Defensive","6.39%"
"Healthcare","8.75%"
"Utilities","3.02%"
"Communication Services","4.09%"
"Energy","5.83%"
"Industrials","8.82%"
"Technology","13.66%"

"Fixed Income Credit Quality for Portfolio 1"

"Category","Weight"
"AAA","70.81%"
"AA","8.44%"
"A","12.07%"
"BBB","8.67%"
"Non-Investment Grade","0.01%"

"Fixed Income Maturity for Portfolio 1"

"Category","Weight"
"Under 1 Year","83.66%"
"1 - 3 Years","5.48%"
"3 - 5 Years","5.28%"
"5 - 7 Years","1.08%"
"7 - 10 Years","1.28%"
"10 - 15 Years","0.58%"
"15 - 20 Years","0.53%"
"20 - 30 Years","1.90%"
"Over 30 Years","0.22%"

"Drawdowns for Portfolio 1"

"Rank","Start","End","Length","Recovery By","Recovery Time","Underwater Period","Drawdown"
"1","May 2015","Feb 2016","10 months","Sep 2016","7 months","1 year 5 months","-13.06%"
"2","Feb 2018","Dec 2018","11 months","","","","-12.92%"
"3","Sep 2014","Sep 2014","1 month","Feb 2015","5 months","6 months","-4.10%"
"4","Jan 2014","Jan 2014","1 month","Feb 2014","1 month","2 months","-3.51%"
"5","Oct 2016","Nov 2016","2 months","Jan 2017","2 months","4 months","-2.09%"
"6","Mar 2015","Mar 2015","1 month","Apr 2015","1 month","2 months","-1.05%"
"7","Jul 2014","Jul 2014","1 month","Aug 2014","1 month","2 months","-0.99%"

"Portfolio Components"

"Ticker","Name","CAGR","Stdev","Best Year","Worst Year","Max. Drawdown","Sharpe Ratio","Sortino Ratio","US Mkt Correlation"
"VTI","Vanguard Total Stock Market ETF","10.25%","11.50%","21.21%","-5.21%","-14.20%","0.85","1.34","1.00"
"VTV","Vanguard Value ETF","9.47%","10.82%","17.14%","-5.44%","-10.82%","0.83","1.31","0.96"
"VEA","Vanguard FTSE Developed Markets ETF","2.64%","11.78%","26.42%","-14.75%","-18.62%","0.23","0.32","0.83"
"VWO","Vanguard FTSE Emerging Markets ETF","3.24%","15.58%","31.48%","-15.81%","-29.25%","0.24","0.36","0.65"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","0.80%","1.59%","2.45%","-1.41%","-2.96%","0.11","0.16","0.16"
"BNDX","Vanguard Total International Bond ETF","4.31%","2.58%","8.74%","1.19%","-3.03%","1.40","2.69","-0.04"
"VTRIX","Vanguard International Value Inv","1.68%","12.01%","27.96%","-14.52%","-23.16%","0.14","0.21","0.81"
"VB","Vanguard Small-Cap ETF","8.05%","14.32%","18.44%","-9.33%","-19.55%","0.57","0.86","0.92"
"VNQ","Vanguard Real Estate ETF","10.36%","14.59%","30.36%","-6.02%","-14.88%","0.71","1.20","0.53"
"BND","Vanguard Total Bond Market ETF","2.90%","3.04%","5.82%","-0.12%","-3.68%","0.75","1.23","-0.09"
"DFITX","DFA International Real Estate Sec I","5.52%","11.19%","15.38%","-6.90%","-13.24%","0.48","0.76","0.60"
"VSS","Vanguard FTSE All-Wld ex-US SmCp ETF","2.86%","12.08%","30.60%","-18.47%","-21.93%","0.24","0.35","0.78"

"Monthly Correlations"

"Ticker","Name","VTI","VTV","VEA","VWO","VTIP","BNDX","VTRIX","VB","VNQ","BND","DFITX","VSS","Portfolio 1"
"VTI","Vanguard Total Stock Market ETF","-","0.96","0.83","0.66","0.16","-0.04","0.82","0.92","0.53","-0.09","0.61","0.78","0.91"
"VTV","Vanguard Value ETF","0.96","-","0.78","0.64","0.05","-0.10","0.78","0.86","0.47","-0.19","0.54","0.71","0.87"
"VEA","Vanguard FTSE Developed Markets ETF","0.83","0.78","-","0.80","0.35","-0.05","0.98","0.71","0.39","0.02","0.75","0.93","0.93"
"VWO","Vanguard FTSE Emerging Markets ETF","0.66","0.64","0.80","-","0.45","0.05","0.84","0.53","0.34","0.15","0.74","0.82","0.88"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","0.16","0.05","0.35","0.45","-","0.34","0.35","0.16","0.43","0.57","0.55","0.38","0.39"
"BNDX","Vanguard Total International Bond ETF","-0.04","-0.10","-0.05","0.05","0.34","-","-0.09","-0.04","0.54","0.81","0.38","-0.06","0.07"
"VTRIX","Vanguard International Value Inv","0.82","0.78","0.98","0.84","0.35","-0.09","-","0.69","0.31","-0.03","0.72","0.91","0.93"
"VB","Vanguard Small-Cap ETF","0.92","0.86","0.71","0.53","0.16","-0.04","0.69","-","0.56","-0.08","0.52","0.72","0.81"
"VNQ","Vanguard Real Estate ETF","0.53","0.47","0.39","0.34","0.43","0.54","0.31","0.56","-","0.53","0.66","0.35","0.56"
"BND","Vanguard Total Bond Market ETF","-0.09","-0.19","0.02","0.15","0.57","0.81","-0.03","-0.08","0.53","-","0.46","0.06","0.11"
"DFITX","DFA International Real Estate Sec I","0.61","0.54","0.75","0.74","0.55","0.38","0.72","0.52","0.66","0.46","-","0.75","0.82"
"VSS","Vanguard FTSE All-Wld ex-US SmCp ETF","0.78","0.71","0.93","0.82","0.38","-0.06","0.91","0.72","0.35","0.06","0.75","-","0.91"

"Portfolio Return Decomposition"

"Ticker","Name","Portfolio 1"
"VTI","Vanguard Total Stock Market ETF","$770"
"VTV","Vanguard Value ETF","$755"
"VEA","Vanguard FTSE Developed Markets ETF","$206"
"VWO","Vanguard FTSE Emerging Markets ETF","$449"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","$24.34"
"BNDX","Vanguard Total International Bond ETF","$73.70"
"VTRIX","Vanguard International Value Inv","$154"
"VB","Vanguard Small-Cap ETF","$147"
"VNQ","Vanguard Real Estate ETF","$419"
"BND","Vanguard Total Bond Market ETF","$48.86"
"DFITX","DFA International Real Estate Sec I","$227"
"VSS","Vanguard FTSE All-Wld ex-US SmCp ETF","$103"

"Portfolio Risk Decomposition"

"Ticker","Name","Portfolio 1"
"VTI","Vanguard Total Stock Market ETF","13.88%"
"VTV","Vanguard Value ETF","13.51%"
"VEA","Vanguard FTSE Developed Markets ETF","12.40%"
"VWO","Vanguard FTSE Emerging Markets ETF","25.36%"
"VTIP","Vanguard Short-Term Infl-Prot Secs ETF","0.32%"
"BNDX","Vanguard Total International Bond ETF","0.06%"
"VTRIX","Vanguard International Value Inv","12.62%"
"VB","Vanguard Small-Cap ETF","3.68%"
"VNQ","Vanguard Real Estate ETF","5.89%"
"BND","Vanguard Total Bond Market ETF","0.10%"
"DFITX","DFA International Real Estate Sec I","6.57%"
"VSS","Vanguard FTSE All-Wld ex-US SmCp ETF","5.61%"

"Rolling Returns"

"Year","Portfolio 1 3-year annualized return","Portfolio 1 5-year annualized return"
"2016","3.35%","N/A"
"2017","8.08%","N/A"
"2018","5.98%","3.81%"

"Notes:"
"Past performance is not a guarantee of future returns and data and other errors may exist. See Disclaimer and Terms of Use"
"The entered time period is automatically adjusted based on the available return data for the specified assets"
"The annual results for 2019 are based on full calendar months from January to March"
"CAGR = Compound Annual Growth Rate"
"Stdev = Annualized standard deviation of monthly returns"
"Sharpe and Sortino ratios are calculated and annualized from monthly excess returns over risk free rate (1-month treasury bill)"
"Stock market correlation is based on the correlation of monthly returns"
"Drawdowns are calculated based on monthly returns"
"The backtested results include annual rebalancing of portfolio assets to match the specified allocation"
