"Start Date","01/01/2012"
"End Date","03/31/2019"
"Initial Balance","$10,000"
"Periodic Adjustment","None"
"Rebalancing","Rebalance annually"
"Reinvest Dividends","Yes"

"Portfolio 1"

"Ticker","Name","Allocation"
"VFSUX","Vanguard Short-Term Investment-Grade Adm","20.00%"
"DFTCX","DFA T.A. US Core Equity 2 I","20.00%"
"DTMMX","DFA Tax-Managed US Marketwide Value","20.00%"
"DFGEX","DFA Global Real Estate Securities Port","5.00%"
"DFIEX","DFA International Core Equity I","5.00%"
"DTMIX","DFA Tax-Managed International Value","5.00%"
"DFCEX","DFA Emerging Markets Core Equity I","5.00%"
"DFGFX","DFA Two-Year Global Fixed-Income I","10.00%"
"DFAPX","DFA Investment Grade I","10.00%"

"Portfolio Performance"

"Metric","Portfolio 1"
"Start Balance","$10,000"
"End Balance","$17,319"
"End Balance (inflation adjusted)","$15,462"
"CAGR","7.87%"
"CAGR (inflation adjusted)","6.20%"
"Stdev","6.97%"
"Best Year","17.81%"
"Worst Year","-6.28%"
"Max. Drawdown","-8.61%"
"Sharpe Ratio","1.05"
"Sortino Ratio","1.70"
"US Stock Market Correlation","0.96"

"Risk and Return Metrics"

"Metric","Portfolio 1"
"Arithmetic Mean (monthly)","0.65%"
"Arithmetic Mean (annualized)","8.13%"
"Geometric Mean (monthly)","0.63%"
"Geometric Mean (annualized)","7.87%"
"Volatility (monthly)","2.01%"
"Volatility (annualized)","6.97%"
"Downside Deviation (monthly)","1.23%"
"Max. Drawdown","-8.61%"
"US Market Correlation","0.96"
"Beta (*)","0.60"
"Alpha (annualized)","-0.44%"
"R Squared","92.37%"
"Sharpe Ratio","1.05"
"Sortino Ratio","1.70"
"Treynor Ratio (%)","12.20"
"Calmar Ratio","0.84"
"Active Return","-6.05%"
"Tracking Error","4.80%"
"Information Ratio","-1.26"
"Skewness","-0.52"
"Excess Kurtosis","1.00"
"Historical Value-at-Risk (5%)","-3.64%"
"Analytical Value-at-Risk (5%)","-2.62%"
"Conditional Value-at-Risk (5%)","-4.53%"
"Upside Capture Ratio (%)","57.23"
"Downside Capture Ratio (%)","63.54"
"Sustainable Withdrawal Rate","19.22%"
"Positive Periods","61 out of 87 (70.11%)"
"Gain/Loss Ratio","0.99"
"(*) US stock market is used as the benchmark for calculations. Value-at-risk metrics are based on monthly values."

"Annual Returns"

"Year","Inflation","Portfolio 1 Return","Portfolio 1 Balance","Vanguard Short-Term Investment-Grade Adm (VFSUX)","DFA T.A. US Core Equity 2 I (DFTCX)","DFA Tax-Managed US Marketwide Value (DTMMX)","DFA Global Real Estate Securities Port (DFGEX)","DFA International Core Equity I (DFIEX)","DFA Tax-Managed International Value (DTMIX)","DFA Emerging Markets Core Equity I (DFCEX)","DFA Two-Year Global Fixed-Income I (DFGFX)","DFA Investment Grade I (DFAPX)"
"2012","10","0.09%","$11,057","0.27%","-0.91%","0.30%","1.19%","1.10%","1.18%","-0.68%","0.00%","0.27%"
"2012","11","0.65%","$11,129","0.17%","1.03%","0.60%","0.00%","1.68%","1.47%","1.53%","0.10%","0.36%"
"2012","12","2.02%","$11,353","0.13%","2.15%","2.85%","3.11%","4.61%","4.95%","6.27%","0.01%","-0.32%"
"2013","1","3.19%","$11,716","0.07%","6.42%","6.63%","2.77%","4.32%","4.90%","0.88%","0.00%","-0.73%"
"2013","2","0.47%","$11,770","0.24%","1.13%","1.53%","0.97%","-1.08%","-3.14%","-0.68%","0.10%","0.65%"
"2013","3","2.15%","$12,024","0.17%","4.22%","4.97%","3.21%","1.21%","0.17%","-1.06%","0.10%","0.20%"
"2013","4","1.27%","$12,176","0.33%","0.81%","0.67%","6.11%","3.87%","4.83%","1.14%","0.10%","1.01%"
"2013","5","0.51%","$12,238","-0.41%","3.64%","3.26%","-7.23%","-2.25%","-1.37%","-2.74%","-0.10%","-1.91%"
"2013","6","-1.50%","$12,054","-0.88%","-0.91%","-0.62%","-2.53%","-3.06%","-3.58%","-7.18%","-0.10%","-2.37%"
"2013","7","3.50%","$12,476","0.44%","5.99%","6.08%","0.65%","6.22%","6.68%","1.36%","0.10%","0.48%"
"2013","8","-1.96%","$12,232","-0.21%","-3.11%","-2.96%","-5.69%","-1.05%","-0.69%","-2.58%","0.00%","-1.05%"
"2013","9","3.32%","$12,638","0.73%","4.29%","3.64%","5.23%","7.65%","7.66%","7.14%","0.10%","1.22%"
"2013","10","2.88%","$13,001","0.55%","4.07%","4.73%","3.68%","3.46%","3.36%","4.31%","0.10%","0.96%"
"2013","11","1.50%","$13,196","0.26%","3.36%","4.12%","-4.38%","0.48%","0.38%","-1.64%","0.10%","-0.38%"
"2013","12","1.36%","$13,375","-0.21%","2.81%","2.74%","-0.00%","2.09%","2.15%","-0.89%","-0.04%","-0.91%"
"2014","1","-1.77%","$13,137","0.55%","-3.66%","-3.95%","1.70%","-3.36%","-3.68%","-6.32%","0.10%","2.13%"
"2014","2","2.79%","$13,503","0.34%","4.73%","3.67%","5.45%","5.90%","5.60%","3.62%","0.00%","0.47%"
"2014","3","0.61%","$13,586","-0.08%","1.08%","1.44%","0.32%","-0.21%","-0.68%","3.65%","0.01%","-0.16%"
"2014","4","0.48%","$13,652","0.36%","-0.51%","0.25%","3.79%","1.15%","1.48%","0.72%","0.10%","0.85%"
"2014","5","1.48%","$13,853","0.45%","1.85%","2.33%","2.63%","1.06%","1.09%","3.30%","0.10%","1.31%"
"2014","6","1.48%","$14,059","0.07%","3.12%","2.58%","1.38%","1.56%","1.24%","2.60%","-0.06%","-0.12%"
"2014","7","-1.15%","$13,898","-0.11%","-2.82%","-1.59%","0.00%","-2.70%","-2.29%","0.91%","-0.10%","-0.19%"
"2014","8","2.08%","$14,186","0.26%","4.21%","3.68%","2.43%","0.39%","-0.06%","3.10%","0.10%","1.22%"
"2014","9","-2.49%","$13,833","-0.21%","-3.20%","-2.57%","-6.27%","-5.01%","-4.49%","-6.96%","0.00%","-0.91%"
"2014","10","1.36%","$14,022","0.35%","2.60%","1.73%","7.81%","-1.46%","-1.62%","0.55%","0.20%","0.94%"
"2014","11","0.78%","$14,131","0.25%","1.76%","1.30%","1.41%","-0.25%","-0.07%","-1.05%","0.10%","0.84%"
"2014","12","-0.30%","$14,090","-0.37%","0.47%","0.96%","0.65%","-2.78%","-3.89%","-4.20%","-0.17%","-0.28%"
"2015","1","-0.96%","$13,954","0.82%","-3.65%","-5.00%","5.74%","-0.34%","-0.69%","0.79%","0.30%","2.98%"
"2015","2","3.23%","$14,404","-0.13%","6.48%","7.23%","-1.72%","6.43%","7.16%","2.88%","-0.10%","-1.18%"
"2015","3","-0.42%","$14,344","0.35%","-0.38%","-0.98%","0.09%","-1.83%","-2.18%","-1.68%","0.10%","0.64%"
"2015","4","0.99%","$14,485","0.25%","0.21%","1.00%","-2.94%","4.93%","5.38%","6.89%","0.00%","-0.27%"
"2015","5","0.30%","$14,529","-0.02%","1.30%","1.53%","-1.23%","0.16%","0.00%","-3.54%","0.10%","-0.27%"
"2015","6","-1.22%","$14,352","-0.30%","-1.26%","-1.04%","-3.55%","-2.38%","-2.84%","-2.67%","0.02%","-1.17%"
"2015","7","-0.04%","$14,345","0.17%","0.00%","0.27%","3.78%","0.08%","-0.99%","-6.69%","0.00%","0.75%"
"2015","8","-3.89%","$13,788","-0.19%","-5.65%","-6.32%","-5.85%","-6.16%","-7.40%","-8.72%","0.00%","-0.37%"
"2015","9","-1.62%","$13,564","0.46%","-3.46%","-3.15%","2.34%","-4.34%","-7.00%","-2.11%","0.20%","1.15%"
"2015","10","4.11%","$14,122","0.09%","7.07%","7.88%","5.37%","6.26%","7.77%","5.72%","0.00%","0.00%"
"2015","11","-0.11%","$14,106","-0.01%","0.92%","0.20%","-1.42%","-0.43%","-1.30%","-3.21%","-0.20%","-0.09%"
"2015","12","-1.79%","$13,854","-0.36%","-3.33%","-3.37%","0.79%","-1.73%","-3.21%","-2.47%","-0.10%","-0.50%"
"2016","1","-3.27%","$13,401","0.55%","-6.07%","-6.41%","-2.73%","-6.15%","-7.75%","-4.63%","0.40%","1.41%"
"2016","2","-0.06%","$13,392","0.17%","0.70%","-0.22%","0.50%","-2.06%","-3.29%","-0.60%","0.00%","0.65%"
"2016","3","4.97%","$14,057","1.04%","7.13%","7.00%","9.56%","7.80%","7.56%","13.15%","0.20%","1.26%"
"2016","4","1.22%","$14,229","0.45%","0.87%","2.49%","-0.45%","2.85%","4.93%","1.19%","0.10%","0.46%"
"2016","5","0.22%","$14,260","0.01%","1.58%","1.15%","0.46%","-0.35%","-1.89%","-4.28%","0.00%","-0.18%"
"2016","6","0.49%","$14,329","0.84%","-0.49%","-0.09%","5.09%","-3.33%","-3.68%","5.54%","0.30%","2.04%"
"2016","7","2.47%","$14,683","0.46%","4.07%","2.69%","4.33%","5.10%","4.41%","5.49%","0.00%","0.54%"
"2016","8","0.37%","$14,738","-0.01%","0.82%","1.04%","-3.07%","0.52%","2.66%","1.00%","0.00%","-0.36%"
"2016","9","0.31%","$14,784","0.12%","0.16%","0.42%","-1.20%","1.94%","1.11%","1.34%","0.00%","0.14%"
"2016","10","-1.22%","$14,603","-0.03%","-2.25%","-1.68%","-6.15%","-1.78%","1.21%","0.11%","0.10%","-0.81%"
"2016","11","2.07%","$14,905","-0.86%","7.33%","7.60%","-2.86%","-1.21%","0.45%","-5.43%","-0.20%","-2.63%"
"2016","12","1.53%","$15,133","0.07%","2.10%","2.70%","3.93%","2.67%","3.23%","0.25%","0.04%","0.10%"
"2017","1","1.38%","$15,342","0.35%","1.47%","1.19%","0.29%","4.03%","4.35%","6.11%","0.10%","0.28%"
"2017","2","1.63%","$15,591","0.35%","2.84%","2.71%","2.88%","0.91%","-0.76%","3.91%","0.20%","0.75%"
"2017","3","0.17%","$15,618","0.13%","-0.20%","-0.84%","-1.21%","2.43%","2.25%","3.11%","0.08%","0.06%"
"2017","4","0.88%","$15,755","0.37%","0.80%","0.95%","0.66%","2.64%","1.51%","1.77%","0.20%","0.93%"
"2017","5","0.40%","$15,819","0.27%","-0.06%","-0.38%","0.28%","2.80%","1.69%","1.94%","0.10%","0.74%"
"2017","6","0.83%","$15,950","0.09%","1.48%","1.70%","0.84%","0.82%","1.09%","0.90%","0.02%","-0.18%"
"2017","7","1.58%","$16,201","0.37%","1.51%","1.52%","2.04%","3.57%","4.61%","4.92%","0.20%","0.65%"
"2017","8","-0.00%","$16,201","0.36%","-0.72%","-0.99%","0.27%","0.44%","-0.19%","2.32%","0.20%","0.92%"
"2017","9","1.67%","$16,471","-0.14%","3.94%","3.66%","-0.82%","2.79%","3.64%","-0.76%","-0.10%","-0.78%"
"2017","10","0.93%","$16,624","0.07%","1.86%","0.87%","-0.46%","1.57%","1.74%","3.18%","0.10%","0.09%"
"2017","11","1.66%","$16,901","-0.12%","3.42%","3.66%","3.12%","0.84%","0.92%","0.63%","-0.10%","-0.37%"
"2017","12","1.19%","$17,102","0.00%","1.14%","1.90%","1.04%","2.21%","2.61%","3.74%","-0.08%","0.26%"
"2018","1","2.55%","$17,537","-0.36%","4.53%","5.05%","-1.00%","5.02%","5.81%","7.06%","-0.10%","-1.30%"
"2018","2","-3.08%","$16,998","-0.28%","-3.91%","-5.08%","-6.73%","-4.91%","-5.60%","-4.55%","0.00%","-0.84%"
"2018","3","-0.59%","$16,897","0.13%","-1.35%","-2.09%","3.26%","-0.83%","-1.18%","-0.51%","0.10%","0.43%"
"2018","4","0.14%","$16,921","-0.25%","0.06%","0.47%","0.67%","1.46%","2.53%","-1.31%","0.10%","-0.85%"
"2018","5","0.59%","$17,021","0.42%","2.73%","0.99%","2.09%","-1.51%","-3.41%","-3.65%","0.30%","0.67%"
"2018","6","-0.29%","$16,971","0.04%","0.30%","-0.10%","2.52%","-1.93%","-2.30%","-5.21%","0.05%","-0.09%"
"2018","7","1.99%","$17,309","0.14%","3.26%","4.12%","1.09%","2.01%","3.10%","3.16%","0.10%","0.10%"
"2018","8","0.92%","$17,469","0.53%","3.15%","1.90%","1.26%","-2.25%","-3.44%","-2.47%","0.30%","0.76%"
"2018","9","-0.21%","$17,431","-0.05%","-0.50%","0.17%","-1.95%","0.54%","1.73%","-1.81%","0.08%","-0.67%"
"2018","10","-4.44%","$16,657","-0.13%","-8.12%","-6.29%","-2.99%","-9.06%","-8.40%","-8.45%","0.10%","-0.48%"
"2018","11","1.21%","$16,859","0.06%","1.73%","2.19%","3.73%","-0.63%","-0.82%","4.75%","0.30%","0.48%"
"2018","12","-4.93%","$16,028","0.74%","-10.51%","-10.86%","-5.53%","-6.06%","-5.90%","-2.38%","0.55%","1.59%"
"2019","1","5.74%","$16,947","0.82%","9.09%","9.31%","10.60%","8.03%","7.83%","8.16%","0.30%","1.33%"
"2019","2","1.70%","$17,236","0.42%","3.88%","2.99%","0.27%","2.06%","1.58%","-0.62%","0.20%","0.19%"
"2019","3","0.48%","$17,319","0.92%","0.08%","-0.73%","3.88%","-0.17%","-1.01%","1.05%","0.48%","2.18%"

"Portfolio Returns Based Style Analysis"

"Style Category","Portfolio 1"
"Large-cap Value","21.24%"
"Large-cap Growth","6.15%"
"Mid-cap Value","9.94%"
"Mid-cap Growth","1.57%"
"Small-cap Value","3.64%"
"Small-cap Growth","0.18%"
"Global ex-US Developed Markets","13.51%"
"Emerging Markets","4.94%"
"Corporate Bonds","7.79%"
"Long-Term Treasuries","0.00%"
"Intermediate-Term Treasuries","0.00%"
"Short-Term Treasuries","31.04%"
"R Squared","99.26%"
"Style analysis is based on monthly returns from Jan 2012 to Mar 2019 and uses total portfolio return with monthly rebalancing."

"Exposures for Portfolio 1"

"Ticker","Name","Category","Duration","ER","Weight","Return Contribution","Risk Contribution"
"VFSUX","Vanguard Short-Term Investment-Grade Adm","Short-Term Bond","2.45","0.10%","20.00%","$444","1.10%"
"DFTCX","DFA T.A. US Core Equity 2 I","Mid-Cap Blend","","0.24%","20.00%","$2,524","33.28%"
"DTMMX","DFA Tax-Managed US Marketwide Value","Large Value","","0.37%","20.00%","$2,566","33.98%"
"DFGEX","DFA Global Real Estate Securities Port","Global Real Estate","","0.24%","5.00%","$484","5.67%"
"DFIEX","DFA International Core Equity I","Foreign Large Blend","","0.30%","5.00%","$366","8.43%"
"DTMIX","DFA Tax-Managed International Value","Foreign Large Value","","0.53%","5.00%","$287","8.96%"
"DFCEX","DFA Emerging Markets Core Equity I","Diversified Emerging Mkts","","0.53%","5.00%","$277","8.43%"
"DFGFX","DFA Two-Year Global Fixed-Income I","World Bond","1.34","0.17%","10.00%","$101","-0.03%"
"DFAPX","DFA Investment Grade I","Intermediate-Term Bond","5.79","0.22%","10.00%","$269","0.19%"

"Asset Allocation for Portfolio 1"

"Category","Weight"
"US Stocks","42.86%"
"Intl Stocks","16.78%"
"US Bonds","24.85%"
"Intl Bonds","13.11%"
"Other","0.28%"
"Cash","2.11%"

"Equity Market Capitalization for Portfolio 1"

"Category","Weight"
"Large Cap","62.33%"
"Mid Cap","25.10%"
"Small Cap","12.57%"

"Stock Sectors for Portfolio 1"

"Category","Weight"
"Basic Materials","5.34%"
"Consumer Cyclical","11.11%"
"Financial Services","19.02%"
"Real Estate","8.78%"
"Consumer Defensive","5.87%"
"Healthcare","9.98%"
"Utilities","1.40%"
"Communication Services","5.87%"
"Energy","8.31%"
"Industrials","11.67%"
"Technology","12.66%"

"Fixed Income Credit Quality for Portfolio 1"

"Category","Weight"
"AAA","36.14%"
"AA","23.89%"
"A","21.36%"
"BBB","16.81%"
"Non-Investment Grade","0.90%"
"Not Rated","0.92%"

"Fixed Income Maturity for Portfolio 1"

"Category","Weight"
"Under 1 Year","10.04%"
"1 - 3 Years","40.64%"
"3 - 5 Years","16.59%"
"5 - 7 Years","10.94%"
"7 - 10 Years","10.55%"
"10 - 15 Years","3.51%"
"15 - 20 Years","0.64%"
"20 - 30 Years","4.63%"
"Over 30 Years","2.47%"

"Drawdowns for Portfolio 1 (worst 10)"

"Rank","Start","End","Length","Recovery By","Recovery Time","Underwater Period","Drawdown"
"1","Feb 2018","Dec 2018","11 months","","","","-8.61%"
"2","Jun 2015","Feb 2016","9 months","Jul 2016","5 months","1 year 2 months","-7.82%"
"3","Apr 2012","May 2012","2 months","Aug 2012","3 months","5 months","-5.51%"
"4","Sep 2014","Sep 2014","1 month","Feb 2015","5 months","6 months","-2.49%"
"5","Aug 2013","Aug 2013","1 month","Sep 2013","1 month","2 months","-1.96%"
"6","Jan 2014","Jan 2014","1 month","Feb 2014","1 month","2 months","-1.77%"
"7","Jun 2013","Jun 2013","1 month","Jul 2013","1 month","2 months","-1.50%"
"8","Oct 2016","Oct 2016","1 month","Nov 2016","1 month","2 months","-1.22%"
"9","Jul 2014","Jul 2014","1 month","Aug 2014","1 month","2 months","-1.15%"
"10","Mar 2015","Mar 2015","1 month","Apr 2015","1 month","2 months","-0.42%"

"Portfolio Components"

"Ticker","Name","CAGR","Stdev","Best Year","Worst Year","Max. Drawdown","Sharpe Ratio","Sortino Ratio","US Mkt Correlation"
"VFSUX","Vanguard Short-Term Investment-Grade Adm","2.31%","1.27%","4.63%","0.96%","-1.28%","1.44","2.80","0.17"
"DFTCX","DFA T.A. US Core Equity 2 I","13.21%","12.04%","37.55%","-9.43%","-16.76%","1.06","1.70","0.98"
"DTMMX","DFA Tax-Managed US Marketwide Value","13.61%","12.33%","40.31%","-10.23%","-14.64%","1.06","1.72","0.96"
"DFGEX","DFA Global Real Estate Securities Port","9.96%","12.36%","23.17%","-4.15%","-14.16%","0.79","1.32","0.57"
"DFIEX","DFA International Core Equity I","7.47%","12.92%","28.05%","-17.40%","-21.35%","0.59","0.90","0.81"
"DTMIX","DFA Tax-Managed International Value","5.83%","14.23%","25.95%","-17.32%","-26.44%","0.44","0.66","0.77"
"DFCEX","DFA Emerging Markets Core Equity I","4.73%","15.27%","36.55%","-15.25%","-28.42%","0.35","0.54","0.62"
"DFGFX","DFA Two-Year Global Fixed-Income I","0.96%","0.47%","1.91%","0.33%","-0.30%","1.13","2.20","-0.11"
"DFAPX","DFA Investment Grade I","2.68%","3.32%","6.23%","-2.87%","-4.78%","0.67","1.09","-0.06"

"Monthly Correlations"

"Ticker","Name","VFSUX","DFTCX","DTMMX","DFGEX","DFIEX","DTMIX","DFCEX","DFGFX","DFAPX","Portfolio 1"
"VFSUX","Vanguard Short-Term Investment-Grade Adm","-","0.10","0.06","0.57","0.31","0.23","0.49","0.74","0.88","0.30"
"DFTCX","DFA T.A. US Core Equity 2 I","0.10","-","0.98","0.50","0.79","0.76","0.59","-0.19","-0.14","0.96"
"DTMMX","DFA Tax-Managed US Marketwide Value","0.06","0.98","-","0.47","0.80","0.79","0.60","-0.23","-0.20","0.95"
"DFGEX","DFA Global Real Estate Securities Port","0.57","0.50","0.47","-","0.54","0.45","0.55","0.30","0.55","0.63"
"DFIEX","DFA International Core Equity I","0.31","0.79","0.80","0.54","-","0.97","0.81","-0.06","0.03","0.90"
"DTMIX","DFA Tax-Managed International Value","0.23","0.76","0.79","0.45","0.97","-","0.78","-0.11","-0.06","0.87"
"DFCEX","DFA Emerging Markets Core Equity I","0.49","0.59","0.60","0.55","0.81","0.78","-","0.18","0.27","0.76"
"DFGFX","DFA Two-Year Global Fixed-Income I","0.74","-0.19","-0.23","0.30","-0.06","-0.11","0.18","-","0.70","-0.05"
"DFAPX","DFA Investment Grade I","0.88","-0.14","-0.20","0.55","0.03","-0.06","0.27","0.70","-","0.04"

"Portfolio Return Decomposition"

"Ticker","Name","Portfolio 1"
"VFSUX","Vanguard Short-Term Investment-Grade Adm","$444"
"DFTCX","DFA T.A. US Core Equity 2 I","$2,524"
"DTMMX","DFA Tax-Managed US Marketwide Value","$2,566"
"DFGEX","DFA Global Real Estate Securities Port","$484"
"DFIEX","DFA International Core Equity I","$366"
"DTMIX","DFA Tax-Managed International Value","$287"
"DFCEX","DFA Emerging Markets Core Equity I","$277"
"DFGFX","DFA Two-Year Global Fixed-Income I","$101"
"DFAPX","DFA Investment Grade I","$269"

"Portfolio Risk Decomposition"

"Ticker","Name","Portfolio 1"
"VFSUX","Vanguard Short-Term Investment-Grade Adm","1.10%"
"DFTCX","DFA T.A. US Core Equity 2 I","33.28%"
"DTMMX","DFA Tax-Managed US Marketwide Value","33.98%"
"DFGEX","DFA Global Real Estate Securities Port","5.67%"
"DFIEX","DFA International Core Equity I","8.43%"
"DTMIX","DFA Tax-Managed International Value","8.96%"
"DFCEX","DFA Emerging Markets Core Equity I","8.43%"
"DFGFX","DFA Two-Year Global Fixed-Income I","-0.03%"
"DFAPX","DFA Investment Grade I","0.19%"

"Rolling Returns"

"Year","Portfolio 1 3-year annualized return","Portfolio 1 5-year annualized return","Portfolio 1 7-year annualized return"
"2014","12.11%","N/A","N/A"
"2015","6.86%","N/A","N/A"
"2016","4.20%","8.64%","N/A"
"2017","6.67%","8.54%","N/A"
"2018","4.98%","3.69%","6.97%"

"Notes:"
"Past performance is not a guarantee of future returns and data and other errors may exist. See Disclaimer and Terms of Use"
"The entered time period is automatically adjusted based on the available return data for the specified assets"
"The annual results for 2019 are based on full calendar months from January to March"
"CAGR = Compound Annual Growth Rate"
"Stdev = Annualized standard deviation of monthly returns"
"Sharpe and Sortino ratios are calculated and annualized from monthly excess returns over risk free rate (1-month treasury bill)"
"Stock market correlation is based on the correlation of monthly returns"
"Drawdowns are calculated based on monthly returns"
"The backtested results include annual rebalancing of portfolio assets to match the specified allocation"
"The results use total return and assume that all received dividends and distributions are reinvested. Taxes and transaction fees are not included"
"Portfolio cashflows and rebalancing for quarterly and annual periods are aligned with calendar periods."
"Fund fundamentals data as of 03/05/2019. (c) 2019 Morningstar. All Rights Reserved. The fund fundamentals information contained herein: (1) is proprietary to Morningstar and/or its content providers; (2) may not be copied or distributed; and (3) is not warranted to be accurate, complete or timely. Neither Morningstar nor its content providers are responsible for any damages or losses arising from any use of this information."
